annotation_id,image_id,file_name,category_id,class_name,width_px,height_px,area_px,area_fraction,aspect_ratio,small,area_bin,aspect_bin,width_bin,height_bin
1,1,0000024_00500_d_0000013.jpg,1,pedestrian,34.00031999999999,90.00018000000003,3060.0349200575997,0.005902845138999999,0.37778057777217755,False,out_of_range,very_tall,32_64px,64px_plus
2,1,0000024_00500_d_0000013.jpg,1,pedestrian,30.0,86.99993999999998,2609.9981999999995,0.005034718749999999,0.34482782401918904,False,out_of_range,very_tall,16_32px,64px_plus
3,1,0000024_00500_d_0000013.jpg,1,pedestrian,37.00031999999999,90.00018,3330.035460057599,0.006423679513999998,0.41111384443897764,False,out_of_range,very_tall,32_64px,64px_plus
4,1,0000024_00500_d_0000013.jpg,2,people,27.0,45.9999,1241.9973,0.002395828125,0.586957797734343,False,out_of_range,tall,16_32px,32_64px
5,1,0000024_00500_d_0000013.jpg,2,people,25.999679999999955,43.00019999999998,1117.9914399359975,0.002156619289999995,0.6046409086469358,False,out_of_range,tall,16_32px,32_64px
6,1,0000024_00500_d_0000013.jpg,2,people,30.0,43.99974000000003,1319.992200000001,0.002546281250000002,0.6818222107676086,False,out_of_range,tall,16_32px,32_64px
7,1,0000024_00500_d_0000013.jpg,2,people,16.999679999999998,31.999859999999956,543.9873800447991,0.0010493583719999983,0.531242324185169,True,large_small,tall,16_32px,16_32px
8,1,0000024_00500_d_0000013.jpg,10,motor,42.0,34.00001999999998,1428.000839999999,0.002754631249999998,1.2352933910038884,False,out_of_range,near_square,32_64px,32_64px
9,1,0000024_00500_d_0000013.jpg,10,motor,46.99968,30.999779999999987,1456.9797400703994,0.0028105319059999988,1.5161294693059117,False,out_of_range,wide,32_64px,16_32px
10,1,0000024_00500_d_0000013.jpg,10,motor,73.99968000000001,41.000039999999956,3033.9898399871972,0.0058526038579999945,1.8048684830551407,False,out_of_range,wide,64px_plus,32_64px
11,2,0000026_04978_d_0000034.jpg,4,car,115.99984000000006,56.00029499999994,6496.025259952797,0.006243776681999997,2.071414802368455,False,out_of_range,very_wide,64px_plus,32_64px
12,2,0000026_04978_d_0000034.jpg,4,car,102.99959999999987,45.00036,4635.019079855994,0.004455035639999994,2.288861689106484,False,out_of_range,very_wide,64px_plus,32_64px
13,2,0000026_04978_d_0000034.jpg,4,car,53.00055999999995,48.99977999999999,2597.015779876797,0.002496170491999997,1.0816489380156393,False,out_of_range,near_square,32_64px,32_64px
14,2,0000026_04978_d_0000034.jpg,1,pedestrian,9.000480000000039,26.000054999999975,234.01297502640077,0.00022492596600000073,0.3461715754062846,True,small,very_tall,8_16px,16_32px
15,2,0000026_04978_d_0000034.jpg,4,car,48.99944000000005,104.00022000000001,5095.9525398768055,0.004898070492000005,0.4711474648803632,False,out_of_range,very_tall,32_64px,64px_plus
16,2,0000026_04978_d_0000034.jpg,4,car,47.99983999999995,90.99981000000002,4367.976320030397,0.004198362475999997,0.527471870545663,False,out_of_range,tall,32_64px,64px_plus
17,2,0000026_04978_d_0000034.jpg,4,car,46.000639999999976,86.99962500000004,4002.0384297599994,0.0038466343999999995,0.5287452675801758,False,out_of_range,tall,32_64px,64px_plus
18,2,0000026_04978_d_0000034.jpg,4,car,44.99968000000001,90.99980999999997,4094.9623300607996,0.003935949952,0.4945030105007915,False,out_of_range,very_tall,32_64px,64px_plus
19,2,0000026_04978_d_0000034.jpg,4,car,108.99991999999997,84.99991499999999,9264.983935006796,0.008905213316999996,1.2823532823532822,False,out_of_range,near_square,64px_plus,64px_plus
20,2,0000026_04978_d_0000034.jpg,2,people,16.000400000000013,25.00019999999995,400.01320007999954,0.00038448019999999956,0.6400108799129625,True,large_small,tall,16_32px,16_32px
