layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul_output_0,31.0553,3.8631,8.039,152.6,40.6453
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0,108.1281,12.0076,9.005,73.1,39.0075
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0,108.1281,12.3417,8.761,29.9,30.2924
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0,30.2075,4.0448,7.468,44.9,28.743
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv_output_0,31.0553,4.877,6.368,71.5,27.4506
/model.25/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv_output_0,36.2781,4.5065,8.05,25.8,26.6571
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/act/Mul_output_0,17.1901,3.134,5.485,108.1,25.8814
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv_output_0,21.5222,3.6145,5.954,61.8,24.8036
/model.6/Mul_1,Mul,/model.6/Mul_1_output_0,5.1636,1.1882,4.346,281.3,24.615
/model.6/Add,Add,/model.6/Add_output_0,5.1636,1.1882,4.346,281.3,24.615
/model.25/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul_output_0,15.0126,2.7758,5.408,87.8,24.4022
/model.6/experts.0/conv/conv.3/Conv,Conv,/model.6/experts.0/conv/conv.3/Conv_output_0,8.8243,2.0513,4.302,281.3,24.3894
/model.6/Mul_3,Mul,/model.6/Mul_3_output_0,4.1849,0.9655,4.334,240.5,23.8634
/model.10/act/Mul,Mul,/model.10/act/Mul_output_0,21.5587,3.7581,5.737,59.1,23.6574
/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul_output_0,22.0655,4.5048,4.898,104.6,22.9797
/model.25/cv3.2/cv3.2.0/cv3.2.0.1/conv/Conv,Conv,/model.25/cv3.2/cv3.2.0/cv3.2.0.1/conv/Conv_output_0,25.5617,3.8873,6.576,26.6,21.9847
/model.9/experts.1/conv/conv.2/Mul,Mul,/model.9/experts.1/conv/conv.2/Mul_output_0,8.6788,1.4231,6.099,31.2,21.2815
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0,19.048,3.6216,5.26,51.8,21.0142
/model.11/cv1/act/Mul,Mul,/model.11/cv1/act/Mul_output_0,34.7866,6.9555,5.001,61.8,20.8879
/model.1/act/Mul,Mul,/model.1/act/Mul_output_0,57.8463,12.6254,4.582,70.4,19.7631
/model.2/cv1/act/Mul,Mul,/model.2/cv1/act/Mul_output_0,40.5826,7.9365,5.113,41.3,19.3293
/model.9/experts.0/conv/conv.2/Mul,Mul,/model.9/experts.0/conv/conv.2/Mul_output_0,6.7283,1.7547,3.834,148.7,19.3072
/model.25/cv3.2/cv3.2.1/cv3.2.1.1/act/Mul,Mul,/model.25/cv3.2/cv3.2.1/cv3.2.1.1/act/Mul_output_0,49.1139,13.3376,3.682,176.4,19.264
/model.6/routing/router/router.0/Conv,Conv,/model.6/routing/router/router.0/Conv_output_0,10.0366,3.5338,2.84,817.1,19.169
/model.11/Concat,Concat,/model.11/Concat_output_0,34.7866,7.8935,4.407,67.4,18.8027
/model.21/m.0/m/m.1/cv1/act/Mul,Mul,/model.21/m.0/m/m.1/cv1/act/Mul_output_0,9.7313,1.9286,5.046,34.9,18.1924
/model.6/experts.1/conv/conv.2/Mul,Mul,/model.6/experts.1/conv/conv.2/Mul_output_0,7.7497,1.3467,5.755,21.8,18.1001
/model.2/Concat,Concat,/model.2/Concat_output_0,40.5826,8.6922,4.669,41.3,17.665
/model.25/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv,Conv,/model.25/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv_output_0,22.0655,4.8649,4.536,44.0,17.4253
/model.6/experts.0/conv/conv.2/Mul,Mul,/model.6/experts.0/conv/conv.2/Mul_output_0,6.9931,1.3596,5.144,25.1,16.8824
/model.21/Concat,Concat,/model.21/Concat_output_0,16.2596,3.6161,4.496,38.9,16.7159
/model.21/cv2/act/Mul,Mul,/model.21/cv2/act/Mul_output_0,14.8536,3.5944,4.132,53.3,16.649
/model.11/m.0/m.0.0/attn/MatMul_1,MatMul,/model.11/m.0/m.0.0/attn/MatMul_1_output_0,12.9082,2.0822,6.199,13.3,16.6279
/model.25/cv2.0/cv2.0.1/act/Mul,Mul,/model.25/cv2.0/cv2.0.1/act/Mul_output_0,75.019,14.2708,5.257,20.9,16.4345
/model.15/cv1/act/Mul,Mul,/model.15/cv1/act/Mul_output_0,12.3194,2.8847,4.271,44.2,16.4089
/model.15/Concat,Concat,/model.15/Concat_output_0,12.3194,2.9194,4.22,44.2,16.2155
/model.25/cv3.2/cv3.2.0/cv3.2.0.0/conv/Conv,Conv,/model.25/cv3.2/cv3.2.0/cv3.2.0.0/conv/Conv_output_0,15.0126,3.6211,4.146,46.8,16.1736
/model.2/cv1/conv/Conv,Conv,/model.2/cv1/conv/Conv_output_0,69.3605,15.9089,4.36,37.5,16.1288
/model.25/cv2.0/cv2.0.1/conv/Conv,Conv,/model.25/cv2.0/cv2.0.1/conv/Conv_output_0,75.019,14.3386,5.232,19.5,16.0171
/model.18/cv2/conv/Conv,Conv,/model.18/cv2/conv/Conv_output_0,16.7523,3.3977,4.931,23.4,15.9019
/model.6/Add_1,Add,/model.6/Add_1_output_0,6.5186,1.5909,4.097,46.0,15.8793
/model.0/act/Mul,Mul,/model.0/act/Mul_output_0,81.3663,21.9084,3.714,63.9,15.7192
/model.21/m.0/m/m.0/cv1/act/Mul,Mul,/model.21/m.0/m/m.0/cv1/act/Mul_output_0,7.4214,1.5947,4.654,26.7,15.5557
/model.25/cv3.0/cv3.0.0/cv3.0.0.0/act/Mul,Mul,/model.25/cv3.0/cv3.0.0/cv3.0.0.0/act/Mul_output_0,10.8753,2.7649,3.933,42.9,14.9997
/model.2/cv2/act/Mul,Mul,/model.2/cv2/act/Mul_output_0,22.4319,6.1398,3.654,56.9,14.9833
/model.9/routing/router/router.2/Mul,Mul,/model.9/routing/router/router.2/Mul_output_0,3.6774,1.4766,2.491,381.6,14.8886
/model.11/cv2/act/Mul,Mul,/model.11/cv2/act/Mul_output_0,12.86,3.3682,3.818,46.2,14.8518
/model.6/experts.1/conv/conv.3/Conv,Conv,/model.6/experts.1/conv/conv.3/Conv_output_0,8.8577,2.2832,3.88,43.2,14.8104
/model.17/Concat,Concat,/model.17/Concat_output_0,13.6232,3.5734,3.812,44.1,14.6514
/model.9/Mul_1,Mul,/model.9/Mul_1_output_0,5.1234,1.5302,3.348,74.7,14.5757
/model.9/Add,Add,/model.9/Add_output_0,5.1234,1.5302,3.348,74.7,14.5757
/model.9/experts.1/conv/conv.3/Conv,Conv,/model.9/experts.1/conv/conv.3/Conv_output_0,6.0727,1.8473,3.287,74.7,14.3199
/model.1/conv/Conv,Conv,/model.1/conv/Conv_output_0,70.2131,17.72,3.962,33.9,14.2937
/model.24/m.0/cv1/act/Mul,Mul,/model.24/m.0/cv1/act/Mul_output_0,5.4938,1.1871,4.628,19.9,14.1623
/model.25/cv3.0/cv3.0.0/cv3.0.0.1/conv/Conv,Conv,/model.25/cv3.0/cv3.0.0/cv3.0.0.1/conv/Conv_output_0,14.8775,3.0776,4.834,15.0,13.5406
/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul_output_0,39.8593,14.5944,2.731,131.7,13.535
/model.25/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul,Mul,/model.25/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul_output_0,9.9431,2.4397,4.076,25.6,13.494
/model.21/cv1/act/Mul,Mul,/model.21/cv1/act/Mul_output_0,10.827,3.0356,3.567,38.9,13.2701
/model.3/cv2/act/Mul,Mul,/model.3/cv2/act/Mul_output_0,6.9346,1.5639,4.434,18.1,13.1808
/model.18/Concat,Concat,/model.18/Concat_output_0,7.6906,1.8362,4.188,21.7,13.1768
/model.8/cv2/act/Mul,Mul,/model.8/cv2/act/Mul_output_0,9.9428,2.7033,3.678,33.0,13.091
/model.8/m.1/m.1.1/mlp/mlp.0/act/Mul,Mul,/model.8/m.1/m.1.1/mlp/mlp.0/act/Mul_output_0,8.3111,2.2008,3.776,29.8,13.061
/model.11/m.0/m.0.0/mlp/mlp.1/conv/Conv,Conv,/model.11/m.0/m.0.0/mlp/mlp.1/conv/Conv_output_0,11.8171,2.6614,4.44,17.0,12.9706
/model.11/m.0/m.0.0/Add,Add,/model.11/m.0/m.0.0/Add_output_0,28.2737,7.3272,3.859,25.9,12.867
/model.24/cv2/act/Mul,Mul,/model.24/cv2/act/Mul_output_0,12.5882,3.7926,3.319,45.2,12.8531
/model.24/m.0/Concat,Concat,/model.24/m.0/Concat_output_0,17.2741,5.5493,3.113,52.7,12.545
/model.2/cv2/conv/Conv,Conv,/model.2/cv2/conv/Conv_output_0,38.582,9.543,4.043,20.2,12.5396
/model.25/cv2.2/cv2.2.1/act/Mul,Mul,/model.25/cv2.2/cv2.2.1/act/Mul_output_0,62.1747,18.885,3.292,39.1,12.3587
