layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.0/act/Mul,Mul,/model.0/act/Mul_output_0,139.4574,27.2794,5.112,98.6,23.7698
/model.24/cv2.1/cv2.1.1/act/Mul,Mul,/model.24/cv2.1/cv2.1.1/act/Mul_output_0,9.0363,1.3258,6.816,31.1,23.7536
/model.10/m.1/m.1.1/attn/MatMul,MatMul,/model.10/m.1/m.1.1/attn/MatMul_output_0,531.3322,69.571,7.637,17.0,22.3716
/model.10/m.1/m.1.1/attn/Mul,Mul,/model.10/m.1/m.1.1/attn/Mul_output_0,93.9272,12.2985,7.637,17.0,22.2854
/model.11/experts.0/conv/conv.3/Conv,Conv,/model.11/experts.0/conv/conv.3/Conv_output_0,27.3149,7.5565,3.615,336.4,21.2098
/model.11/experts.1/conv/conv.3/Conv,Conv,/model.11/experts.1/conv/conv.3/Conv_output_0,28.4793,7.5103,3.792,249.4,21.1123
/model.11/experts.1/conv/conv.2/Mul,Mul,/model.11/experts.1/conv/conv.2/Mul_output_0,39.5174,10.2256,3.865,203.5,20.7459
/model.11/experts.0/conv/conv.2/Mul,Mul,/model.11/experts.0/conv/conv.2/Mul_output_0,38.0385,10.1682,3.741,213.5,20.2657
/model.11/Mul_3,Mul,/model.11/Mul_3_output_0,18.568,5.1447,3.609,259.1,20.2196
/model.11/experts.1/conv/conv.4/Mul,Mul,/model.11/experts.1/conv/conv.4/Mul_output_0,37.1577,10.283,3.614,235.8,19.9379
/model.11/experts.1/conv/conv.4/Add,Add,/model.11/experts.1/conv/conv.4/Add_output_0,37.1554,10.2816,3.614,234.6,19.9211
/model.11/experts.1/conv/conv.0/Conv,Conv,/model.11/experts.1/conv/conv.0/Conv_output_0,6.7537,1.5926,4.241,99.2,19.6397
/model.11/experts.0/conv/conv.0/Conv,Conv,/model.11/experts.0/conv/conv.0/Conv_output_0,6.8012,1.5895,4.279,87.7,19.2956
/model.11/Mul_1,Mul,/model.11/Mul_1_output_0,18.1891,5.1849,3.508,229.5,19.2319
/model.11/Add,Add,/model.11/Add_output_0,18.1891,5.1849,3.508,229.5,19.2319
/model.11/experts.0/conv/conv.4/Add,Add,/model.11/experts.0/conv/conv.4/Add_output_0,35.4185,10.3777,3.413,259.1,19.1597
