layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.8/experts.0/conv/conv.2/Mul,Mul,/model.8/experts.0/conv/conv.2/Mul_output_0,235.5851,4.6894,50.238,4054.8,417.6446
/model.8/experts.0/conv/conv.0/Conv,Conv,/model.8/experts.0/conv/conv.0/Conv_output_0,3.8772,0.0716,54.172,1467.0,395.0868
/model.8/experts.1/conv/conv.0/Conv,Conv,/model.8/experts.1/conv/conv.0/Conv_output_0,3.9491,0.0736,53.673,1195.8,380.4796
/model.8/experts.1/conv/conv.2/Mul,Mul,/model.8/experts.1/conv/conv.2/Mul_output_0,234.1422,4.9642,47.166,3011.3,378.0934
/model.11/experts.0/conv/conv.2/Mul,Mul,/model.11/experts.0/conv/conv.2/Mul_output_0,146.3823,3.659,40.006,1902.4,302.3467
/model.11/experts.1/conv/conv.2/Mul,Mul,/model.11/experts.1/conv/conv.2/Mul_output_0,136.5349,3.6516,37.391,2601.6,294.296
/model.8/experts.0/conv/conv.1/Mul,Mul,/model.8/experts.0/conv/conv.1/Mul_output_0,235.6514,6.6,35.705,2580.9,280.7786
/model.8/experts.1/conv/conv.1/Mul,Mul,/model.8/experts.1/conv/conv.1/Mul_output_0,234.2028,6.3494,36.886,1673.9,274.0941
/model.8/experts.0/conv/conv.1/Add,Add,/model.8/experts.0/conv/conv.1/Add_output_0,235.5851,6.6162,35.607,1936.4,269.7871
/model.8/experts.1/conv/conv.1/Add,Add,/model.8/experts.1/conv/conv.1/Add_output_0,234.1422,6.3652,36.785,1492.2,269.1202
/model.11/experts.2/conv/conv.2/Mul,Mul,/model.11/experts.2/conv/conv.2/Mul_output_0,138.524,4.3241,32.036,3196.2,258.7744
/model.11/experts.3/conv/conv.2/Mul,Mul,/model.11/experts.3/conv/conv.2/Mul_output_0,140.2963,4.348,32.267,2532.3,253.13
/model.11/experts.1/conv/conv.1/Mul,Mul,/model.11/experts.1/conv/conv.1/Mul_output_0,136.5614,4.1476,32.926,1329.7,237.0969
/model.11/experts.1/conv/conv.1/Add,Add,/model.11/experts.1/conv/conv.1/Add_output_0,136.5349,4.1557,32.855,1325.9,236.4936
/model.11/experts.0/conv/conv.1/Mul,Mul,/model.11/experts.0/conv/conv.1/Mul_output_0,146.412,4.2849,34.169,918.4,233.4115
/model.11/experts.0/conv/conv.1/Add,Add,/model.11/experts.0/conv/conv.1/Add_output_0,146.3823,4.2896,34.125,896.2,232.2757
/model.11/experts.2/conv/conv.1/Add,Add,/model.11/experts.2/conv/conv.1/Add_output_0,138.524,4.5577,30.393,1541.7,223.3727
/model.11/experts.2/conv/conv.1/Mul,Mul,/model.11/experts.2/conv/conv.1/Mul_output_0,138.5503,4.5595,30.387,1523.6,222.9672
/model.11/experts.3/conv/conv.1/Mul,Mul,/model.11/experts.3/conv/conv.1/Mul_output_0,140.3216,4.6836,29.96,1263.6,214.2384
/model.11/experts.3/conv/conv.1/Add,Add,/model.11/experts.3/conv/conv.1/Add_output_0,140.2963,4.6845,29.949,1256.2,213.9814
/model.11/experts.1/conv/conv.0/Conv,Conv,/model.11/experts.1/conv/conv.0/Conv_output_0,1.5658,0.0582,26.906,947.7,184.4908
/model.11/experts.3/conv/conv.0/Conv,Conv,/model.11/experts.3/conv/conv.0/Conv_output_0,1.6878,0.0682,24.743,1225.1,176.0096
/model.11/experts.0/conv/conv.0/Conv,Conv,/model.11/experts.0/conv/conv.0/Conv_output_0,1.5641,0.0629,24.879,747.0,164.6815
/model.11/experts.2/conv/conv.0/Conv,Conv,/model.11/experts.2/conv/conv.0/Conv_output_0,1.5551,0.0712,21.841,1058.7,152.1873
/model.7/cv2/act/Mul,Mul,/model.7/cv2/act/Mul_output_0,71.3435,2.6873,26.549,251.8,147.0918
/model.24/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv,Conv,/model.24/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv_output_0,74.5097,3.9021,19.095,131.7,93.5488
/model.8/experts.0/conv/conv.3/Conv,Conv,/model.8/experts.0/conv/conv.3/Conv_output_0,24.4222,2.1115,11.566,515.7,72.4199
/model.7/cv2/conv/Conv,Conv,/model.7/cv2/conv/Conv_output_0,71.3435,4.8342,14.758,53.8,59.3
/model.8/experts.1/conv/conv.3/Conv,Conv,/model.8/experts.1/conv/conv.3/Conv_output_0,23.4744,2.2876,10.262,294.9,58.5496
/model.8/Add_1,Add,/model.8/Add_1_output_0,54.3312,5.7044,9.524,263.1,53.3117
/model.8/experts.0/conv/conv.4/Add,Add,/model.8/experts.0/conv/conv.4/Add_output_0,50.9544,5.6054,9.09,285.6,51.6307
/model.8/Mul_3,Mul,/model.8/Mul_3_output_0,25.46,2.8008,9.09,285.6,51.597
/model.8/experts.0/conv/conv.4/Mul,Mul,/model.8/experts.0/conv/conv.4/Mul_output_0,50.9237,5.6208,9.06,258.1,50.5444
/model.8/shared_expert/shared_expert.2/Mul,Mul,/model.8/shared_expert/shared_expert.2/Mul_output_0,43.0067,4.5445,9.463,139.2,46.9695
/model.11/Add_1,Add,/model.11/Add_1_output_0,62.754,10.4567,6.001,1753.4,45.0369
/model.8/experts.1/conv/conv.4/Mul,Mul,/model.8/experts.1/conv/conv.4/Mul_output_0,57.6568,6.6451,8.677,165.2,44.5697
/model.8/experts.1/conv/conv.4/Add,Add,/model.8/experts.1/conv/conv.4/Add_output_0,57.7034,6.645,8.684,154.1,44.0044
/model.8/Mul_1,Mul,/model.8/Mul_1_output_0,28.8712,3.3248,8.684,154.1,43.9706
/model.8/Add,Add,/model.8/Add_output_0,28.8712,3.3248,8.684,154.1,43.9706
/model.11/shared_expert/shared_expert.2/Mul,Mul,/model.11/shared_expert/shared_expert.2/Mul_output_0,33.7335,4.2282,7.978,121.2,38.5151
/model.11/experts.3/conv/conv.4/Mul,Mul,/model.11/experts.3/conv/conv.4/Mul_output_0,68.5757,15.5919,4.398,4335.5,37.0459
/model.11/Mul_3,Mul,/model.11/Mul_3_output_0,34.2942,7.4975,4.574,2831.7,36.5376
/model.11/experts.3/conv/conv.4/Add,Add,/model.11/experts.3/conv/conv.4/Add_output_0,68.5884,15.5964,4.398,3227.9,35.7451
/model.24/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv,Conv,/model.24/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv_output_0,27.9336,3.5057,7.968,79.9,35.1704
/model.24/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul,Mul,/model.24/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul_output_0,25.1504,3.0574,8.226,61.3,34.1579
/model.11/experts.2/conv/conv.4/Add,Add,/model.11/experts.2/conv/conv.4/Add_output_0,69.1986,14.9763,4.621,1081.7,32.4971
/model.11/experts.2/conv/conv.4/Mul,Mul,/model.11/experts.2/conv/conv.4/Mul_output_0,69.1865,14.9707,4.621,1011.5,32.1941
/model.11/Mul_1,Mul,/model.11/Mul_1_output_0,34.5992,7.5261,4.597,1041.4,32.1262
/model.11/Add,Add,/model.11/Add_output_0,34.5992,7.5261,4.597,1041.4,32.1262
