layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.24/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul,Mul,/model.24/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0,35.6703,5.5369,6.442,28.1,21.9024
/model.2/cv1/conv/Conv,Conv,/model.2/cv1/conv/Conv_output_0,71.7147,9.9463,7.21,16.9,21.0245
/model.0/act/Mul,Mul,/model.0/act/Mul_output_0,125.5736,27.9764,4.489,46.8,17.604
/model.1/act/Mul,Mul,/model.1/act/Mul_output_0,37.4302,6.9088,5.418,20.5,16.7964
/model.24/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul,Mul,/model.24/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0,22.1432,4.9681,4.457,25.8,14.8188
/model.11/experts.1/conv/conv.2/Mul,Mul,/model.11/experts.1/conv/conv.2/Mul_output_0,26.5872,8.6678,3.067,110.4,14.6221
/model.8/experts.3/conv/conv.2/Mul,Mul,/model.8/experts.3/conv/conv.2/Mul_output_0,23.5106,7.2743,3.232,84.6,14.5419
/model.24/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,Conv,/model.24/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0,35.6703,6.8286,5.224,13.4,14.1292
/model.11/experts.0/conv/conv.2/Mul,Mul,/model.11/experts.0/conv/conv.2/Mul_output_0,23.6315,8.5227,2.773,106.0,13.1176
/model.1/conv/Conv,Conv,/model.1/conv/Conv_output_0,62.8585,13.8569,4.536,14.0,12.484
/model.16/Concat,Concat,/model.16/Concat_output_0,15.1733,4.6437,3.268,40.8,12.3379
/model.11/experts.1/conv/conv.0/Conv,Conv,/model.11/experts.1/conv/conv.0/Conv_output_0,9.7179,3.1318,3.103,49.6,12.2968
/model.11/experts.0/conv/conv.3/Conv,Conv,/model.11/experts.0/conv/conv.3/Conv_output_0,27.91,11.2659,2.477,131.1,12.2664
/model.11/experts.1/conv/conv.1/Add,Add,/model.11/experts.1/conv/conv.1/Add_output_0,26.5872,8.6702,3.067,46.8,12.0261
/model.11/experts.1/conv/conv.1/Mul,Mul,/model.11/experts.1/conv/conv.1/Mul_output_0,26.5815,8.6678,3.067,46.5,12.0066
/model.11/experts.0/conv/conv.4/Add,Add,/model.11/experts.0/conv/conv.4/Add_output_0,21.7227,8.8924,2.443,123.1,11.9328
/model.8/Add_1,Add,/model.8/Add_1_output_0,12.0946,4.2785,2.827,61.9,11.8365
/model.11/experts.0/conv/conv.4/Mul,Mul,/model.11/experts.0/conv/conv.4/Mul_output_0,21.724,8.8937,2.443,118.1,11.832
/model.14/Concat,Concat,/model.14/Concat_output_0,12.848,3.9007,3.294,33.2,11.7619
/model.8/experts.0/conv/conv.2/Mul,Mul,/model.8/experts.0/conv/conv.2/Mul_output_0,17.4556,6.2552,2.791,62.7,11.7378
/model.8/experts.2/conv/conv.3/Conv,Conv,/model.8/experts.2/conv/conv.3/Conv_output_0,22.6495,8.5664,2.644,75.7,11.6327
/model.11/Mul_3,Mul,/model.11/Mul_3_output_0,10.8532,4.4173,2.457,104.0,11.5587
/model.11/Mul_1,Mul,/model.11/Mul_1_output_0,10.1295,4.2698,2.372,123.1,11.5572
/model.11/Add,Add,/model.11/Add_output_0,10.1295,4.2698,2.372,123.1,11.5572
/model.14/m.0/Concat,Concat,/model.14/m.0/Concat_output_0,17.1838,6.1408,2.798,57.7,11.5391
/model.11/experts.1/conv/conv.4/Add,Add,/model.11/experts.1/conv/conv.4/Add_output_0,20.2438,8.4824,2.387,115.9,11.5157
/model.11/experts.1/conv/conv.4/Mul,Mul,/model.11/experts.1/conv/conv.4/Mul_output_0,20.241,8.4826,2.386,115.1,11.4977
/model.11/experts.1/conv/conv.3/Conv,Conv,/model.11/experts.1/conv/conv.3/Conv_output_0,25.7975,10.5861,2.437,102.0,11.4597
/model.5/routing/router/router.0/Conv,Conv,/model.5/routing/router/router.0/Conv_output_0,0.5321,0.2674,1.99,299.8,11.3757
/model.11/Add_1,Add,/model.11/Add_1_output_0,14.4258,6.0955,2.367,104.3,11.158
/model.8/experts.2/conv/conv.2/Mul,Mul,/model.8/experts.2/conv/conv.2/Mul_output_0,16.8524,6.4166,2.626,60.6,10.9643
/model.8/experts.0/conv/conv.4/Add,Add,/model.8/experts.0/conv/conv.4/Add_output_0,12.4974,4.823,2.591,61.5,10.8471
/model.8/experts.1/conv/conv.2/Mul,Mul,/model.8/experts.1/conv/conv.2/Mul_output_0,16.5369,6.3571,2.601,59.5,10.8156
/model.24/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,Conv,/model.24/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0,22.1432,6.2683,3.533,19.4,10.8125
/model.8/experts.0/conv/conv.4/Mul,Mul,/model.8/experts.0/conv/conv.4/Mul_output_0,12.5262,4.8409,2.588,61.0,10.8095
/model.22/Concat,Concat,/model.22/Concat_output_0,17.4944,5.977,2.927,37.1,10.7982
/model.0/conv/Conv,Conv,/model.0/conv/Conv_output_0,128.6956,35.1975,3.656,16.1,10.6139
/model.8/experts.1/conv/conv.4/Mul,Mul,/model.8/experts.1/conv/conv.4/Mul_output_0,12.7824,5.1204,2.496,65.3,10.6005
/model.11/experts.0/conv/conv.1/Add,Add,/model.11/experts.0/conv/conv.1/Add_output_0,23.6315,8.5248,2.772,42.1,10.5949
/model.8/experts.1/conv/conv.4/Add,Add,/model.8/experts.1/conv/conv.4/Add_output_0,12.7687,5.1074,2.5,64.6,10.5883
/model.8/experts.1/conv/conv.3/Conv,Conv,/model.8/experts.1/conv/conv.3/Conv_output_0,21.6426,8.7139,2.484,65.5,10.5814
/model.11/experts.0/conv/conv.1/Mul,Mul,/model.11/experts.0/conv/conv.1/Mul_output_0,23.6257,8.522,2.772,41.9,10.579
/model.8/experts.3/conv/conv.1/Mul,Mul,/model.8/experts.3/conv/conv.1/Mul_output_0,23.5007,7.2698,3.233,23.8,10.5351
/model.8/experts.0/conv/conv.3/Conv,Conv,/model.8/experts.0/conv/conv.3/Conv_output_0,20.6773,8.2398,2.509,61.3,10.5221
/model.9/act/Mul,Mul,/model.9/act/Mul_output_0,10.7689,3.6344,2.963,32.3,10.5092
/model.8/experts.3/conv/conv.1/Add,Add,/model.8/experts.3/conv/conv.1/Add_output_0,23.5106,7.2794,3.23,23.6,10.5081
/model.11/experts.0/conv/conv.0/Conv,Conv,/model.11/experts.0/conv/conv.0/Conv_output_0,8.415,3.1114,2.705,44.6,10.4421
/model.13/Concat,Concat,/model.13/Concat_output_0,17.4944,6.236,2.805,37.1,10.3558
/model.24/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul,Mul,/model.24/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul_output_0,12.0932,4.179,2.894,32.6,10.3003
/model.8/routing/router/router.0/Conv,Conv,/model.8/routing/router/router.0/Conv_output_0,0.7383,0.4462,1.655,463.0,10.1871
/model.8/experts.3/conv/conv.3/Conv,Conv,/model.8/experts.3/conv/conv.3/Conv_output_0,21.0249,8.9213,2.357,68.3,10.142
/model.8/experts.2/conv/conv.4/Mul,Mul,/model.8/experts.2/conv/conv.4/Mul_output_0,12.3672,4.9945,2.476,55.4,10.113
/model.8/experts.3/conv/conv.0/Conv,Conv,/model.8/experts.3/conv/conv.0/Conv_output_0,8.7505,2.7902,3.136,23.0,10.0759
/model.8/experts.2/conv/conv.4/Add,Add,/model.8/experts.2/conv/conv.4/Add_output_0,12.3473,4.9797,2.48,53.1,10.0272
/model.11/routing/router/router.0/Conv,Conv,/model.11/routing/router/router.0/Conv_output_0,0.1921,0.1256,1.53,686.5,10.0048
/model.8/Mul_3,Mul,/model.8/Mul_3_output_0,6.1687,2.4968,2.471,53.1,9.9606
/model.24/cv2.0/cv2.0.1/act/Mul,Mul,/model.24/cv2.0/cv2.0.1/act/Mul_output_0,24.3141,6.8413,3.554,14.7,9.957
/model.14/cv2/act/Mul,Mul,/model.14/cv2/act/Mul_output_0,12.6517,4.8495,2.609,40.8,9.8703
/model.11/Add_2,Add,/model.11/Add_2_output_0,17.4944,6.5491,2.671,37.1,9.8677
/model.2/cv1/act/Mul,Mul,/model.2/cv1/act/Mul_output_0,19.0891,5.1746,3.689,12.4,9.7135
/model.19/Concat,Concat,/model.19/Concat_output_0,12.6517,4.9289,2.567,40.8,9.7135
/model.8/experts.3/conv/conv.4/Add,Add,/model.8/experts.3/conv/conv.4/Add_output_0,12.3851,5.207,2.379,53.9,9.6566
/model.8/Mul_1,Mul,/model.8/Mul_1_output_0,6.1975,2.6033,2.381,53.9,9.6339
/model.8/Add,Add,/model.8/Add_output_0,6.1975,2.6033,2.381,53.9,9.6339
