layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul_output_0,37.8154,3.3439,11.309,191.8,59.6866
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0,38.2173,3.0665,12.463,59.7,51.3454
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv_output_0,43.4448,4.7144,9.215,107.9,43.41
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0,108.6088,13.4951,8.048,39.9,30.1018
/model.9/experts.0/conv/conv.2/Mul,Mul,/model.9/experts.0/conv/conv.2/Mul_output_0,5.5572,0.5822,9.546,20.0,29.1361
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0,108.6088,13.7363,7.907,14.8,22.0606
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv_output_0,18.9014,3.8058,4.966,78.8,21.9027
/model.2/cv1/conv/Conv,Conv,/model.2/cv1/conv/Conv_output_0,110.9815,22.5191,4.928,60.5,20.5346
/model.6/experts.0/conv/conv.2/Mul,Mul,/model.6/experts.0/conv/conv.2/Mul_output_0,4.4948,0.6304,7.13,16.1,20.3448
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0,14.1533,2.6092,5.424,32.7,19.2171
/model.6/experts.1/conv/conv.2/Mul,Mul,/model.6/experts.1/conv/conv.2/Mul_output_0,4.6661,0.7075,6.595,16.8,19.0598
/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul_output_0,68.1068,15.8606,4.294,77.5,18.9459
/model.25/cv2.0/cv2.0.1/act/Mul,Mul,/model.25/cv2.0/cv2.0.1/act/Mul_output_0,87.7955,13.9594,6.289,16.5,18.2161
/model.9/experts.0/conv/conv.3/Conv,Conv,/model.9/experts.0/conv/conv.3/Conv_output_0,7.4688,1.9801,3.772,117.5,18.1185
/model.9/Mul_1,Mul,/model.9/Mul_1_output_0,5.327,1.4123,3.772,117.5,18.1035
/model.9/Add,Add,/model.9/Add_output_0,5.327,1.4123,3.772,117.5,18.1035
/model.25/cv2.0/cv2.0.1/conv/Conv,Conv,/model.25/cv2.0/cv2.0.1/conv/Conv_output_0,87.7955,14.1292,6.214,16.4,17.9723
/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul_output_0,19.0554,5.0047,3.807,97.5,17.6268
/model.1/act/Mul,Mul,/model.1/act/Mul_output_0,99.0,22.7981,4.342,42.8,16.6421
/model.12/experts.0/conv/conv.2/Mul,Mul,/model.12/experts.0/conv/conv.2/Mul_output_0,8.1069,1.6732,4.845,29.1,16.6094
/model.25/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv_output_0,22.791,4.2921,5.31,19.9,16.3105
/model.11/m.0/m.0.0/mlp/mlp.0/act/Mul,Mul,/model.11/m.0/m.0.0/mlp/mlp.0/act/Mul_output_0,8.3393,1.8211,4.579,30.8,15.9479
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/act/Mul_output_0,11.8977,3.5244,3.376,97.9,15.6368
/model.6/Mul_1,Mul,/model.6/Mul_1_output_0,4.3784,1.0737,4.078,40.9,15.316
/model.6/Add,Add,/model.6/Add_output_0,4.3784,1.0737,4.078,40.9,15.316
/model.6/experts.1/conv/conv.3/Conv,Conv,/model.6/experts.1/conv/conv.3/Conv_output_0,7.601,1.8891,4.024,40.9,15.1375
/model.25/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul_output_0,12.0353,3.6022,3.341,84.3,14.9835
/model.7/act/Mul,Mul,/model.7/act/Mul_output_0,11.6672,2.6794,4.354,27.2,14.6677
/model.1/conv/Conv,Conv,/model.1/conv/Conv_output_0,99.0,26.6026,3.721,42.5,14.2668
