layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul_output_0,41.9353,3.4777,12.058,266.7,67.5901
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0,47.1751,3.2139,14.678,70.8,62.9241
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv_output_0,42.9558,5.0405,8.522,140.7,42.4036
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0,131.3095,14.2162,9.237,36.6,33.7387
/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul_output_0,92.094,16.4919,5.584,185.9,29.4354
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0,131.3095,14.519,9.044,17.0,26.4004
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv_output_0,21.2241,3.6735,5.778,86.1,25.9611
/model.9/experts.0/conv/conv.2/Mul,Mul,/model.9/experts.0/conv/conv.2/Mul_output_0,5.1995,0.6065,8.573,18.7,25.6309
/model.6/experts.0/conv/conv.2/Mul,Mul,/model.6/experts.0/conv/conv.2/Mul_output_0,5.1657,0.6344,8.143,18.6,24.3008
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0,14.5147,2.7088,5.358,40.8,20.1381
/model.1/act/Mul,Mul,/model.1/act/Mul_output_0,112.0645,23.0882,4.854,58.9,20.1041
/model.2/cv1/conv/Conv,Conv,/model.2/cv1/conv/Conv_output_0,113.3439,23.3217,4.86,55.6,19.8491
/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul_output_0,18.5755,4.4174,4.205,103.8,19.7091
/model.9/experts.0/conv/conv.3/Conv,Conv,/model.9/experts.0/conv/conv.3/Conv_output_0,7.9924,2.0316,3.934,125.8,19.1605
