layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul_output_0,42.9028,3.525,12.171,141.1,60.5128
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0,39.8621,3.3398,11.936,50.6,47.2435
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv_output_0,47.5628,5.2792,9.009,69.9,38.592
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv_output_0,21.2241,3.7721,5.627,78.9,24.8012
/model.2/cv1/conv/Conv,Conv,/model.2/cv1/conv/Conv_output_0,128.0713,22.7499,5.63,64.6,23.7913
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0,86.5413,14.4527,5.988,33.8,21.4781
/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul_output_0,19.1542,4.4167,4.337,125.2,21.1302
/model.9/experts.0/conv/conv.3/Conv,Conv,/model.9/experts.0/conv/conv.3/Conv_output_0,8.555,2.0211,4.233,134.6,20.8958
/model.9/experts.0/conv/conv.2/Mul,Mul,/model.9/experts.0/conv/conv.2/Mul_output_0,4.5283,0.6204,7.299,16.3,20.8777
/model.9/Mul_1,Mul,/model.9/Mul_1_output_0,5.9946,1.438,4.169,134.6,20.5656
/model.9/Add,Add,/model.9/Add_output_0,5.9946,1.438,4.169,134.6,20.5656
/model.6/experts.0/conv/conv.2/Mul,Mul,/model.6/experts.0/conv/conv.2/Mul_output_0,4.6672,0.67,6.966,16.8,20.128
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0,15.6091,2.7966,5.582,29.7,19.2562
/model.25/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv_output_0,25.8035,4.3801,5.891,21.3,18.4618
/model.1/act/Mul,Mul,/model.1/act/Mul_output_0,112.0645,23.5391,4.761,41.7,18.1109
/model.6/experts.1/conv/conv.2/Mul,Mul,/model.6/experts.1/conv/conv.2/Mul_output_0,4.5906,0.7328,6.264,16.5,18.0104
/model.11/m.0/m.0.0/mlp/mlp.0/act/Mul,Mul,/model.11/m.0/m.0.0/mlp/mlp.0/act/Mul_output_0,9.3849,1.878,4.997,33.9,17.8634
/model.0/act/Mul,Mul,/model.0/act/Mul_output_0,64.9266,20.1703,3.219,224.1,17.6451
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/act/Mul_output_0,13.2932,3.4908,3.808,92.7,17.4224
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0,86.5413,14.7452,5.869,17.1,17.2106
/model.25/cv2.0/cv2.0.1/act/Mul,Mul,/model.25/cv2.0/cv2.0.1/act/Mul_output_0,91.2139,14.675,6.216,13.4,16.7953
/model.25/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul_output_0,11.981,3.1169,3.844,73.9,16.7204
/model.25/cv2.0/cv2.0.1/conv/Conv,Conv,/model.25/cv2.0/cv2.0.1/conv/Conv_output_0,91.2139,14.8266,6.152,13.4,16.6197
/model.12/experts.0/conv/conv.2/Mul,Mul,/model.12/experts.0/conv/conv.2/Mul_output_0,7.9116,1.7042,4.642,28.4,15.8112
/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul_output_0,62.9649,16.8543,3.736,62.1,15.6897
/model.25/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv,Conv,/model.25/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv_output_0,19.1542,5.0888,3.764,52.2,15.1062
/model.1/conv/Conv,Conv,/model.1/conv/Conv_output_0,112.0645,27.6376,4.055,36.5,14.936
/model.2/cv2/act/Mul,Mul,/model.2/cv2/act/Mul_output_0,29.0289,7.9867,3.635,52.3,14.6189
/model.25/cv3.2/cv3.2.0/cv3.2.0.1/conv/Conv,Conv,/model.25/cv3.2/cv3.2.0/cv3.2.0.1/conv/Conv_output_0,22.0898,4.3289,5.103,15.7,14.5144
/model.2/cv2/conv/Conv,Conv,/model.2/cv2/conv/Conv_output_0,50.7474,10.7446,4.723,18.4,14.1905
/model.6/routing/router/router.2/Mul,Mul,/model.6/routing/router/router.2/Mul_output_0,5.3121,2.3687,2.243,513.9,14.0949
/model.25/cv3.2/cv3.2.0/cv3.2.0.0/conv/Conv,Conv,/model.25/cv3.2/cv3.2.0/cv3.2.0.0/conv/Conv_output_0,15.8171,4.0857,3.871,30.4,13.4815
/model.6/Mul_1,Mul,/model.6/Mul_1_output_0,4.0631,1.0905,3.726,35.4,13.4693
/model.6/Add,Add,/model.6/Add_output_0,4.0631,1.0905,3.726,35.4,13.4693
/model.15/Concat,Concat,/model.15/Concat_output_0,9.1835,2.3886,3.845,29.8,13.2936
/model.2/cv1/act/Mul,Mul,/model.2/cv1/act/Mul_output_0,37.9549,9.2136,4.119,21.8,13.0573
/model.15/cv1/act/Mul,Mul,/model.15/cv1/act/Mul_output_0,9.1835,2.3336,3.935,25.1,12.9486
/model.25/cv3.1/cv3.1.0/cv3.1.0.1/act/Mul,Mul,/model.25/cv3.1/cv3.1.0/cv3.1.0.1/act/Mul_output_0,13.3894,3.7502,3.57,34.8,12.907
/model.6/experts.1/conv/conv.3/Conv,Conv,/model.6/experts.1/conv/conv.3/Conv_output_0,6.7637,1.9108,3.54,35.4,12.8217
/model.9/Add_1,Add,/model.9/Add_1_output_0,6.8286,1.8107,3.771,26.7,12.6295
/model.10/act/Mul,Mul,/model.10/act/Mul_output_0,11.7059,3.5684,3.28,42.0,12.4685
/model.25/cv3.2/cv3.2.1/cv3.2.1.1/act/Mul,Mul,/model.25/cv3.2/cv3.2.1/cv3.2.1.1/act/Mul_output_0,37.6002,15.1655,2.479,135.0,12.3632
/model.8/m.1/m.1.0/mlp/mlp.0/act/Mul,Mul,/model.8/m.1/m.1.0/mlp/mlp.0/act/Mul_output_0,7.2268,1.9929,3.626,26.0,12.0506
/model.23/Concat,Concat,/model.23/Concat_output_0,16.002,4.268,3.749,22.4,11.9545
/model.25/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul,Mul,/model.25/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul_output_0,8.1888,2.361,3.468,29.4,11.9541
/model.8/cv2/act/Mul,Mul,/model.8/cv2/act/Mul_output_0,8.9659,2.5768,3.479,29.0,11.9435
/model.12/shared_expert/shared_expert.2/Mul,Mul,/model.12/shared_expert/shared_expert.2/Mul_output_0,10.781,3.369,3.2,38.7,11.9053
/model.11/m.0/m.0.0/attn/MatMul,MatMul,/model.11/m.0/m.0.0/attn/MatMul_output_0,122.7606,21.2396,5.78,6.2,11.6113
/model.11/m.1/m.1.0/mlp/mlp.0/act/Mul,Mul,/model.11/m.1/m.1.0/mlp/mlp.0/act/Mul_output_0,7.6501,2.247,3.405,27.7,11.5375
