layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.0/act/Mul,Mul,/model.0/act/Mul_output_0,136.5733,23.5847,5.791,57.0,23.7554
/model.24/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul,Mul,/model.24/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0,27.076,4.8648,5.566,40.0,20.8383
/model.1/act/Mul,Mul,/model.1/act/Mul_output_0,60.1371,10.6783,5.632,35.2,20.4252
/model.24/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul,Mul,/model.24/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0,31.377,5.494,5.711,15.4,16.1396
/model.0/conv/Conv,Conv,/model.0/conv/Conv_output_0,136.5733,29.9485,4.56,21.5,14.4461
/model.24/cv2.1/cv2.1.1/act/Mul,Mul,/model.24/cv2.1/cv2.1.1/act/Mul_output_0,25.267,6.0839,4.153,25.8,13.8225
/model.24/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul,Mul,/model.24/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul_output_0,16.476,4.5425,3.627,38.4,13.4688
/model.24/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,Conv,/model.24/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0,27.076,6.1316,4.416,18.2,13.2095
/model.8/experts.1/conv/conv.2/Mul,Mul,/model.8/experts.1/conv/conv.2/Mul_output_0,25.2413,8.9667,2.815,83.6,12.6558
/model.20/m.0/m/m.1/cv2/act/Mul,Mul,/model.20/m.0/m/m.1/cv2/act/Mul_output_0,18.5978,4.1515,4.48,14.0,12.2799
/model.16/Concat,Concat,/model.16/Concat_output_0,21.3639,6.2712,3.407,32.5,12.1148
/model.24/cv2.2/cv2.2.1/act/Mul,Mul,/model.24/cv2.2/cv2.2.1/act/Mul_output_0,11.7013,3.6787,3.181,42.0,12.0922
/model.24/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,Conv,/model.24/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0,31.377,6.4989,4.828,10.4,11.9431
/model.1/conv/Conv,Conv,/model.1/conv/Conv_output_0,72.1197,17.1585,4.203,14.7,11.7835
/model.23/m.0/Concat,Concat,/model.23/m.0/Concat_output_0,21.5333,7.7183,2.79,52.9,11.2793
/model.23/m.0/m/m.1/cv1/act/Mul,Mul,/model.23/m.0/m/m.1/cv1/act/Mul_output_0,13.2001,4.0558,3.255,27.5,11.0299
/model.24/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv,Conv,/model.24/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv_output_0,23.2765,6.1041,3.813,15.7,10.8989
/model.2/cv1/act/Mul,Mul,/model.2/cv1/act/Mul_output_0,25.8562,6.7986,3.803,15.6,10.8458
/model.24/cv2.1/cv2.1.0/act/Mul,Mul,/model.24/cv2.1/cv2.1.0/act/Mul_output_0,15.9957,4.3499,3.677,16.0,10.5551
/model.23/m.0/cv3/act/Mul,Mul,/model.23/m.0/cv3/act/Mul_output_0,11.9615,4.3653,2.74,43.0,10.4945
/model.23/m.0/m/m.1/cv2/act/Mul,Mul,/model.23/m.0/m/m.1/cv2/act/Mul_output_0,12.8325,4.1848,3.066,28.0,10.4587
