protocol_id,dataset,method,run_name,seed,rank,alpha,epochs,imgsz,fraction,amp_strategy,head_lr_scale,router_lr_scale,adapter_lr_scale,requested_batch,actual_batch,effective_batch,precision,recall,mAP50,mAP50_95,best_epoch,epochs_completed,trainable_params,trainable_pct,peak_gpu_mem_gib,train_time_s,inference_ms_per_image,formal_validity_status,recovery_status,version_scope
issue50_research_extension_v1,Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed0,0,0,0,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.4666,0.77819,0.55688,0.40021,16,31,2114633,79.42098625309006,6.51,385.617,2.4,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed1,1,0,0,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.41243,0.77071,0.51024,0.36552,32,40,2114633,79.42098625309006,6.51,475.534,1.8,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed2,2,0,0,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.4517,0.81704,0.56568,0.40944,35,40,2114633,79.42098625309006,6.52,453.146,2.9,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,Brain Tumor,Neck + Head,phase2_brain_tumor_neck_head_seed0,0,0,0,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.42841,0.8249,0.48627,0.3477,9,24,901574,33.861145768624354,6.47,278.315,1.8,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,Brain Tumor,Partial fine-tuning + LoRA,phase2_brain_tumor_partial_lora_seed0,0,4,8,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.45995,0.74795,0.49727,0.35319,19,34,965574,35.41360878644974,7.47,486.725,2.5,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed0_b4,0,0,0,30,768,0.2,FP32,1.0,0.5,0.1,4,4,64,0.38332,0.29447,0.27708,0.15527,30,30,2664106,99.99939942690312,23.0,1912.46,5.6,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed1_b4,1,0,0,30,768,0.2,FP32,1.0,0.5,0.1,4,4,64,0.37778,0.30202,0.2773,0.15401,30,30,2664106,99.99939942690312,23.0,1886.18,4.9,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed2_b4,2,0,0,30,768,0.2,FP32,1.0,0.5,0.1,4,4,64,0.38523,0.29506,0.27211,0.15097,28,30,2664106,99.99939942690312,23.0,1892.95,5.3,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,VisDrone,Last stage + Neck + Head,phase2_visdrone_last_stage_neck_head_seed0_b4,0,0,0,30,768,0.2,FP32,1.0,0.5,0.1,4,4,64,0.37922,0.29369,0.27054,0.14988,28,30,2116193,79.43303647505631,22.5,1745.97,5.4,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,VisDrone,Neck + Head,phase2_visdrone_neck_head_seed0_b4,0,0,0,30,768,0.2,FP32,1.0,0.5,0.1,4,4,64,0.35764,0.28831,0.25819,0.14359,30,30,903134,33.89987395472129,22.5,1705.06,6.4,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,Brain Tumor,Head-only,brain_tumor_head_only_seed0,0,0,0,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.45906,0.86525,0.51525,0.36997,13,28,347718,13.059526876745029,6.21,306.462,2.0,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,Brain Tumor,Full fine-tuning,brain_tumor_full_finetune_seed0,0,0,0,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.4426,0.83539,0.51586,0.37121,32,40,2662546,99.99939907502623,9.44,537.624,2.3,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,Brain Tumor,Stable LoRA,brain_tumor_r4_stable_v1_seed0,0,4,8,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.39918,0.06107,0.11416,0.06395,8,23,409174,15.007,7.46,325.142,3.0,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
issue50_research_extension_v1,Brain Tumor,Stable LoRA,brain_tumor_r4_stable_v1_seed1,1,4,8,40,640,1.0,FP32,1.0,0.5,0.1,16,16,64,0.3827,0.045,0.08775,0.05086,4,19,409174,15.007,7.46,263.41,3.3,passed,none,research_branch_includes_pr124_pr125_excludes_pr170_pr177
