alpha,bootstrap_ci95_high,bootstrap_ci95_low,comparison_valid,domain_a,domain_b,expert,fdr_q_value,hedges_g,invalid_reason,mean_a,mean_b,mean_diff_b_minus_a,metric,n_a,n_b,n_shared,permutation_p_value_two_sided,shared_fraction_min,significant_after_fdr
0.05,0.004686706542968707,-0.003165018717447923,True,COCO128,VisDrone,LocalConvTransformer,0.7615176964607079,0.04447033423883142,,0.37637695312499997,0.3770987955729166,0.0007218424479166208,top1_share,128,128,0,0.7206558688262348,0.0,False
0.05,0.000903613756721129,0.0006035320305576117,True,COCO128,VisDrone,LocalConvTransformer,0.00034993001399720057,1.2296099858259435,,0.33288712784027064,0.33364188523652655,0.0007547573962559118,mean_probability,128,128,0,0.0001999600079984003,0.0,True
0.05,0.017346435546875042,0.00926918538411459,True,COCO128,VisDrone,WindowTransformer,0.00034993001399720057,0.7788514736567078,,0.37092203776041666,0.3841023763020833,0.01318033854166667,top1_share,128,128,0,0.0001999600079984003,0.0,True
0.05,-0.00039277412482385674,-0.0005759037594543423,True,COCO128,VisDrone,WindowTransformer,0.00034993001399720057,-1.2735027104089522,,0.3339106541437407,0.33342553706218797,-0.0004851170815527439,mean_probability,128,128,0,0.0001999600079984003,0.0,True
0.05,-0.00848360188802081,-0.019200052897135386,True,COCO128,VisDrone,DeformableTransformer,0.00034993001399720057,-0.6361765461933446,,0.2527010091145833,0.23879882812499997,-0.013902180989583346,top1_share,128,128,0,0.0001999600079984003,0.0,True
0.05,-9.090461923437491e-05,-0.00043699774153837384,True,COCO128,VisDrone,DeformableTransformer,0.007198560287942411,-0.3804367944223331,,0.33320219799255324,0.33293255884200335,-0.00026963915054989407,mean_probability,128,128,0,0.004799040191961607,0.0,True
0.05,0.00010938214642623734,8.143360416026925e-06,True,COCO128,VisDrone,all_experts,0.03527294541091782,0.27646164357476305,,0.9984985938450941,0.9985569482669234,5.8354421829331926e-05,normalized_entropy,128,128,0,0.02519496100779844,0.0,True
0.05,0.007544881184895852,-0.0008635253906250473,True,COCO128,brain-tumor,LocalConvTransformer,0.14771163414375948,0.191008528590345,,0.37637695312499997,0.37976481119791666,0.003387858072916694,top1_share,128,128,0,0.1195760847830434,0.0,False
0.05,-0.0002151650114683254,-0.000504348723916355,True,COCO128,brain-tumor,LocalConvTransformer,0.00034993001399720057,-0.6029525960224476,,0.33288712784027064,0.33252787582265836,-0.0003592520176122771,mean_probability,128,128,0,0.0001999600079984003,0.0,True
0.05,0.004394388834635353,-0.0031270345052083204,True,COCO128,brain-tumor,WindowTransformer,0.7615176964607079,0.043989319699373475,,0.37092203776041666,0.3716121419270833,0.0006901041666666496,top1_share,128,128,0,0.7252549490101979,0.0,False
0.05,8.235787972802472e-05,-7.099478680178406e-05,True,COCO128,brain-tumor,WindowTransformer,0.8258348330333932,0.027190450561706672,,0.3339106541437407,0.3339191588650767,8.504721336011212e-06,mean_probability,128,128,0,0.8258348330333933,0.0,False
0.05,0.000926961263020839,-0.009063964843749973,True,COCO128,brain-tumor,DeformableTransformer,0.13752249550089982,-0.19671174731168223,,0.2527010091145833,0.248623046875,-0.004077962239583316,top1_share,128,128,0,0.10477904419116177,0.0,False
0.05,0.00051111171972779,0.00019876002819125828,True,COCO128,brain-tumor,DeformableTransformer,0.0006460246412256011,0.5366066268463133,,0.33320219799255324,0.33355294742311037,0.00035074943055712904,mean_probability,128,128,0,0.0003999200159968006,0.0,True
0.05,0.00029421766133365667,0.00017480093326123491,True,COCO128,brain-tumor,all_experts,0.00034993001399720057,0.9581107794325154,,0.9984985938450941,0.9987309433054179,0.00023234946032379966,normalized_entropy,128,128,0,0.0001999600079984003,0.0,True
0.05,0.006692708333333353,-0.0013722737630208065,True,VisDrone,brain-tumor,LocalConvTransformer,0.22162234219822702,0.1615181836315435,,0.3770987955729166,0.37976481119791666,0.0026660156250000733,top1_share,128,128,0,0.1899620075984803,0.0,False
0.05,-0.0009781006287085255,-0.0012471882015233859,True,VisDrone,brain-tumor,LocalConvTransformer,0.00034993001399720057,-2.002929214576558,,0.33364188523652655,0.33252787582265836,-0.0011140094138681889,mean_probability,128,128,0,0.0001999600079984003,0.0,True
0.05,-0.008413838704427093,-0.01652671305338543,True,VisDrone,brain-tumor,WindowTransformer,0.00034993001399720057,-0.7629536476841019,,0.3841023763020833,0.3716121419270833,-0.01249023437500002,top1_share,128,128,0,0.0001999600079984003,0.0,True
0.05,0.0005864360166015103,0.0003984074476950747,True,VisDrone,brain-tumor,WindowTransformer,0.00034993001399720057,1.279694009616131,,0.33342553706218797,0.3339191588650767,0.0004936218028887551,mean_probability,128,128,0,0.0001999600079984003,0.0,True
0.05,0.014036926269531244,0.005600524902343736,True,VisDrone,brain-tumor,DeformableTransformer,0.00034993001399720057,0.5683297141293832,,0.23879882812499997,0.248623046875,0.00982421875000003,top1_share,128,128,0,0.0001999600079984003,0.0,True
0.05,0.0007740309607470421,0.00046716423530599046,True,VisDrone,brain-tumor,DeformableTransformer,0.00034993001399720057,0.9810823653808737,,0.33293255884200335,0.33355294742311037,0.0006203885811070231,mean_probability,128,128,0,0.0001999600079984003,0.0,True
0.05,0.000226706615649197,0.00012050060516533568,True,VisDrone,brain-tumor,all_experts,0.00034993001399720057,0.7957474909822008,,0.9985569482669234,0.9987309433054179,0.00017399503849446774,normalized_entropy,128,128,0,0.0001999600079984003,0.0,True
