domain,effective_experts_mean,effective_experts_std,expert,layer,mean_probability_mean,mean_probability_std,n_images,normalized_entropy_mean,normalized_entropy_std,top1_margin_mean,top1_margin_std,top1_share_mean,top1_share_std
COCO128,2.9803549628704786,0.0031285369038371647,DeformableTransformer,model.14.m.0,0.31587488390505314,0.0015070536060351252,128,0.994019340723753,0.00095547257390652,0.05702108232071623,0.004934833357097251,0.00361328125,0.006006546574117881
COCO128,2.9803549628704786,0.0031285369038371647,LocalConvTransformer,model.14.m.0,0.3346964286174625,0.0010276447347890624,128,0.994019340723753,0.00095547257390652,0.05702108232071623,0.004934833357097251,0.4592431640625,0.03346276616829949
COCO128,2.9803549628704786,0.0031285369038371647,WindowTransformer,model.14.m.0,0.3494286681525409,0.0015117712210320578,128,0.994019340723753,0.00095547257390652,0.05702108232071623,0.004934833357097251,0.5371435546875001,0.03325013353920459
COCO128,2.9985445123165846,0.000389202723798832,DeformableTransformer,model.14.m.1,0.3371294969692826,0.0011615557322717063,128,0.9995582806877792,0.00011814785619381736,0.012147229863330722,0.0019348112274839813,0.49467773437499996,0.051059817594457595
COCO128,2.9985445123165846,0.000389202723798832,LocalConvTransformer,model.14.m.1,0.3301797874737531,0.0007184945400618664,128,0.9995582806877792,0.00011814785619381736,0.012147229863330722,0.0019348112274839813,0.1530908203125,0.0395548642039864
COCO128,2.9985445123165846,0.000389202723798832,WindowTransformer,model.14.m.1,0.3326906901784241,0.0011848175592557343,128,0.9995582806877792,0.00011814785619381736,0.012147229863330722,0.0019348112274839813,0.3522314453125,0.06109768762829363
COCO128,2.9905362613499165,0.002310961341439415,DeformableTransformer,model.20.m.0,0.3395636973436922,0.0028819478256582078,128,0.9971237704157829,0.0007034869474072763,0.03486985625931993,0.004750721106759197,0.5177539062500001,0.058532771747793824
COCO128,2.9905362613499165,0.002310961341439415,LocalConvTransformer,model.20.m.0,0.33665505913086236,0.0030295481374181467,128,0.9971237704157829,0.0007034869474072763,0.03486985625931993,0.004750721106759197,0.45562988281250005,0.057656064743943566
COCO128,2.9905362613499165,0.002310961341439415,WindowTransformer,model.20.m.0,0.32378122210502625,0.0005838227239951237,128,0.9971237704157829,0.0007034869474072763,0.03486985625931993,0.004750721106759197,0.0266162109375,0.013382142507424337
COCO128,2.9987772088497877,0.0004682372025620678,DeformableTransformer,model.20.m.1,0.33903698762878776,0.002139448868797834,128,0.9996289131231606,0.00014213586308821005,0.011093443754361942,0.0025259136051083283,0.54564453125,0.09682623351869235
COCO128,2.9987772088497877,0.0004682372025620678,LocalConvTransformer,model.20.m.1,0.3298732484690845,0.0009788605031597689,128,0.9996289131231606,0.00014213586308821005,0.011093443754361942,0.0025259136051083283,0.1845849609375,0.05063191221789853
COCO128,2.9987772088497877,0.0004682372025620678,WindowTransformer,model.20.m.1,0.3310897438786924,0.0011950968680790614,128,0.9996289131231606,0.00014213586308821005,0.011093443754361942,0.0025259136051083283,0.2697705078125,0.07484654047054805
COCO128,3.0,0.0,DeformableTransformer,model.23.m.0,0.3333492507226765,2.548229101206612e-07,128,1.0,0.0,7.070136041420483e-05,1.1080189890726391e-07,0.0,0.0
COCO128,3.0,0.0,LocalConvTransformer,model.23.m.0,0.33323077531531453,5.838270167237271e-07,128,1.0,0.0,7.070136041420483e-05,1.1080189890726391e-07,0.0,0.0
COCO128,3.0,0.0,WindowTransformer,model.23.m.0,0.3334199534729123,3.3430935156336623e-07,128,1.0,0.0,7.070136041420483e-05,1.1080189890726391e-07,1.0,0.0
COCO128,3.0,0.0,DeformableTransformer,model.23.m.1,0.33332573901861906,1.9312075472404178e-07,128,1.0,0.0,4.5935658420148684e-05,2.5841300108768964e-07,0.0,0.0
