alpha,analysis_unit,bootstrap_ci95_high,bootstrap_ci95_low,ci_excludes_zero,comparison_design,comparison_valid,domain_a,domain_b,effect_size_type,expert,fdr_q_value,hedges_g,invalid_reason,mean_a,mean_b,mean_diff_b_minus_a,metric,n_a,n_b,n_clusters_a,n_clusters_b,n_images_a,n_images_b,n_paired_clusters,n_shared,permutation_p_value_two_sided,shared_fraction_min,significant_after_fdr
0.05,image,0.009802388509114602,0.0015417683919271231,True,independent_images,True,VisDrone,COCO128,independent_hedges_g,LocalConvTransformer,0.007978404319136174,0.33500464553734005,,0.36969238281249994,0.37542480468750006,0.0057324218750001155,top1_share,128,128,0,0,128,128,0,0,0.007598480303939212,0.0,True
0.05,image,-0.00028642124865046895,-0.0005807290649196579,True,independent_images,True,VisDrone,COCO128,independent_hedges_g,LocalConvTransformer,0.00023328667599813372,-0.7150364231001742,,0.3334368152233461,0.33300116173146915,-0.0004356534918769639,mean_probability,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,-0.012167032877604204,-0.020105814615885446,True,independent_images,True,VisDrone,COCO128,independent_hedges_g,WindowTransformer,0.00023328667599813372,-0.9950484898781331,,0.38050048828125,0.3642936197916667,-0.016206868489583304,top1_share,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.0003618574691548679,0.00018558393931012717,True,independent_images,True,VisDrone,COCO128,independent_hedges_g,WindowTransformer,0.00023328667599813372,0.7575026274288051,,0.3336790255658949,0.3339521443316092,0.0002731187657142864,mean_probability,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.016013224283854145,0.005112874348958319,True,independent_images,True,VisDrone,COCO128,independent_hedges_g,DeformableTransformer,0.0008840337195718751,0.4713127845549051,,0.24980712890624998,0.2602815755208333,0.010474446614583327,top1_share,128,128,0,0,128,128,0,0,0.0007998400319936012,0.0,True
0.05,image,0.0003257045570838945,-7.785977019582335e-06,False,independent_images,True,VisDrone,COCO128,independent_hedges_g,DeformableTransformer,0.0591881623675265,0.23538484030438467,,0.33288414120518917,0.33304667593135184,0.0001625347261626775,mean_probability,128,128,0,0,128,128,0,0,0.0591881623675265,0.0,False
0.05,image,-9.84980782960721e-05,-0.0001906844050003298,True,independent_images,True,VisDrone,COCO128,independent_hedges_g,all_experts,0.00023328667599813372,-0.7563450161412446,,0.9985332703993965,0.9983883841584127,-0.00014488624098385472,normalized_entropy,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,-0.01394118245442701,-0.0208500569661458,True,independent_images,True,VisDrone,brain-tumor,independent_hedges_g,LocalConvTransformer,0.00023328667599813372,-1.2259623603821583,,0.36969238281249994,0.35234619140625,-0.017346191406249933,top1_share,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,-0.0011043014693617014,-0.0013494664987471565,True,independent_images,True,VisDrone,brain-tumor,independent_hedges_g,LocalConvTransformer,0.00023328667599813372,-2.4376614741416263,,0.3334368152233461,0.332209605180348,-0.0012272100429981392,mean_probability,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,-0.02327943929036462,-0.02982751464843752,True,independent_images,True,VisDrone,brain-tumor,independent_hedges_g,WindowTransformer,0.00023328667599813372,-1.9974650472082458,,0.38050048828125,0.3539103190104167,-0.026590169270833297,top1_share,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.0006336774182272728,0.0004709159877771957,True,independent_images,True,VisDrone,brain-tumor,independent_hedges_g,WindowTransformer,0.00023328667599813372,1.6961181430095278,,0.3336790255658949,0.3342321283028772,0.0005531027369822805,mean_probability,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.04819449869791666,0.03964837646484372,True,independent_images,True,VisDrone,brain-tumor,independent_hedges_g,DeformableTransformer,0.00023328667599813372,2.5176412318581938,,0.24980712890624998,0.2937434895833333,0.043936360677083314,top1_share,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.0008335280610481458,0.0005197446250046131,True,independent_images,True,VisDrone,brain-tumor,independent_hedges_g,DeformableTransformer,0.00023328667599813372,1.0372671043757657,,0.33288414120518917,0.33355824913208687,0.0006741079268977046,mean_probability,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.00015630352233229338,6.946299884778573e-05,True,independent_images,True,VisDrone,brain-tumor,independent_hedges_g,all_experts,0.00023328667599813372,0.6394831701343033,,0.9985332703993965,0.9986461853453269,0.00011291494593035356,normalized_entropy,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,-0.019011169433593777,-0.02712902832031258,True,independent_images,True,COCO128,brain-tumor,independent_hedges_g,LocalConvTransformer,0.00023328667599813372,-1.3917507734342272,,0.37542480468750006,0.35234619140625,-0.02307861328125005,top1_share,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,-0.0006536584056447652,-0.0009297142911236913,True,independent_images,True,COCO128,brain-tumor,independent_hedges_g,LocalConvTransformer,0.00023328667599813372,-1.379859802586659,,0.33300116173146915,0.332209605180348,-0.0007915565511211753,mean_probability,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,-0.0069560546874999525,-0.013911519368489533,True,independent_images,True,COCO128,brain-tumor,independent_hedges_g,WindowTransformer,0.00023328667599813372,-0.7187230271741993,,0.3642936197916667,0.3539103190104167,-0.010383300781249993,top1_share,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.000355153884932674,0.00020029172786356213,True,independent_images,True,COCO128,brain-tumor,independent_hedges_g,WindowTransformer,0.00023328667599813372,0.8601905713804483,,0.3339521443316092,0.3342321283028772,0.0002799839712679941,mean_probability,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.038603617350260445,0.0282957356770833,True,independent_images,True,COCO128,brain-tumor,independent_hedges_g,DeformableTransformer,0.00023328667599813372,1.6035975095971566,,0.2602815755208333,0.2937434895833333,0.03346191406249999,top1_share,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.0006790413181685522,0.00034580821035587044,True,independent_images,True,COCO128,brain-tumor,independent_hedges_g,DeformableTransformer,0.00023328667599813372,0.7318099321278567,,0.33304667593135184,0.33355824913208687,0.0005115732007350271,mean_probability,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
0.05,image,0.0003088868281338363,0.00020895026003310002,True,independent_images,True,COCO128,brain-tumor,independent_hedges_g,all_experts,0.00023328667599813372,1.2981798412017957,,0.9983883841584127,0.9986461853453269,0.0002578011869142083,normalized_entropy,128,128,0,0,128,128,0,0,0.0001999600079984003,0.0,True
