epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,172.355,4.34892,4.53114,3.13499,2.20381,0.22288,0.02673,0.00616,0.00161,3.4841,4.95291,1.8724,0,0.000237412,0.000237412,0.000237412,0.000118706,0.000474825
2,329.683,3.15538,2.74882,1.623,1.67056,0.26826,0.07312,0.0318,0.01201,2.72332,2.34063,1.36551,0,0.000459724,0.000459724,0.000459724,0.000229862,0.000919447
3,487.776,2.72708,2.37611,1.33564,1.9481,0.17968,0.13077,0.05039,0.02203,2.42743,2.09972,1.21239,0,0.000666327,0.000666327,0.000666327,0.000333164,0.00133265
4,639.703,2.48989,2.16777,1.22588,1.99453,0.20272,0.1105,0.05546,0.02484,2.40576,2.03499,1.16553,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
5,790.107,2.3594,2.02913,1.1677,1.99847,0.24055,0.13189,0.07663,0.03536,2.17441,1.82501,1.11456,0,0.000619752,0.000619752,0.000619752,0.000309876,0.0012395
6,935.196,2.28456,1.94047,1.12913,1.99957,0.19902,0.13893,0.08376,0.04,2.11492,1.74169,1.09706,0,0.00059619,0.00059619,0.00059619,0.000298095,0.00119238
7,1080.61,2.21796,1.87136,1.10353,1.99991,0.26708,0.15382,0.08931,0.04257,2.07766,1.68585,1.07685,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
8,1230.94,2.16437,1.80766,1.0842,1.99991,0.21219,0.1656,0.10401,0.0506,2.01602,1.64398,1.05162,0,0.000549066,0.000549066,0.000549066,0.000274533,0.00109813
9,1381.86,2.12524,1.76382,1.07134,1.99995,0.20061,0.16814,0.10712,0.05314,1.97873,1.60742,1.03971,0,0.000525504,0.000525504,0.000525504,0.000262752,0.00105101
10,1532.28,2.10349,1.72826,1.05815,1.99976,0.18663,0.16893,0.10281,0.05015,2.0334,1.62668,1.03425,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
