epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,148.644,4.37784,4.43594,3.10725,1.96549,0.23184,0.02443,0.00797,0.00223,3.37308,3.36962,1.82044,0,0.000237412,0.000237412,0.000237412,0.000118706,0.000474825
2,287.864,3.19218,2.726,1.65052,1.5945,0.16051,0.08369,0.03197,0.01145,2.81979,2.33869,1.41953,0,0.000459724,0.000459724,0.000459724,0.000229862,0.000919447
3,414.581,2.7484,2.36037,1.34835,1.9648,0.09774,0.12801,0.05055,0.02237,2.49341,2.12629,1.21994,0,0.000666327,0.000666327,0.000666327,0.000333164,0.00133265
4,550.488,2.48688,2.14873,1.23034,1.99486,0.2225,0.11872,0.06399,0.02962,2.26855,1.93721,1.14842,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
5,684.988,2.34485,2.00552,1.16664,2.00308,0.24601,0.13339,0.07861,0.03761,2.17447,1.80485,1.11208,0,0.000619752,0.000619752,0.000619752,0.000309876,0.0012395
6,809.715,2.26139,1.91346,1.12263,1.9987,0.1767,0.15141,0.08677,0.04175,2.10527,1.73426,1.08695,0,0.00059619,0.00059619,0.00059619,0.000298095,0.00119238
7,943.024,2.19721,1.84027,1.09828,2.00108,0.16873,0.15473,0.09576,0.04633,2.06473,1.67279,1.07292,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
8,1015.73,2.14467,1.78282,1.07841,1.99738,0.19343,0.16246,0.1003,0.04944,2.03956,1.65282,1.05074,0,0.000549066,0.000549066,0.000549066,0.000274533,0.00109813
9,1135.41,2.11054,1.74363,1.06535,1.99527,0.32245,0.16837,0.11502,0.0585,1.96105,1.59317,1.03453,0,0.000525504,0.000525504,0.000525504,0.000262752,0.00105101
10,1260.29,2.08316,1.70865,1.05152,2.0006,0.20303,0.17606,0.11226,0.05645,1.98816,1.59316,1.02761,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
11,1393.61,2.04023,1.66376,1.04454,2.00714,0.22997,0.17972,0.12194,0.06129,1.94411,1.54838,1.01752,0,0.00047838,0.00047838,0.00047838,0.00023919,0.00095676
12,1523.83,2.03061,1.65401,1.03906,1.9082,0.23768,0.18061,0.1267,0.06401,1.91427,1.53302,1.01144,0,0.000454818,0.000454818,0.000454818,0.000227409,0.000909636
13,1648.82,2.00079,1.61867,1.03201,1.99614,0.24337,0.18808,0.13155,0.06735,1.88447,1.49762,1.01205,0,0.000431256,0.000431256,0.000431256,0.000215628,0.000862512
14,1780.47,1.98432,1.60856,1.02477,2.00017,0.23417,0.1935,0.13309,0.06902,1.89516,1.49883,1.00842,0,0.000407694,0.000407694,0.000407694,0.000203847,0.000815388
15,1908.67,1.98504,1.58656,1.01938,2.00366,0.23712,0.19728,0.14152,0.07238,1.86731,1.473,1.00283,0,0.000384132,0.000384132,0.000384132,0.000192066,0.000768264
