epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,175.832,4.3586,4.45926,3.11528,2.2871,0.22726,0.02547,0.00842,0.00226,3.38833,3.2637,1.84182,0,0.000237412,0.000237412,0.000237412,0.000118706,0.000474825
2,345.515,3.16601,2.69458,1.66274,1.65403,0.27545,0.06794,0.0331,0.01177,2.76757,2.29776,1.42435,0,0.000459724,0.000459724,0.000459724,0.000229862,0.000919447
3,515.179,2.74438,2.34562,1.38638,1.92117,0.18197,0.11622,0.04716,0.01985,2.51315,2.15277,1.26485,0,0.000666327,0.000666327,0.000666327,0.000333164,0.00133265
4,679.561,2.49851,2.13647,1.271,1.98972,0.11193,0.11759,0.06232,0.02824,2.30132,1.93822,1.18541,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
5,841.198,2.366,2.0078,1.21198,1.99964,0.23792,0.13187,0.07442,0.03449,2.20043,1.82753,1.14102,0,0.000619752,0.000619752,0.000619752,0.000309876,0.0012395
6,1000.8,2.2898,1.92955,1.16337,1.99386,0.17599,0.14567,0.08549,0.04009,2.13011,1.75515,1.11558,0,0.00059619,0.00059619,0.00059619,0.000298095,0.00119238
7,1163.03,2.22092,1.86144,1.13188,1.99556,0.16214,0.15465,0.09316,0.04463,2.07376,1.69287,1.08604,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
8,1327.66,2.16912,1.80244,1.10891,1.99648,0.19207,0.16292,0.10054,0.04923,2.02947,1.6559,1.06765,0,0.000549066,0.000549066,0.000549066,0.000274533,0.00109813
9,1486.57,2.12819,1.7585,1.09128,2.00285,0.19415,0.17299,0.10824,0.05351,1.97895,1.61157,1.05729,0,0.000525504,0.000525504,0.000525504,0.000262752,0.00105101
10,1644.9,2.10255,1.72206,1.07463,1.99968,0.20025,0.1734,0.10822,0.05301,2.01707,1.60764,1.04859,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
