epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,138.133,4.37902,4.52754,3.2258,1.37343,0.22185,0.02523,0.00638,0.0019,3.41181,3.58486,1.88779,0,0.000237412,0.000237412,0.000237412,0.000118706,0.000474825
2,262.241,3.18109,2.74158,1.64825,0.68712,0.35919,0.07831,0.03057,0.0115,2.76716,2.35517,1.34852,0,0.000459724,0.000459724,0.000459724,0.000229862,0.000919447
3,384.316,2.72721,2.35737,1.32049,0.95776,0.07835,0.15221,0.05268,0.02287,2.41632,2.0808,1.18971,0,0.000666327,0.000666327,0.000666327,0.000333164,0.00133265
4,501.763,2.46967,2.13389,1.20565,0.99692,0.16163,0.11641,0.05621,0.02473,2.43157,2.01899,1.15154,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
5,618.178,2.3409,1.99905,1.15152,0.99959,0.34657,0.1401,0.07796,0.03573,2.18812,1.8159,1.10216,0,0.000619752,0.000619752,0.000619752,0.000309876,0.0012395
6,730.994,2.2618,1.90772,1.11431,0.99933,0.27482,0.15075,0.08716,0.04164,2.1197,1.72723,1.07944,0,0.00059619,0.00059619,0.00059619,0.000298095,0.00119238
7,843.356,2.19633,1.83387,1.0912,0.99998,0.3748,0.15824,0.09458,0.04492,2.08414,1.68637,1.06673,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
8,954.028,2.14283,1.77916,1.07272,0.99955,0.33242,0.1678,0.10512,0.05019,2.03534,1.62984,1.04515,0,0.000549066,0.000549066,0.000549066,0.000274533,0.00109813
9,1063.06,2.10693,1.73889,1.06158,1.00007,0.32393,0.17111,0.1117,0.05437,1.99399,1.59855,1.03775,0,0.000525504,0.000525504,0.000525504,0.000262752,0.00105101
10,1176.48,2.08718,1.70611,1.04973,0.99996,0.21385,0.17789,0.11409,0.0562,1.97621,1.57544,1.02486,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
11,1288.19,2.04207,1.66173,1.04233,0.99985,0.22474,0.18523,0.12091,0.05951,1.93106,1.54706,1.02122,0,0.00047838,0.00047838,0.00047838,0.00023919,0.00095676
12,1402.81,2.03034,1.65435,1.03725,1.00001,0.24487,0.18114,0.12477,0.0624,1.93162,1.53983,1.0147,0,0.000454818,0.000454818,0.000454818,0.000227409,0.000909636
13,1513.57,2.00146,1.61909,1.03072,0.99999,0.32409,0.19379,0.13179,0.06598,1.89972,1.49659,1.01025,0,0.000431256,0.000431256,0.000431256,0.000215628,0.000862512
14,1624.09,1.98392,1.6083,1.0232,0.99992,0.23268,0.1986,0.13668,0.06866,1.88928,1.48242,1.00253,0,0.000407694,0.000407694,0.000407694,0.000203847,0.000815388
15,1734.98,1.98209,1.58434,1.01712,1.00001,0.24558,0.19925,0.14285,0.07203,1.87249,1.46702,1.00076,0,0.000384132,0.000384132,0.000384132,0.000192066,0.000768264
16,1845.74,1.96286,1.57131,1.01704,1.00001,0.24925,0.20324,0.13876,0.07046,1.86549,1.47436,0.99574,0,0.00036057,0.00036057,0.00036057,0.000180285,0.00072114
17,1959.97,1.9485,1.55537,1.01053,0.99995,0.24136,0.20581,0.1461,0.07341,1.86682,1.4473,0.99817,0,0.000337008,0.000337008,0.000337008,0.000168504,0.000674016
18,2074.69,1.93552,1.53824,1.00783,0.99994,0.2663,0.20475,0.14928,0.0764,1.84051,1.44025,0.99178,0,0.000313446,0.000313446,0.000313446,0.000156723,0.000626892
19,2184.94,1.91498,1.52482,1.00658,1,0.25023,0.21135,0.15014,0.077,1.83849,1.43348,0.98808,0,0.000289884,0.000289884,0.000289884,0.000144942,0.000579768
20,2294.84,1.90254,1.51,1.00107,0.9999,0.25322,0.21229,0.15247,0.07741,1.83311,1.41727,0.99082,0,0.000266322,0.000266322,0.000266322,0.000133161,0.000532644
21,2410.83,1.82755,1.47357,1.00016,1.00094,0.26167,0.21775,0.15936,0.0818,1.81425,1.4155,0.98507,0,0.00024276,0.00024276,0.00024276,0.00012138,0.00048552
22,2521.91,1.81073,1.44585,0.99521,0.99967,0.27983,0.21373,0.16181,0.08341,1.80036,1.39606,0.98273,0,0.000219198,0.000219198,0.000219198,0.000109599,0.000438396
23,2633.87,1.80123,1.42848,0.99478,0.99999,0.27748,0.21958,0.16733,0.08522,1.79806,1.39206,0.98441,0,0.000195636,0.000195636,0.000195636,9.7818e-05,0.000391272
24,2742.87,1.79584,1.41868,0.99057,0.99982,0.28567,0.21765,0.16552,0.08523,1.79095,1.38509,0.97729,0,0.000172074,0.000172074,0.000172074,8.6037e-05,0.000344148
25,2852.06,1.79091,1.41354,0.98903,0.99988,0.27994,0.22469,0.16759,0.08673,1.78999,1.37832,0.97793,0,0.000148512,0.000148512,0.000148512,7.4256e-05,0.000297024
26,2959.72,1.78378,1.40229,0.98642,1.00007,0.28397,0.22219,0.17091,0.08752,1.78113,1.36887,0.97814,0,0.00012495,0.00012495,0.00012495,6.2475e-05,0.0002499
27,3070.33,1.75965,1.38306,0.98531,0.99985,0.29071,0.22549,0.17106,0.08786,1.77854,1.3702,0.97451,0,0.000101388,0.000101388,0.000101388,5.0694e-05,0.000202776
28,3181,1.76733,1.38282,0.98543,1.00007,0.29515,0.22694,0.17256,0.08872,1.77683,1.36406,0.97445,0,7.7826e-05,7.7826e-05,7.7826e-05,3.8913e-05,0.000155652
29,3289.51,1.76029,1.37426,0.98139,0.99987,0.28817,0.2259,0.1726,0.08875,1.77643,1.36525,0.97355,0,5.4264e-05,5.4264e-05,5.4264e-05,2.7132e-05,0.000108528
30,3400.99,1.74647,1.36524,0.9804,0.99987,0.29324,0.22686,0.17446,0.09014,1.76648,1.35569,0.97107,0,3.0702e-05,3.0702e-05,3.0702e-05,1.5351e-05,6.1404e-05
