pair_id,sequence_id,scene,image,objects,median_area,occluded_fraction,heavy_occluded_fraction,mean_occlusion_level,match_distance
0,0000001,lower_occlusion,0000001_03499_d_0000006.jpg,77,0.00018518,0.16883117,0.00000000,0.16883117,1.05537905
0,0000001,higher_occlusion,0000001_03999_d_0000007.jpg,48,0.00043282,0.87500000,0.25000000,1.12500000,1.05537905
1,0000021,lower_occlusion,0000021_00800_d_0000003.jpg,7,0.00113426,0.28571429,0.00000000,0.28571429,2.47199353
1,0000021,higher_occlusion,0000021_00500_d_0000002.jpg,17,0.00033949,0.82352941,0.05882353,0.88235294,2.47199353
2,0000026,lower_occlusion,0000026_02500_d_0000029.jpg,17,0.00097268,0.29411765,0.05882353,0.35294118,1.48458711
2,0000026,higher_occlusion,0000026_04500_d_0000033.jpg,47,0.00096885,0.74468085,0.29787234,1.04255319,1.48458711
3,0000103,lower_occlusion,0000103_04513_d_0000034.jpg,2,0.01048969,0.00000000,0.00000000,0.00000000,1.43723713
3,0000103,higher_occlusion,0000103_04122_d_0000033.jpg,4,0.00379615,0.75000000,0.00000000,0.75000000,1.43723713
4,0000116,lower_occlusion,0000116_00819_d_0000084.jpg,36,0.00101948,0.30555556,0.13888889,0.44444444,0.79002122
4,0000116,higher_occlusion,0000116_00351_d_0000083.jpg,74,0.00088637,0.78378378,0.05405405,0.83783784,0.79002122
5,0000153,lower_occlusion,0000153_00401_d_0000001.jpg,59,0.00059028,0.18644068,0.00000000,0.18644068,0.74113077
5,0000153,higher_occlusion,0000153_01801_d_0000001.jpg,55,0.00025078,0.81818182,0.01818182,0.83636364,0.74113077
6,0000215,lower_occlusion,0000215_02667_d_0000262.jpg,83,0.00080738,0.27710843,0.00000000,0.27710843,0.01997223
6,0000215,higher_occlusion,0000215_00909_d_0000258.jpg,93,0.00082466,0.72043011,0.09677419,0.81720430,0.01997223
7,0000244,lower_occlusion,0000244_02500_d_0000006.jpg,113,0.00025078,0.28318584,0.00000000,0.28318584,0.27701677
7,0000244,higher_occlusion,0000244_03500_d_0000008.jpg,146,0.00038196,0.73972603,0.08904110,0.82876712,0.27701677
8,0000249,lower_occlusion,0000249_01100_d_0000004.jpg,27,0.00048610,0.18518519,0.00000000,0.18518519,1.34165481
8,0000249,higher_occlusion,0000249_02468_d_0000008.jpg,18,0.00139275,0.72222222,0.44444444,1.16666667,1.34165481
9,0000271,lower_occlusion,0000271_00201_d_0000375.jpg,75,0.00072663,0.24000000,0.02666667,0.26666667,0.08656899
9,0000271,higher_occlusion,0000271_01201_d_0000379.jpg,59,0.00074009,0.69491525,0.20338983,0.89830508,0.08656899
10,0000276,lower_occlusion,0000276_00401_d_0000509.jpg,62,0.00021002,0.33870968,0.04838710,0.38709677,0.03463820
10,0000276,higher_occlusion,0000276_04001_d_0000527.jpg,54,0.00019416,0.81481481,0.09259259,0.90740741,0.03463820
11,0000277,lower_occlusion,0000277_00001_d_0000539.jpg,85,0.00034602,0.34117647,0.07058824,0.41176471,0.05597011
11,0000277,higher_occlusion,0000277_03201_d_0000554.jpg,85,0.00043830,0.68235294,0.11764706,0.80000000,0.05597011
12,0000280,lower_occlusion,0000280_02601_d_0000625.jpg,73,0.00036910,0.32876712,0.02739726,0.35616438,0.12796942
12,0000280,higher_occlusion,0000280_00801_d_0000616.jpg,70,0.00052576,0.75714286,0.24285714,1.00000000,0.12796942
13,0000287,lower_occlusion,0000287_04601_d_0000780.jpg,88,0.00034313,0.29545455,0.03409091,0.32954545,0.17500992
13,0000287,higher_occlusion,0000287_01001_d_0000764.jpg,71,0.00047483,0.78873239,0.01408451,0.80281690,0.17500992
14,0000289,lower_occlusion,0000289_07001_d_0000846.jpg,74,0.00037629,0.36486486,0.02702703,0.39189189,0.18035728
14,0000289,higher_occlusion,0000289_03401_d_0000828.jpg,54,0.00044983,0.68518519,0.11111111,0.79629630,0.18035728
15,0000291,lower_occlusion,0000291_02201_d_0000879.jpg,149,0.00095154,0.21476510,0.00671141,0.22147651,0.21067077
15,0000291,higher_occlusion,0000291_04001_d_0000888.jpg,108,0.00119858,0.75925926,0.01851852,0.77777778,0.21067077
16,0000295,lower_occlusion,0000295_00200_d_0000022.jpg,78,0.00055123,0.20512821,0.00000000,0.20512821,0.50739609
16,0000295,higher_occlusion,0000295_01600_d_0000029.jpg,138,0.00048826,0.71014493,0.01449275,0.72463768,0.50739609
17,0000301,lower_occlusion,0000301_01001_d_0000161.jpg,64,0.00054785,0.37500000,0.04687500,0.42187500,0.26185922
17,0000301,higher_occlusion,0000301_00001_d_0000156.jpg,96,0.00061804,0.79166667,0.12500000,0.91666667,0.26185922
18,0000316,lower_occlusion,0000316_01001_d_0000524.jpg,18,0.00051760,0.38888889,0.05555556,0.44444444,1.20766729
18,0000316,higher_occlusion,0000316_00601_d_0000522.jpg,35,0.00024223,0.68571429,0.08571429,0.77142857,1.20766729
19,0000327,lower_occlusion,0000327_00001_d_0000711.jpg,70,0.00069348,0.38571429,0.00000000,0.38571429,0.03670290
19,0000327,higher_occlusion,0000327_02801_d_0000725.jpg,73,0.00057668,0.71232877,0.24657534,0.95890411,0.03670290
20,0000330,lower_occlusion,0000330_03201_d_0000816.jpg,69,0.00137449,0.37681159,0.02898551,0.40579710,0.52848229
20,0000330,higher_occlusion,0000330_04001_d_0000820.jpg,38,0.00140524,0.68421053,0.05263158,0.73684211,0.52848229
21,0000335,lower_occlusion,0000335_00589_d_0000046.jpg,21,0.00129179,0.38095238,0.00000000,0.38095238,1.23693052
21,0000335,higher_occlusion,0000335_06469_d_0000076.jpg,8,0.00137688,0.75000000,0.12500000,0.87500000,1.23693052
22,0000356,lower_occlusion,0000356_04901_d_0000654.jpg,102,0.00047962,0.29411765,0.00000000,0.29411765,0.04432124
