alpha,bootstrap_ci95_high,bootstrap_ci95_low,comparison_valid,domain_a,domain_b,expert,fdr_q_value,hedges_g,invalid_reason,mean_a,mean_b,mean_diff_b_minus_a,metric,n_a,n_b,n_shared,permutation_p_value_two_sided,shared_fraction_min,significant_after_fdr
0.05,nan,nan,False,dense,irregular_occluded,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.37768391927083333,0.37624186197916665,-0.0014420572916666874,top1_share,128,128,104,nan,0.8125,False
0.05,nan,nan,False,dense,irregular_occluded,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33392264166225993,0.3338686891753847,-5.3952486875230576e-05,mean_probability,128,128,104,nan,0.8125,False
0.05,nan,nan,False,dense,irregular_occluded,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.38328125,0.3853092447916667,0.0020279947916667096,top1_share,128,128,104,nan,0.8125,False
0.05,nan,nan,False,dense,irregular_occluded,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3333592858398333,0.33334071872135007,-1.8567118483248102e-05,mean_probability,128,128,104,nan,0.8125,False
0.05,nan,nan,False,dense,irregular_occluded,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.23903483072916668,0.23844889322916668,-0.0005859374999999944,top1_share,128,128,104,nan,0.8125,False
0.05,nan,nan,False,dense,irregular_occluded,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33271805387145525,0.3327905738648648,7.251999340956994e-05,mean_probability,128,128,104,nan,0.8125,False
0.05,nan,nan,False,dense,irregular_occluded,all_experts,nan,nan,shared_samples_require_paired_or_disjoint_design,0.9985274500989666,0.9985149775942166,-1.2472504750005164e-05,normalized_entropy,128,128,104,nan,0.8125,False
0.05,nan,nan,False,dense,large_objects,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.37768391927083333,0.37966064453125004,0.0019767252604167007,top1_share,128,128,8,nan,0.0625,False
0.05,nan,nan,False,dense,large_objects,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33392264166225993,0.33344877390967065,-0.0004738677525892854,mean_probability,128,128,8,nan,0.0625,False
0.05,nan,nan,False,dense,large_objects,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.38328125,0.37868408203125,-0.004597167968750038,top1_share,128,128,8,nan,0.0625,False
0.05,nan,nan,False,dense,large_objects,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3333592858398333,0.3333963690092787,3.708316944539547e-05,mean_probability,128,128,8,nan,0.0625,False
0.05,nan,nan,False,dense,large_objects,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.23903483072916668,0.24165527343749998,0.0026204427083333093,top1_share,128,128,8,nan,0.0625,False
0.05,nan,nan,False,dense,large_objects,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33271805387145525,0.33315484020082897,0.0004367863293737173,mean_probability,128,128,8,nan,0.0625,False
