domain,image_id,sample_fingerprint,sha256,size_bytes
dense,images__val__0000001_02999_d_0000005.jpg,fc80a9305b38af026091cbe0a1d4cfe059964852253b93f01fee17b7443e5514,fc80a9305b38af026091cbe0a1d4cfe059964852253b93f01fee17b7443e5514,479237
dense,images__val__0000001_04527_d_0000008.jpg,74673492dafdaa226a76a63240b127c8c04ede388d250f51f51c9eed1bf01907,74673492dafdaa226a76a63240b127c8c04ede388d250f51f51c9eed1bf01907,387949
dense,images__val__0000001_05249_d_0000009.jpg,928dbbfea2fed8a461d5b81059da509169861e52bed4fb71876ed772848b0004,928dbbfea2fed8a461d5b81059da509169861e52bed4fb71876ed772848b0004,381086
dense,images__val__0000001_05499_d_0000010.jpg,5a0883d0e8773b0717c4e89e5719aeace55f1d8f14884984bab837a623a51732,5a0883d0e8773b0717c4e89e5719aeace55f1d8f14884984bab837a623a51732,388013
dense,images__val__0000001_05999_d_0000011.jpg,26cad57325bfedce8cf0ab69fa05992e2089d60e34f768d524c9cd2f4948ffd2,26cad57325bfedce8cf0ab69fa05992e2089d60e34f768d524c9cd2f4948ffd2,375802
dense,images__val__0000001_07999_d_0000012.jpg,31cb7d532a8a3519d1f715504690b835cba16571ce3cf0b6d7c4ee8eeefcddba,31cb7d532a8a3519d1f715504690b835cba16571ce3cf0b6d7c4ee8eeefcddba,434177
dense,images__val__0000001_08414_d_0000013.jpg,4b45f869b490c04ea79f5c09f9dde05fdaf59afbc337ae1210c463b00a120b9a,4b45f869b490c04ea79f5c09f9dde05fdaf59afbc337ae1210c463b00a120b9a,372706
dense,images__val__0000055_00000_d_0000109.jpg,a72316fd948a83b85f8bc9c3e353871dc77fd4918f1272bfe435b21d37fa4545,a72316fd948a83b85f8bc9c3e353871dc77fd4918f1272bfe435b21d37fa4545,66623
dense,images__val__0000086_01084_d_0000003.jpg,85ceb00280c7e5e460a8e08e58a88e40c3b0d3bd23f6be932369184c154f0a35,85ceb00280c7e5e460a8e08e58a88e40c3b0d3bd23f6be932369184c154f0a35,79788
dense,images__val__0000086_01443_d_0000004.jpg,7bd346f99f90a86e8df15c628e11b13416ccdbc75484ef420b09ff71d5446481,7bd346f99f90a86e8df15c628e11b13416ccdbc75484ef420b09ff71d5446481,97677
dense,images__val__0000086_01954_d_0000005.jpg,049628eddaff7c28796e229c55ad714a1b6001fe2b729874a7a9ab0d606fbcdc,049628eddaff7c28796e229c55ad714a1b6001fe2b729874a7a9ab0d606fbcdc,92267
dense,images__val__0000117_00112_d_0000087.jpg,967609af38e21b50d49fbbd7fcf361c618ce8bc2de6c310fdfb9ae6565f3b2b2,967609af38e21b50d49fbbd7fcf361c618ce8bc2de6c310fdfb9ae6565f3b2b2,92727
dense,images__val__0000117_02708_d_0000090.jpg,920d0a507ad335fb180259848c88c45f4e265012eb4438bb1d9f86c0cde98332,920d0a507ad335fb180259848c88c45f4e265012eb4438bb1d9f86c0cde98332,110937
dense,images__val__0000129_02411_d_0000138.jpg,a3a1cc6df6fa35b788feb027e9c64ee4484f4e2a9879f808ce3f50df8ab62e43,a3a1cc6df6fa35b788feb027e9c64ee4484f4e2a9879f808ce3f50df8ab62e43,328403
dense,images__val__0000154_01601_d_0000001.jpg,5701c1abb2849684bb43050741b1127e859d3b0ffd8e503b08a5702fd305c864,5701c1abb2849684bb43050741b1127e859d3b0ffd8e503b08a5702fd305c864,88439
dense,images__val__0000155_00001_d_0000001.jpg,54009fd44e5402b0b36f1ffa08b38fbbd1b1fe027ea133db7ec08f144b7a7041,54009fd44e5402b0b36f1ffa08b38fbbd1b1fe027ea133db7ec08f144b7a7041,98434
dense,images__val__0000155_00401_d_0000001.jpg,9f528863f40b14b8038c22255904e4d1f0692d10369087c4b75adcf093c9dcd2,9f528863f40b14b8038c22255904e4d1f0692d10369087c4b75adcf093c9dcd2,95685
