domain,effective_experts_mean,effective_experts_std,expert,layer,mean_probability_mean,mean_probability_std,n_images,normalized_entropy_mean,normalized_entropy_std,top1_margin_mean,top1_margin_std,top1_share_mean,top1_share_std
dense,2.982341881841421,0.002461708295252147,DeformableTransformer,model.14.m.0,0.31627169786952436,0.0015986149885594569,128,0.9946261602453887,0.0007513844737275103,0.05280313434195705,0.0038957001433398437,0.005942382812500001,0.004076196697133004
dense,2.982341881841421,0.002461708295252147,LocalConvTransformer,model.14.m.0,0.33778657275252044,0.0011686087467269132,128,0.9946261602453887,0.0007513844737275103,0.05280313434195705,0.0038957001433398437,0.5047314453125,0.03292991353128775
dense,2.982341881841421,0.002461708295252147,WindowTransformer,model.14.m.0,0.34594170609489083,0.002146062880043384,128,0.9946261602453887,0.0007513844737275103,0.05280313434195705,0.0038957001433398437,0.489326171875,0.033112936944706135
dense,2.997781738638878,0.0005006369292635669,DeformableTransformer,model.14.m.1,0.3378674623090774,0.0009070886386121749,128,0.9993266970850527,0.00015200713928096543,0.014760668971575797,0.001955181826559361,0.4750927734375,0.04157006360961359
dense,2.997781738638878,0.0005006369292635669,LocalConvTransformer,model.14.m.1,0.3299253366421908,0.000625731454531368,128,0.9993266970850527,0.00015200713928096543,0.014760668971575797,0.001955181826559361,0.13850585937499998,0.036605828470283486
dense,2.997781738638878,0.0005006369292635669,WindowTransformer,model.14.m.1,0.3322071840520948,0.0006273644487592268,128,0.9993266970850527,0.00015200713928096543,0.014760668971575797,0.001955181826559361,0.38640136718749996,0.04709908682145857
dense,2.9914869125932455,0.001346178751443812,DeformableTransformer,model.20.m.0,0.33810888906009495,0.0016491189917688307,128,0.9974132650531828,0.00040972942530290943,0.03255283640464768,0.002712745028298228,0.5249560546875001,0.042034650093994416
dense,2.9914869125932455,0.001346178751443812,LocalConvTransformer,model.20.m.0,0.33728018985129893,0.0017366112928585743,128,0.9974132650531828,0.00040972942530290943,0.03255283640464768,0.002712745028298228,0.4184375,0.04426142307737795
dense,2.9914869125932455,0.001346178751443812,WindowTransformer,model.20.m.0,0.32461090316064656,0.00031833340656038097,128,0.9974132650531828,0.00040972942530290943,0.03255283640464768,0.002712745028298228,0.0566064453125,0.024787567377955236
dense,2.9992043673992157,0.00027032256980225316,DeformableTransformer,model.20.m.1,0.3371130623854697,0.0014055377781409355,128,0.9997585723176599,8.204750618194679e-05,0.008716467284102691,0.0015943066844279897,0.47550292968749996,0.0570422693131733
dense,2.9992043673992157,0.00027032256980225316,LocalConvTransformer,model.20.m.1,0.33076390135101974,0.0006278770242492062,128,0.9997585723176599,8.204750618194679e-05,0.008716467284102691,0.0015943066844279897,0.17414062500000002,0.0339242548760859
dense,2.9992043673992157,0.00027032256980225316,WindowTransformer,model.20.m.1,0.33212301856838167,0.0008005451302909559,128,0.9997585723176599,8.204750618194679e-05,0.008716467284102691,0.0015943066844279897,0.3503564453125,0.05667586404647316
dense,3.0,0.0,DeformableTransformer,model.23.m.0,0.33334946958348155,1.4388929624674211e-07,128,1.0,0.0,7.065951388085523e-05,7.438799079115346e-08,0.0,0.0
dense,3.0,0.0,LocalConvTransformer,model.23.m.0,0.3332303811330348,3.409858205769003e-07,128,1.0,0.0,7.065951388085523e-05,7.438799079115346e-08,0.0,0.0
dense,3.0,0.0,WindowTransformer,model.23.m.0,0.3334201290272176,2.0253909527886475e-07,128,1.0,0.0,7.065951388085523e-05,7.438799079115346e-08,1.0,0.0
dense,3.0,0.0,DeformableTransformer,model.23.m.1,0.33332588570192456,1.4130220121517524e-07,128,1.0,0.0,4.592729337105084e-05,1.6794341107437669e-07,0.0,0.0
dense,3.0,0.0,LocalConvTransformer,model.23.m.1,0.3333718120120466,1.0931595178950536e-07,128,1.0,0.0,4.592729337105084e-05,1.6794341107437669e-07,1.0,0.0
dense,3.0,0.0,WindowTransformer,model.23.m.1,0.33330230601131916,1.7742992753001953e-07,128,1.0,0.0,4.592729337105084e-05,1.6794341107437669e-07,0.0,0.0
irregular_occluded,2.98234548792243,0.002420745784887682,DeformableTransformer,model.14.m.0,0.3164053224027157,0.0015162801143835131,128,0.9946272731758654,0.0007389014614821377,0.05285073636332527,0.003713829229690616,0.006420898437500001,0.004188381212184514
irregular_occluded,2.98234548792243,0.002420745784887682,LocalConvTransformer,model.14.m.0,0.33790414524264634,0.001183961803515403,128,0.9946272731758654,0.0007389014614821377,0.05285073636332527,0.003713829229690616,0.5030712890625,0.03284933275276092
irregular_occluded,2.98234548792243,0.002420745784887682,WindowTransformer,model.14.m.0,0.3456905095372349,0.0019730199514045345,128,0.9946272731758654,0.0007389014614821377,0.05285073636332527,0.003713829229690616,0.4905078125,0.033796696879729464
irregular_occluded,2.9977001268416643,0.00048544870019358804,DeformableTransformer,model.14.m.1,0.33780991355888546,0.0009257214650855728,128,0.9993019187822938,0.00014740551205315989,0.014998816724983044,0.0019199379029859194,0.474130859375,0.04153883860960953
irregular_occluded,2.9977001268416643,0.00048544870019358804,LocalConvTransformer,model.14.m.1,0.3298505723942071,0.0006323505148556358,128,0.9993019187822938,0.00014740551205315989,0.014998816724983044,0.0019199379029859194,0.133681640625,0.032239285359875795
irregular_occluded,2.9977001268416643,0.00048544870019358804,WindowTransformer,model.14.m.1,0.33233949914574623,0.0005962037397084303,128,0.9993019187822938,0.00014740551205315989,0.014998816724983044,0.0019199379029859194,0.39218749999999997,0.04356873303220437
irregular_occluded,2.991372689604759,0.0012722399818465798,DeformableTransformer,model.20.m.0,0.3383999839425087,0.0016204985398836369,128,0.9973785178735852,0.0003872382362509122,0.032781180460006,0.002655278352781856,0.522958984375,0.04125122913157735
irregular_occluded,2.991372689604759,0.0012722399818465798,LocalConvTransformer,model.20.m.0,0.3369679420720786,0.0016595616775948458,128,0.9973785178735852,0.0003872382362509122,0.032781180460006,0.002655278352781856,0.4160400390625,0.04210506325574296
irregular_occluded,2.991372689604759,0.0012722399818465798,WindowTransformer,model.20.m.0,0.3246320525649935,0.0002885663056284675,128,0.9973785178735852,0.0003872382362509122,0.032781180460006,0.002655278352781856,0.0610009765625,0.02566288248472184
irregular_occluded,2.999150548130274,0.0002699618492318292,DeformableTransformer,model.20.m.1,0.33730540331453085,0.0012517443403403114,128,0.9997422359883785,8.19362337931938e-05,0.00891384409260354,0.0014452155655356005,0.479853515625,0.05579267749049877
irregular_occluded,2.999150548130274,0.0002699618492318292,LocalConvTransformer,model.20.m.1,0.33067976823076606,0.0005661575098748771,128,0.9997422359883785,8.19362337931938e-05,0.00891384409260354,0.0014452155655356005,0.1737353515625,0.034352709741848814
irregular_occluded,2.999150548130274,0.0002699618492318292,WindowTransformer,model.20.m.1,0.3320148114580661,0.0007148763686611895,128,0.9997422359883785,8.19362337931938e-05,0.00891384409260354,0.0014452155655356005,0.3464111328124999,0.05634835266899806
