alpha,analysis_unit,bootstrap_ci95_high,bootstrap_ci95_low,ci_excludes_zero,comparison_design,comparison_valid,domain_a,domain_b,effect_size_type,expert,fdr_q_value,hedges_g,invalid_reason,mean_a,mean_b,mean_diff_b_minus_a,metric,n_a,n_b,n_clusters_a,n_clusters_b,n_images_a,n_images_b,n_paired_clusters,n_shared,permutation_p_value_two_sided,shared_fraction_min,significant_after_fdr
0.05,sequence_cluster,-4.1441197691229386e-05,-0.006741950757575782,True,paired_sequence_clusters,True,dense,sparse,paired_hedges_g,LocalConvTransformer,0.3765246950609878,-0.5327897242182943,,0.373891369047619,0.37050804924242425,-0.00338331980519474,top1_share,10,10,37,34,128,128,10,0,0.10757848430313938,0.0,False
0.05,sequence_cluster,-1.528141813144875e-05,-0.0005516261979937549,True,paired_sequence_clusters,True,dense,sparse,paired_hedges_g,LocalConvTransformer,0.35944811037792446,-0.5562449280993867,,0.33371464262406036,0.33343454723556837,-0.00028009538849199656,mean_probability,10,10,37,34,128,128,10,0,0.08018396320735853,0.0,False
0.05,sequence_cluster,0.0052777326839827205,-0.006662737869769103,False,paired_sequence_clusters,True,dense,sparse,paired_hedges_g,WindowTransformer,0.9782043591281744,-0.06001700333554756,,0.3755941220238096,0.37492045454545453,-0.0006736674783550667,top1_share,10,10,37,34,128,128,10,0,0.8328334333133374,0.0,False
0.05,sequence_cluster,0.0004945824613517835,3.02598281114483e-05,True,paired_sequence_clusters,True,dense,sparse,paired_hedges_g,WindowTransformer,0.35944811037792446,0.6119944569319522,,0.33347654041671565,0.333737486081593,0.0002609456648773323,mean_probability,10,10,37,34,128,128,10,0,0.0609878024395121,0.0,False
0.05,sequence_cluster,0.011606436011904772,-0.00355805854301948,False,paired_sequence_clusters,True,dense,sparse,paired_hedges_g,DeformableTransformer,0.6833178818781698,0.2830654677958082,,0.25051450892857147,0.2545714962121212,0.004056987283549751,top1_share,10,10,37,34,128,128,10,0,0.35792841431713657,0.0,False
0.05,sequence_cluster,0.00030264177004851294,-0.0003180552806845113,False,paired_sequence_clusters,True,dense,sparse,paired_hedges_g,DeformableTransformer,0.9782043591281744,0.03275186759491759,,0.3328088044469792,0.3328279446697596,1.9140222780433813e-05,mean_probability,10,10,37,34,128,128,10,0,0.909618076384723,0.0,False
0.05,sequence_cluster,2.681224078777154e-05,-0.000185056530842298,False,paired_sequence_clusters,True,dense,sparse,paired_hedges_g,all_experts,0.5155635539558755,-0.3873724880391675,,0.9985207150734606,0.9984426008932518,-7.811418020886585e-05,normalized_entropy,10,10,37,34,128,128,10,0,0.22095580883823235,0.0,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,large_objects,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.37315274202774207,0.36924814677028217,-0.0039045952574598974,top1_share,37,36,37,36,128,128,0,8,nan,0.0625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,large_objects,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.3337229710986954,0.33329020140879007,-0.0004327696899053546,mean_probability,37,36,37,36,128,128,0,8,nan,0.0625,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,large_objects,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.3790851655226655,0.3759358488572898,-0.003149316665375712,top1_share,37,36,37,36,128,128,0,8,nan,0.0625,False
