epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,178.109,3.41791,4.97302,0.06723,1.61982,55.2663,0.00039,0.02048,2e-05,0,3.39268,370.72,0.08193,0,0,55.2663,0,55.2663,0,0.258692,0.298383,3.34277,3.34277,0,1,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,361.289,3.33552,4.87755,0.06461,1.02395,35.0793,0.00045,0.02885,0.00015,3e-05,3.06581,5.10942,0.07432,0,0,35.0793,0,35.0793,0,0.164131,0.196262,3.34277,3.34277,0,1,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,545.164,2.54427,4.36194,0.04321,0.99546,23.3634,0.00389,0.19417,0.00291,0.00075,2.62226,5.54696,0.05705,0,0,23.3634,0,23.3634,0,0.10936,0.165944,3.34277,3.34277,0,1,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,733.015,2.18102,3.95975,0.03368,0.99598,21.1315,0.54091,0.02656,0.00524,0.00165,2.50734,5.02661,0.05564,0,0,21.1315,0,21.1315,0,0.0989211,0.172825,3.34277,3.34277,0,1,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,922.994,2.04892,3.65193,0.0308,0.99522,19.6723,0.19039,0.09538,0.04122,0.01692,2.09616,3.75933,0.0407,0,0,19.6723,0,19.6723,0,0.0920927,0.174158,3.34277,3.34277,0,1,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1114.7,1.96007,3.42616,0.02891,0.99533,18.733,0.21908,0.1209,0.06534,0.02865,2.08327,3.49678,0.03947,0,0,18.733,0,18.733,0,0.0876913,0.175664,3.34277,3.34277,0,1,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1306.45,1.899,3.25485,0.02777,0.9958,18.1219,0.23075,0.14918,0.09142,0.04211,1.97469,3.20084,0.03686,0,0,18.1219,0,18.1219,0,0.0848316,0.177478,3.34277,3.34277,0,1,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1500.34,1.875,3.12886,0.02707,0.99553,17.7158,0.09251,0.07178,0.03528,0.01558,2.35835,4.19557,0.05054,0,0,17.7158,0,17.7158,0,0.0829359,0.178981,3.34277,3.34277,0,1,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1693.06,1.84678,3.04009,0.02664,0.99491,17.3831,0.2941,0.19048,0.12213,0.06307,1.85998,3.00511,0.034,0,0,17.3831,0,17.3831,0,0.08138,0.180179,3.34277,3.34277,0,1,0.009802,0.009802,0.009802,0.004901,0.019604
10,1882.67,1.81611,2.96522,0.02596,0.99559,17.0501,0.24299,0.20922,0.14335,0.07257,1.87435,2.90049,0.03417,0,0,17.0501,0,17.0501,0,0.0798167,0.180838,3.34277,3.34277,0,1,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
