epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,183.313,3.41768,4.96868,0.06716,1.61984,52.4547,0.00024,0.01908,2e-05,0,3.87282,417.185,0.10425,0,0,52.4547,0,52.4547,0,0.273469,0.283454,3.00161,3.00161,0,1,60.8378,51.3784,45.148,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,367.698,3.26808,4.82042,0.06275,1.02331,34.1059,0.0005,0.03628,0.00011,3e-05,3.1661,36.0261,0.07683,0,0,34.1059,0,34.1059,0,0.177721,0.192589,3.00161,3.00161,0,1,38.5419,34.4495,29.3261,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,549.767,2.41968,4.28146,0.04035,0.99573,21.4292,0.00291,0.24655,0.00199,0.00059,2.38342,63.6978,0.04934,0,0,21.4292,0,21.4292,0,0.111712,0.160195,3.00161,3.00161,0,1,22.6981,22.1206,19.4691,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,738.484,2.17912,3.95173,0.0337,0.99794,19.4544,0.087,0.02707,0.01018,0.00351,2.2026,4.72746,0.0427,0,0,19.4544,0,19.4544,0,0.101422,0.16071,3.00161,3.00161,0,1,20.8768,20.2503,17.236,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,926.676,2.04416,3.67882,0.03075,0.99553,17.9852,0.23445,0.07652,0.03795,0.01602,2.01687,3.85563,0.03789,0,0,17.9852,0,17.9852,0,0.0937613,0.159248,3.00161,3.00161,0,1,19.1707,18.9107,15.874,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1116.95,1.96218,3.47564,0.02912,0.99404,17.2103,0.21129,0.11758,0.0607,0.02681,2.04939,3.54933,0.0383,0,0,17.2103,0,17.2103,0,0.0897173,0.160175,3.00161,3.00161,0,1,18.2519,18.1615,15.2176,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1310.61,1.92019,3.32488,0.02839,0.99442,16.6795,0.31601,0.12065,0.07036,0.03117,1.94507,3.35323,0.03666,0,0,16.6795,0,16.6795,0,0.0869542,0.160674,3.00161,3.00161,0,1,17.6742,17.6203,14.744,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1503,1.88687,3.21278,0.02751,0.99562,16.2532,0.0958,0.13234,0.05546,0.02525,1.98643,4.06858,0.03861,0,0,16.2532,0,16.2532,0,0.0847364,0.160925,3.00161,3.00161,0,1,17.2289,17.1995,14.3311,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1693.49,1.85722,3.106,0.02698,0.99506,15.9033,0.09023,0.15597,0.05613,0.02634,1.97924,5.83972,0.03788,0,0,15.9033,0,15.9033,0,0.0829121,0.162389,3.00161,3.00161,0,1,16.833,16.833,14.0439,0.009802,0.009802,0.009802,0.004901,0.019604
10,1882.6,1.82465,3.03551,0.02631,0.9972,15.8533,0.12922,0.16411,0.06753,0.03153,1.95569,3.55745,0.03687,0,0,15.8533,0,15.8533,0,0.0826486,0.165159,3.00161,3.00161,0,1,16.8321,16.7832,13.9445,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
