epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,272.155,3.41795,4.97212,0.0672,1.61893,58.6136,0.00022,0.0108,0,0,3.93019,3325.34,0.10102,0,0,58.6136,0,58.6136,0,0.294825,0.31648,3.11066,3.11066,0,1,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,514.452,3.30544,4.86035,0.06381,1.02167,37.6077,0.00047,0.02462,9e-05,2e-05,3.14421,5.16198,0.07456,0,0,37.6077,0,37.6077,0,0.189042,0.210787,3.11066,3.11066,0,1,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,769.997,2.5759,4.41805,0.04447,0.99852,14.9138,0.00184,0.03492,0.00093,0.00027,2.50178,10.9635,0.05478,0,0,14.9138,0,14.9138,0,0.0750163,0.104531,3.11066,3.11066,0,1,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,1027.25,2.19069,4.0444,0.03437,0.99715,11.7401,0.11977,0.02642,0.00842,0.0027,2.32449,6.5689,0.04731,0,0,11.7401,0,11.7401,0,0.0590525,0.094513,3.11066,3.11066,0,1,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,1305.81,2.04402,3.73885,0.03112,0.99675,10.543,0.30511,0.04144,0.0263,0.01026,2.14175,3.85973,0.04177,0,0,10.543,0,10.543,0,0.0530373,0.0917359,3.11066,3.11066,0,1,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1577.04,1.97108,3.54602,0.02948,0.99508,9.97708,0.19289,0.03425,0.02897,0.01082,2.15215,3.84469,0.0418,0,0,9.97707,0,9.97707,0,0.0501928,0.0909952,3.11066,3.11066,0,1,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1854.71,1.92594,3.39863,0.02874,0.99507,9.59535,0.10838,0.0358,0.01155,0.00518,2.61842,330.864,0.05801,0,0,9.59535,0,9.59535,0,0.0482684,0.090648,3.11066,3.11066,0,1,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,2129.67,1.89108,3.26612,0.02766,0.99567,9.38027,0.20313,0.1293,0.06682,0.02908,1.99366,3.37565,0.03828,0,0,9.38026,0,9.38026,0,0.0471919,0.0915425,3.11066,3.11066,0,1,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,2401.58,1.86897,3.16819,0.02732,0.99338,9.30254,0.24217,0.15107,0.08488,0.03921,1.95726,3.23629,0.03678,0,0,9.30254,0,9.30254,0,0.0468,0.0931563,3.11066,3.11066,0,1,0.009802,0.009802,0.009802,0.004901,0.019604
10,2662.75,1.82893,3.07671,0.0264,0.99333,8.8762,0.19104,0.18387,0.11576,0.05592,1.91092,2.97826,0.03505,0,0,8.87619,0,8.87619,0,0.0446534,0.0913774,3.11066,3.11066,0,1,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
