run,epochs,seed,data,model,imgsz,batch,optimizer,lr0,lrf,pretrained,amp,deterministic,foundation_enabled,foundation_teacher,foundation_model,foundation_target_levels,foundation_multiscale,foundation_loss_weight,metrics_sha256,resolved_args_sha256
a-s17,400,17,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,dinov3,facebook/dinov3-vits16-pretrain-lvd1689m,p4,False,3.3427745950933323,cbc852241f7180fd114482027dcb9e86bc69375eb414d2e794198d05d5671256,1a6155cd36409bd2675e9711c74b5c2cc188878129e918b2cb35c6210d48f3da
a-s29,400,29,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,dinov3,facebook/dinov3-vits16-pretrain-lvd1689m,p4,False,3.3427745950933323,c57a49bc0567af46080fcf7b6a5ce68ade752f4e1e0ffa82ab01b0e14601945f,cf763ef07ff3ed22e180620279cfafc15ee93dafc869f27ce1345b1c28ce0466
a-s43,400,43,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,dinov3,facebook/dinov3-vits16-pretrain-lvd1689m,p4,False,3.3427745950933323,8f855ffbc3eca12f84d42b5324ea92f7786fd9fe26b511643b6c96dfceb27619,51f6afd287336426ed35e3660fc483375ab50a2c657a6cdc1051bb88b64b8134
b-s17,400,17,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,dinov3,facebook/dinov3-vits16-pretrain-lvd1689m,p3+p4+p5,True,3.0016106154954567,e5cdd3e057819904798b40fe40f0ae1bf889cd84e1056c08bdcbe01c148b9f8d,e96688a939aca1575391638892122de395a9332493baf1141bb8d87dbdf0f297
b-s29,400,29,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,dinov3,facebook/dinov3-vits16-pretrain-lvd1689m,p3+p4+p5,True,3.0016106154954567,29363b525750c0faf7ad2a6b9de1f144630372f1ce613baf66dca4aeed81967c,a3f606e58e2f079c092d632b5784281425e9b0c5002d47fc08a221358a8dab1d
b-s43,400,43,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,dinov3,facebook/dinov3-vits16-pretrain-lvd1689m,p3+p4+p5,True,3.0016106154954567,7c75c22bdcc389c462bcfc4e80a5206d09bf3bfb306f641dff5235a21eeb2e84,7fe1909ea03f2e8911e337724de3ac9d2e649bd03b5adc7107456e24fa048773
c-s17,400,17,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,siglip2,google/siglip2-base-patch16-256,p4,False,3.1106560298222616,6b6abd0097ded117c12e10109c6a24b7a3d682ceb95b2902742c0c9b1542d6d9,8b94c7dbf5700392adc83b354f503e5d98862d246fb27378f96363dbc47e639d
c-s29,400,29,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,siglip2,google/siglip2-base-patch16-256,p4,False,3.1106560298222616,10e0e91cab41b73fd7f857ff7a0eb299910ff33ff5301173a9cfda43838f67a8,ff966bb21c9a6b6de228ebe3ec52ccd234f2859747a6aeb093b35740942aaaf1
c-s43,400,43,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,True,siglip2,google/siglip2-base-patch16-256,p4,False,3.1106560298222616,e8534de3bc731d72361276b9e26abb52b18b2cf8088cab601c65c2be4c898ecc,2a0ff38453cd3f6e437d430c02081d12de76642764574c91857f4748fdd22222
off-s17,400,17,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,False,none,,p4,False,0.0,b1f66d33d58558e56d18f48ba1bbf1f048b46758182fdca78d121e0d63ea79b5,678e7dbc9de722c1fc203cf818a03e0f70e8c8710ced8a7c9d2e061b60efd3c4
off-s29,400,29,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,False,none,,p4,False,0.0,a4b770499d7cfef0b9eab9dae3ba096fd7e7374cdf4a5719421370a98634a142,28840cc360560b5a2ffa0cde056c628cc18d6b0f769e49ad4ee1d8cb49246bd8
off-s43,400,43,VOC.yaml,yolo26-master-n.yaml,256,64,SGD,0.01,0.01,False,False,True,False,none,,p4,False,0.0,09e9fd148ba7459ab87006c510241d0de233d2a78a046168d0f5062e4003561a,34ab520b9fae2ff15ba51a282454e932dd1c1ecb6a6609527fad2768006077ea
