epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,152.944,3.41979,4.99714,0.06731,1.62066,0.00048,0.00658,1e-05,0,3.33239,159.433,0.07913,0,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,314.434,3.25358,4.80189,0.06225,1.01987,0.00072,0.04779,0.00013,3e-05,3.14834,7.83345,0.07716,0,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,517.014,2.33465,4.19665,0.03795,0.99464,0.28815,0.03146,0.0069,0.00185,2.4281,5.21617,0.0527,0,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,696.194,2.04932,3.70864,0.03066,0.99452,0.19378,0.08826,0.04138,0.01808,2.0539,3.75801,0.03855,0,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,866.954,1.91925,3.40277,0.02803,0.99369,0.2352,0.12851,0.0717,0.03353,1.93232,3.40437,0.03645,0,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1025.06,1.86721,3.20856,0.0269,0.99466,0.23387,0.1741,0.1033,0.04976,1.91754,3.12549,0.03536,0,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1184.3,1.81757,3.06436,0.02616,0.99522,0.17686,0.17449,0.10893,0.05289,1.87622,3.07281,0.03463,0,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1333.45,1.79626,2.94622,0.0255,0.99542,0.27732,0.20674,0.14143,0.07244,1.81838,2.83684,0.03303,0,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1499.65,1.77654,2.86723,0.02519,0.99528,0.25779,0.20125,0.1363,0.06866,1.81932,2.87927,0.03369,0,0.009802,0.009802,0.009802,0.004901,0.019604
10,1653.36,1.74338,2.81636,0.0245,0.99615,0.2535,0.23932,0.17841,0.09574,1.76919,2.64462,0.03167,0,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
11,1818.03,1.74171,2.75441,0.02436,0.99612,0.29274,0.24725,0.19008,0.09986,1.76969,2.64675,0.0319,0,0.0097525,0.0097525,0.0097525,0.00487625,0.019505
12,1983.58,1.72561,2.69348,0.02398,0.99591,0.31014,0.26363,0.21816,0.11805,1.7462,2.50645,0.03113,0,0.00972775,0.00972775,0.00972775,0.00486388,0.0194555
13,2135.3,1.69805,2.65922,0.02354,0.99628,0.32937,0.271,0.23063,0.12724,1.72008,2.47567,0.03075,0,0.009703,0.009703,0.009703,0.0048515,0.019406
14,2298.98,1.68851,2.61296,0.02343,0.99636,0.35294,0.30265,0.25244,0.14104,1.71816,2.43222,0.03029,0,0.00967825,0.00967825,0.00967825,0.00483913,0.0193565
15,2452.92,1.67918,2.56973,0.02315,0.99649,0.34811,0.2971,0.2604,0.14287,1.70072,2.40185,0.03013,0,0.0096535,0.0096535,0.0096535,0.00482675,0.019307
16,2617.71,1.67469,2.54505,0.02299,0.99683,0.35602,0.29164,0.25706,0.1437,1.7041,2.40588,0.03008,0,0.00962875,0.00962875,0.00962875,0.00481438,0.0192575
17,2773.14,1.65823,2.51218,0.02277,0.99686,0.38857,0.32475,0.29663,0.1648,1.66025,2.264,0.02909,0,0.009604,0.009604,0.009604,0.004802,0.019208
