family,variant,status,map50_95,map50,map75,precision,recall,map50_95_loss_percentage_points,elapsed_seconds,size_mb,error_type,error
moe,fp32,success,0.42249018626489615,0.5845072840279137,0.45674324893866236,0.6843725820081951,0.5359383247820533,0.0,381.27877358719707,10.549251556396484,,
moe,fp16,success,0.4222722719215939,0.5844520290207464,0.45671012383488047,0.6850136964679001,0.5353508489839532,0.021791434330226123,715.553670052439,5.408317565917969,,
moe,full_int8,success,0.3849698625170654,0.549514795271276,0.41901997571005134,0.6621773153768981,0.5031149503696486,3.7520323747830764,831.5460318922997,3.3345537185668945,,
moe,manual_fallback,success,0.38649195165233025,0.5529821576449592,0.4185887017234286,0.6597501645452197,0.5087868756001221,3.5998234612565905,726.1318070944399,4.299744606018066,,
mot,fp32,success,0.1772703035119351,0.3331188447398383,0.1706622194506724,0.44513509667007795,0.3478798017850059,0.0,957.3033613916487,13.058257102966309,,
mot,fp16,failed,,,,,,,,,ConnectionError,❌  Download failure for https://ultralytics.com/assets/Arial.ttf. Retry limit reached. Curl return value 16
mot,full_int8,success,0.14898865441341408,0.2967452194640748,0.1327180107782367,0.40897902741295733,0.33979392976726863,2.828164909852102,2570.6594771146774,5.755547523498535,,
mot,manual_fallback,success,0.1582234643320197,0.30489599220487434,0.14744845051309052,0.4799658350099104,0.28724107405693433,1.9046839179915398,1248.667938414961,6.905370712280273,,
moa,fp32,success,0.17390407738336452,0.32714652373024294,0.16723948169235323,0.4390617950266639,0.34546551998949054,0.0,256.59840523824096,9.295564651489258,,
moa,fp16,success,0.17386305976828845,0.3272126829294909,0.1672406340572473,0.43928921921942266,0.34598861149677584,0.004101761507607771,846.7496574521065,5.010531425476074,,
moa,full_int8,success,0.15490426225799644,0.29810447027751164,0.14784915495979037,0.4139764927581496,0.3235642180664762,1.899981512536808,602.1169771961868,3.283977508544922,,
moa,manual_fallback,success,0.15232590080733993,0.2946718336957762,0.1433254112540421,0.4113712052779275,0.32039504777634964,2.1578176576024592,508.3042301405221,3.347349166870117,,
latent,fp32,success,0.010416881088556882,0.020234877150971754,0.009549286673927937,0.5395642068666815,0.02757131561199789,0.0,1391.7617696207017,28.042932510375977,,
latent,full_int8,success,0.008726951163394087,0.016985250533798246,0.008203737718066617,0.4393273569142303,0.035201429046851265,0.1689929925162795,3116.5625486616045,13.905433654785156,,
molora,fp32,success,0.36055317444855817,0.5125249381352033,0.39083496310565824,0.6065088489616051,0.477987268478919,0.0,479.85912309587,45.20049476623535,,
molora,full_int8,success,0.3089309180261286,0.4639295231893016,0.333851905640789,0.5722063877371515,0.4612257210889519,5.162225642242957,992.3275055997074,36.53543758392334,,
