family,status,gate_passed,layer,representation,top_k,num_experts,samples,tokens,topk_exact_rate,topk_ordered_exact_rate,jaccard_rate,token_flip_rate,top1_flip_rate,sample_flip_rate,sample_top1_flip_rate,probability_mae,total_variation,jensen_shannon,gate_reasons,error_type,error
moe,success,True,/model.12/routing/Softmax,dense_probabilities,2,3,64,64,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.445513089497884e-06,6.668269634246826e-06,3.398722024988571e-11,,,
moe,success,True,/model.3/routing/Softmax,dense_probabilities,2,3,64,64,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0010137151305874188,0.0015205726958811283,3.0936319703810183e-06,,,
moe,success,True,/model.6/routing/Softmax,dense_probabilities,2,3,64,64,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0007410619097451369,0.0011115928646177053,1.2166247521897103e-06,,,
moe,success,True,/model.9/routing/Softmax,dense_probabilities,2,3,64,64,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.780540277560552e-05,0.00013170810416340828,1.094296860752293e-08,,,
moa,success,False,/model.13/m.0/router/Softmax,dense_probabilities,2,3,64,102400,0.61044921875,0.43189453125,0.740299483036506,0.38955078125,0.347724609375,1.0,1.0,0.0008631071225196744,0.0012946606837795115,1.3893817921249795e-06,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
moa,success,False,/model.16/m.0/router/Softmax,dense_probabilities,2,3,64,409600,0.68214111328125,0.38425537109375,0.7880940786784777,0.31785888671875,0.56626220703125,1.0,1.0,0.0006816460450742549,0.0010224690676113824,8.466416137978078e-07,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
moa,success,False,/model.19/m.0/router/Softmax,dense_probabilities,2,3,64,102400,0.610908203125,0.456533203125,0.7406054726152798,0.389091796875,0.35546875,1.0,1.0,0.000802485775493551,0.0012037286632403266,1.187762422525236e-06,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
moa,success,False,/model.22/m.0/router/Softmax,dense_probabilities,2,3,64,25600,0.58421875,0.5000390625,0.7228125041304156,0.41578125,0.2590625,1.0,1.0,0.0010670321877114474,0.0016005482815671713,2.382534402239406e-06,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
mot,success,False,/model.13/m.0/router/TopK,sparse_topk,2,3,64,102400,0.23265625,0.132470703125,0.4884375076228753,0.76734375,0.617890625,1.0,1.0,0.25588127413318335,0.38382191119977505,0.26593318697066276,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
mot,success,False,/model.16/m.0/router/TopK,sparse_topk,2,3,64,409600,0.12326171875,0.09935302734375,0.4155078212096123,0.87673828125,0.87004150390625,1.0,1.0,0.29225555099942235,0.43838332649913353,0.3037936902481527,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
mot,success,False,/model.19/m.0/router/TopK,sparse_topk,2,3,64,102400,0.53326171875,0.405107421875,0.6888411504699615,0.46673828125,0.376650390625,1.0,1.0,0.15589296392679292,0.23383944589018937,0.16176794262367,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
mot,success,False,/model.22/m.0/router/TopK,sparse_topk,1,3,64,25600,0.0001171875,0.0001171875,0.0001171875,0.9998828125,0.9998828125,1.0,1.0,0.6665885416666666,0.9998828125,0.6930659523477886,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
molora,success,False,/model.10/cv1/conv/TopK,sparse_topk,2,4,64,64,0.515625,0.328125,0.6614583376795053,0.484375,0.453125,0.484375,0.453125,0.1331454369938001,0.2662908739876002,0.18390089737098242,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
molora,success,False,/model.10/cv2/conv/TopK,sparse_topk,2,4,64,64,0.484375,0.46875,0.6406250046566129,0.515625,0.15625,0.515625,0.15625,0.14004916977137327,0.28009833954274654,0.19248811549850806,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
molora,success,False,/model.10/m/m.0/ffn/ffn.0/conv/TopK,sparse_topk,2,4,64,64,0.453125,0.375,0.6145833381451666,0.546875,0.40625,0.546875,0.40625,0.15256652445532382,0.30513304891064763,0.21085141351917427,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
molora,success,False,/model.10/m/m.0/ffn/ffn.1/conv/TopK,sparse_topk,2,4,64,64,0.046875,0.015625,0.26041667303070426,0.953125,0.703125,0.953125,0.703125,0.3164200541796163,0.6328401083592325,0.4383440820994267,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
molora,success,False,/model.13/cv1/conv/TopK,sparse_topk,2,4,64,64,0.375,0.265625,0.572916672565043,0.625,0.5,0.625,0.5,0.16424847021698952,0.32849694043397903,0.2272511988170202,topk_set_agreement_below_threshold;topk_ordered_agreement_below_threshold;top1_flip_above_threshold,,
