idx,h_norm,q_max
0,0.510206,0.802745
1,0.897302,0.430331
2,0.565300,0.767535
3,0.604692,0.719904
4,0.180119,0.949238
5,0.355276,0.873196
6,0.967688,0.374412
7,0.836555,0.552559
8,0.496017,0.805903
9,0.815905,0.544038
10,0.887056,0.483499
11,0.747114,0.493876
12,0.668621,0.504824
13,0.700278,0.619658
14,0.887055,0.407092
15,0.817869,0.573060
16,0.523723,0.663138
17,0.755120,0.616807
18,0.897209,0.442730
19,0.766005,0.482131
20,0.592050,0.632728
21,0.716757,0.561481
22,0.791522,0.544303
23,0.587447,0.696477
24,0.856702,0.505574
25,0.502360,0.742219
26,0.614574,0.742988
27,0.485210,0.811058
28,0.965438,0.354435
29,0.833016,0.537447
30,0.689990,0.637152
31,0.893543,0.464309
32,0.553938,0.634608
33,0.680206,0.675316
34,0.624692,0.710054
35,0.301587,0.898340
36,0.348083,0.884347
37,0.270863,0.913644
38,0.645700,0.522390
39,0.719137,0.665738
40,0.477372,0.819747
41,0.919313,0.390381
42,0.968389,0.326927
43,0.713196,0.496062
44,0.445581,0.784596
45,0.453676,0.832905
46,0.808164,0.554806
47,0.824349,0.498699
48,0.524346,0.745336
49,0.213122,0.939111
50,0.870574,0.420015
51,0.815422,0.574310
52,0.944262,0.343032
53,0.901392,0.483989
54,0.428639,0.833562
55,0.823918,0.555332
56,0.395117,0.833512
57,0.697286,0.684791
58,0.797892,0.513512
59,0.549958,0.744698
60,0.429156,0.831301
61,0.697962,0.645958
62,0.754272,0.570300
63,0.511672,0.794297
64,0.510206,0.802745
65,0.897302,0.430331
66,0.565300,0.767535
67,0.604692,0.719904
68,0.180119,0.949238
69,0.355276,0.873196
70,0.967688,0.374412
71,0.836555,0.552559
72,0.496017,0.805903
73,0.815905,0.544038
74,0.887056,0.483499
75,0.747114,0.493876
76,0.668621,0.504824
77,0.700278,0.619658
78,0.887055,0.407092
79,0.817869,0.573060
80,0.523723,0.663138
81,0.755120,0.616807
82,0.897209,0.442730
83,0.766005,0.482131
84,0.592050,0.632728
85,0.716757,0.561481
86,0.791522,0.544303
87,0.587447,0.696477
88,0.856702,0.505574
89,0.502360,0.742219
90,0.614574,0.742988
91,0.485210,0.811058
92,0.965438,0.354435
93,0.833016,0.537447
94,0.689990,0.637152
95,0.893543,0.464309
96,0.553938,0.634608
97,0.680206,0.675316
98,0.624692,0.710054
99,0.301587,0.898340
100,0.348083,0.884347
101,0.270863,0.913644
102,0.645700,0.522390
103,0.719137,0.665738
104,0.477372,0.819747
105,0.919313,0.390381
106,0.968389,0.326927
107,0.713196,0.496062
108,0.445581,0.784596
109,0.453676,0.832905
110,0.808164,0.554806
111,0.824349,0.498699
112,0.524346,0.745336
113,0.213122,0.939111
114,0.870574,0.420015
115,0.815422,0.574310
116,0.944262,0.343032
117,0.901392,0.483989
118,0.428639,0.833562
119,0.823918,0.555332
120,0.395117,0.833512
121,0.697286,0.684791
122,0.797892,0.513512
123,0.549958,0.744698
124,0.429156,0.831301
125,0.697962,0.645958
126,0.754272,0.570300
127,0.511672,0.794297
128,0.667127,0.704745
129,0.692026,0.687104
130,0.730497,0.644888
131,0.690680,0.687424
132,0.682112,0.693916
133,0.671197,0.702028
134,0.675060,0.698367
135,0.692143,0.686818
136,0.680344,0.696921
137,0.676462,0.697215
138,0.667117,0.685265
139,0.689963,0.688140
140,0.690088,0.688118
141,0.691792,0.686768
142,0.657166,0.712779
143,0.709573,0.673183
144,0.701625,0.681051
145,0.580363,0.744825
146,0.670955,0.674589
147,0.739080,0.648777
148,0.683352,0.692534
149,0.711587,0.672126
150,0.674807,0.699200
151,0.694396,0.684417
152,0.717725,0.667380
153,0.625261,0.726351
154,0.584506,0.752064
155,0.698548,0.675234
156,0.686495,0.690258
157,0.694679,0.684821
158,0.703116,0.678732
159,0.701269,0.679683
160,0.678225,0.694855
161,0.688676,0.688614
162,0.692992,0.685229
163,0.683138,0.693397
164,0.664853,0.707662
165,0.662777,0.708054
166,0.731770,0.656990
167,0.685992,0.691423
168,0.646225,0.718657
169,0.660816,0.709762
170,0.656642,0.712917
171,0.672081,0.701693
172,0.686147,0.689663
173,0.663570,0.705991
174,0.618369,0.737879
175,0.679810,0.694993
176,0.692968,0.685622
177,0.688709,0.688525
178,0.691876,0.686387
179,0.656950,0.710801
180,0.664718,0.706116
181,0.682668,0.692956
182,0.679716,0.695644
183,0.692239,0.685984
184,0.730775,0.651433
185,0.699270,0.680321
186,0.707080,0.675139
187,0.662126,0.709921
188,0.792409,0.604008
189,0.731938,0.653612
190,0.574815,0.763549
191,0.682116,0.692642
192,0.338555,0.878186
193,0.344762,0.875952
194,0.541182,0.745264
195,0.427835,0.830909
196,0.446550,0.831063
197,0.385886,0.864785
198,0.352116,0.880550
199,0.332508,0.889306
200,0.795019,0.577972
201,0.353819,0.878854
202,0.728789,0.563295
203,0.171574,0.953113
204,0.482081,0.807089
205,0.892522,0.392488
206,0.501757,0.799299
207,0.564233,0.696544
208,0.791062,0.532384
209,0.625236,0.559630
210,0.803486,0.593557
211,0.359265,0.878364
212,0.391151,0.855354
213,0.796909,0.466714
214,0.571486,0.746703
215,0.693003,0.600788
216,0.990506,0.311329
217,0.296979,0.905413
218,0.613935,0.675284
219,0.672385,0.696003
220,0.797141,0.563149
221,0.787596,0.480778
222,0.784154,0.592115
223,0.720343,0.574193
224,0.354076,0.865337
225,0.640891,0.663410
226,0.700595,0.662599
227,0.620106,0.712200
228,0.792349,0.453145
229,0.866686,0.408143
230,0.496684,0.796327
231,0.802943,0.528827
232,0.120311,0.968391
233,0.625027,0.661083
234,0.714091,0.614166
235,0.320341,0.894119
236,0.799260,0.459512
237,0.389163,0.836704
238,0.934385,0.366862
239,0.611364,0.734035
240,0.688351,0.690746
241,0.654124,0.710637
242,0.652872,0.643488
243,0.490455,0.796262
244,0.686749,0.693078
245,0.296321,0.897084
246,0.441736,0.828884
247,0.422646,0.800350
248,0.329255,0.889104
249,0.310227,0.897583
250,0.281323,0.909218
251,0.339457,0.886260
252,0.644528,0.622625
253,0.181991,0.947324
254,0.251627,0.920745
255,0.454048,0.814337
256,0.762617,0.622708
257,0.343728,0.873826
258,0.652013,0.654158
259,0.615525,0.684957
260,0.539765,0.768195
261,0.771528,0.617524
262,0.752129,0.640173
263,0.725624,0.646072
264,0.192976,0.945219
265,0.627733,0.595999
266,0.828557,0.449593
267,0.817863,0.495098
268,0.485695,0.802353
269,0.666820,0.693091
270,0.868151,0.431853
271,0.635580,0.710312
272,0.760387,0.603159
273,0.098442,0.975745
274,0.210834,0.939834
275,0.218451,0.936164
276,0.781561,0.450807
277,0.366801,0.844364
278,0.715856,0.477602
279,0.919244,0.373031
280,0.934573,0.363439
281,0.800710,0.497418
282,0.903987,0.395441
283,0.497301,0.793361
284,0.446747,0.826506
285,0.762282,0.566513
286,0.711060,0.671297
287,0.943743,0.349064
288,0.217458,0.933616
289,0.351860,0.868803
290,0.604551,0.698620
291,0.432998,0.842838
292,0.529893,0.737577
293,0.613084,0.737545
294,0.364505,0.876765
295,0.831565,0.491784
296,0.986377,0.302767
297,1.000000,0.250000
298,0.489237,0.794195
299,0.863466,0.478904
300,0.739009,0.615471
301,0.730514,0.623574
302,0.718497,0.594553
303,0.663772,0.682657
304,0.422903,0.849413
305,0.962864,0.351703
306,0.236984,0.924127
307,0.921808,0.465184
308,0.509703,0.788164
309,0.492889,0.785240
310,0.362252,0.876148
311,0.794594,0.568328
312,0.752230,0.607868
313,0.279527,0.910094
314,0.372350,0.855138
315,0.639600,0.539849
316,0.796474,0.565817
317,0.948925,0.354584
318,0.579258,0.683775
319,0.898694,0.488059
320,0.830327,0.553612
321,0.279982,0.907602
322,0.579368,0.721717
323,0.617359,0.693252
324,0.546607,0.761907
325,0.784752,0.603941
326,0.769675,0.626258
327,0.745153,0.631837
