layer_name,expert_name,left_top1_utilization,right_top1_utilization,difference_left_minus_right
model.14.m.0,DeformableTransformer,0.0,0.0,0.0
model.14.m.0,LocalConvTransformer,1.0,1.0,0.0
model.14.m.0,WindowTransformer,0.0,0.0,0.0
model.14.m.1,DeformableTransformer,0.0,0.0,0.0
model.14.m.1,LocalConvTransformer,1.0,0.0,1.0
model.14.m.1,WindowTransformer,0.0,1.0,-1.0
model.20.m.0,DeformableTransformer,0.0,0.0,0.0
model.20.m.0,LocalConvTransformer,1.0,0.0,1.0
model.20.m.0,WindowTransformer,0.0,1.0,-1.0
model.20.m.1,DeformableTransformer,0.0,0.0,0.0
model.20.m.1,LocalConvTransformer,0.0,0.0,0.0
model.20.m.1,WindowTransformer,1.0,1.0,0.0
model.23.m.0,DeformableTransformer,0.0,1.0,-1.0
model.23.m.0,LocalConvTransformer,1.0,0.0,1.0
model.23.m.0,WindowTransformer,0.0,0.0,0.0
model.23.m.1,DeformableTransformer,0.0,0.0,0.0
model.23.m.1,LocalConvTransformer,0.0,0.0,0.0
model.23.m.1,WindowTransformer,1.0,1.0,0.0
