layer_name,expert_name,amp_top1_utilization,fp32_top1_utilization,difference_amp_minus_fp32
model.14.m.0,DeformableTransformer,0.0,0.0,0.0
model.14.m.0,LocalConvTransformer,0.0,0.0,0.0
model.14.m.0,WindowTransformer,1.0,1.0,0.0
model.14.m.1,DeformableTransformer,0.78125,0.0,0.78125
model.14.m.1,LocalConvTransformer,0.0,1.0,-1.0
model.14.m.1,WindowTransformer,0.21875,0.0,0.21875
model.20.m.0,DeformableTransformer,0.0,0.0,0.0
model.20.m.0,LocalConvTransformer,1.0,0.0,1.0
model.20.m.0,WindowTransformer,0.0,1.0,-1.0
model.20.m.1,DeformableTransformer,0.0,0.0,0.0
model.20.m.1,LocalConvTransformer,1.0,0.78125,0.21875
model.20.m.1,WindowTransformer,0.0,0.21875,-0.21875
model.23.m.0,DeformableTransformer,0.0,0.0,0.0
model.23.m.0,LocalConvTransformer,1.0,1.0,0.0
model.23.m.0,WindowTransformer,0.0,0.0,0.0
model.23.m.1,DeformableTransformer,0.0,0.0,0.0
model.23.m.1,LocalConvTransformer,1.0,0.96875,0.03125
model.23.m.1,WindowTransformer,0.0,0.03125,-0.03125
