seed,condition,logical_filename,artifact_kind,recorded_sha256,size_bytes,provenance_scope
0,native-fixed,predictions_val2017.json,prediction_json,bafd65e4cd5633f228df3f36a0d3301653899dd5f81caa0538b672ed263a162f,222142054,historical_manifest
0,native-random,predictions_val2017.json,prediction_json,aee216fc8d9c1c5cf72381aebb1514d10157edbc11fd9eab9d5e06391e28cc40,223411739,historical_manifest
0,true-new17,predictions_val2017.json,prediction_json,fe5da3784ffbb9b0848b51b645e0b15b859a70b149017c20122135ec2dd4ef13,224807406,historical_manifest
0,zero,predictions_val2017.json,prediction_json,dd4c3a37baf5f18a0882b1ac8ac52ff4a75e6a24113550939ce915ccc2d71b02,224801808,historical_manifest
0,wrong-new,predictions_val2017.json,prediction_json,2d3f516cdd05ae5dd2e51bd1e44dc09a37026dd8f8112bcd9bfd3b5cb6285cf5,224765240,historical_manifest
1,native-fixed,predictions_val2017.json,prediction_json,fec76ee92e2ce06ea40ff2bda2da2f9d2d0cff342c30b5c9b17599cf7ba8199d,223491279,historical_manifest
1,native-random,predictions_val2017.json,prediction_json,c38eeca2cdd6e6da98ddb0387156b2f844d02c35ca3d67285bb801214948fbac,221658588,historical_manifest
1,true-new17,predictions_val2017.json,prediction_json,282380d6c6472d59509137f56742c1e16a11a9c60d6aec304ee2159fb4d96ed4,220142475,historical_manifest
1,zero,predictions_val2017.json,prediction_json,2450b04d56daa7ceadcd2fe5906d5a12f3696f2689541e8d8750b3faa1e801d0,220221003,historical_manifest
1,wrong-new,predictions_val2017.json,prediction_json,e4c33eae21aa40b1303ca1e10c734f2be9b39a753e6019231722791713f03100,219999536,historical_manifest
2,native-fixed,predictions_val2017.json,prediction_json,1c8e690f114819f3245aa2088157481b6d6739330f9a8726f5ab46b41aad6668,223002930,historical_manifest
2,native-random,predictions_val2017.json,prediction_json,9cb2d51d9e8f9265a071a571c63584513ed8c860bc31b1bb9580fd58810a635d,226419138,historical_manifest
2,true-new17,predictions_val2017.json,prediction_json,ff8995dd4c3d556eace270212aef58579233456ae1bf701189d13a4fbbfbc420,224237319,historical_manifest
2,zero,predictions_val2017.json,prediction_json,068cd6846d735bedf5b9b429799a984e2148d35a76cc023b216860a750b878d0,224254297,historical_manifest
2,wrong-new,predictions_val2017.json,prediction_json,9af2ab5906c7713ec8ab1e531518fb2e80a46d4ce673bb011351b7e0cda6f326,224229019,historical_manifest
0,deterministic-random-routing,adapter_final_state.pt,checkpoint_adapter_state,a1b5fdd385e13d1caf1cfdc8282df91aba58fd680675861656ecb7d07d5b9c8d,,historical_manifest
0,fixed-balanced-routing,adapter_final_state.pt,checkpoint_adapter_state,d834cf724099e458341481999f7267b7558e01f7a5ea5b6319c3b768477422fa,,historical_manifest
0,true-text,adapter_final_state.pt,checkpoint_adapter_state,6f14cfd69a70fe5d800605f96db8108d43f7923bc52950471064124034db553e,,historical_manifest
1,deterministic-random-routing,adapter_final_state.pt,checkpoint_adapter_state,c52ab30942b0f1e3626f82cc0a2f485a6514e08206999a07052d2665d3cdb4bb,,historical_manifest
1,fixed-balanced-routing,adapter_final_state.pt,checkpoint_adapter_state,b5d99e5bd2a2367a5fc5e084d0473fda316f8882114f2780beb618c54e410bae,,historical_manifest
1,true-text,adapter_final_state.pt,checkpoint_adapter_state,f8dd3679ce03af03dbe3e79d70c5c6d53b42a6bde5b710746d3f2ce71a4ae36d,,historical_manifest
2,deterministic-random-routing,adapter_final_state.pt,checkpoint_adapter_state,b7cf78ff1e4547e1d42e483bfafb1a5a29a248d50c502b61a4f68743380762d2,,historical_manifest
2,fixed-balanced-routing,adapter_final_state.pt,checkpoint_adapter_state,67e5aa7aca09f0549c801e8a60a2e1a0fc33e34c18d52c16bc530bc2f22d3a32,,historical_manifest
2,true-text,adapter_final_state.pt,checkpoint_adapter_state,4566a924e7b5890a3383aae3929dc56c2f0d9103e9f2b9903ad3fa44c1443c09,,historical_manifest
