seed,comparison_type,a_key,b_key,metric,field,old_value,new_value,delta_new_minus_old,note
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP,point_official,0.00011833533219046677,0.00011833533219046677,0.0,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP,mean_bootstrap,5.181556841835765e-05,0.00012158625948975166,6.977069107139402e-05,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP,ci_low,2.2923827141529962e-06,5.729287043948483e-05,5.500048772533184e-05,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP,ci_high,0.00011612853088729946,0.0002064772965575945,9.034876567029504e-05,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP,prob_gt_0,0.981,0.998,0.017000000000000015,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP50,point_official,0.00014975644097586782,0.00014975644097586782,0.0,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP50,mean_bootstrap,6.863754328832547e-05,0.00015322115047833912,8.458360719001364e-05,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP50,ci_low,-2.233122383482611e-06,7.460912288165256e-05,7.684224526513517e-05,CI sign changed: old(0) new(+)
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP50,ci_high,0.00015551379289988065,0.0002728439644218428,0.00011733017152196212,CI sign changed: old(0) new(+)
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__zero,AP50,prob_gt_0,0.973,1.0,0.027000000000000024,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP,point_official,0.0007472001393442063,0.0007472001393442063,0.0,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP,mean_bootstrap,0.00028841797258899953,0.0006756517691376438,0.0003872337965486442,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP,ci_low,0.00012899477919983693,0.0004934220844107218,0.00036442730521088484,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP,ci_high,0.0004602761831187796,0.0008841736177300219,0.0004238974346112423,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP,prob_gt_0,0.997,1.0,0.0030000000000000027,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP50,point_official,0.0008841634367390827,0.0008841634367390827,0.0,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP50,mean_bootstrap,0.00035514601163417656,0.000821023253639789,0.00046587724200561245,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP50,ci_low,0.00016183819363196905,0.0005945041225686176,0.00043266592893664857,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP50,ci_high,0.0005569017374858765,0.0010565761121649753,0.0004996743746790988,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__true-new17,seed0__true-text__wrong-new,AP50,prob_gt_0,0.999,1.0,0.0010000000000000009,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP,point_official,0.0006288648071537395,0.0006288648071537395,0.0,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP,mean_bootstrap,0.00023660240417064192,0.000554065509647892,0.00031746310547725007,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP,ci_low,8.904578033612498e-05,0.00039098831652117916,0.0003019425361850542,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP,ci_high,0.0003922505782870678,0.0007471766514312583,0.00035492607314419056,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP,prob_gt_0,0.995,1.0,0.0050000000000000044,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP50,point_official,0.0007344069957632149,0.0007344069957632149,0.0,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP50,mean_bootstrap,0.0002865084683458514,0.0006678021031614501,0.0003812936348155987,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP50,ci_low,0.00011534388123771167,0.00046039305834377764,0.000345049177106066,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP50,ci_high,0.0004741375810646542,0.0009053720372172447,0.0004312344561525905,
seed0,text_counterfactual_same_checkpoint,seed0__true-text__zero,seed0__true-text__wrong-new,AP50,prob_gt_0,0.997,1.0,0.0030000000000000027,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP,point_official,-0.00018911921924075203,-0.00018911921924075203,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP,mean_bootstrap,-7.947329492107922e-05,-0.00020074380874025554,-0.00012127051381917632,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP,ci_low,-0.00022034253274427762,-0.0003805501100694886,-0.00016020757732521096,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP,ci_high,4.945420379295906e-05,1.889504384999796e-05,-3.05591599429611e-05,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP,prob_gt_0,0.139,0.034,-0.10500000000000001,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,point_official,-0.00020738766520950191,-0.00020738766520950191,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,mean_bootstrap,-0.00010740703932360226,-0.00028415382494858366,-0.0001767467856249814,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,ci_low,-0.00031620741887611326,-0.0005062624600137289,-0.00019005504113761562,CI sign changed: old(0) new(-)
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,ci_high,9.582689953041568e-05,-5.681245543304181e-05,-0.00015263935496345749,CI sign changed: old(0) new(-)
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,prob_gt_0,0.156,0.014,-0.142,
