epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,912.8,5.65147,6.47536,4.40265,2.06654,0.00014,0.00064,1e-05,0,5.79597,5.55084,4.33597,0,0.000237853,0.000237853,0.000237853,0.000118926,0.000475706
2,1334.37,3.73657,3.46608,2.34645,1.89731,0.03605,0.09499,0.02257,0.00818,2.95517,2.48401,1.57357,0,0.000466431,0.000466431,0.000466431,0.000233216,0.000932862
3,1732.36,2.94076,2.57202,1.51941,1.99131,0.07165,0.11965,0.03782,0.01365,2.71153,2.24741,1.38995,0,0.000685584,0.000685584,0.000685584,0.000342792,0.00137117
4,2115.37,2.64888,2.31652,1.33565,1.99868,0.18743,0.10958,0.05167,0.0231,2.38027,2.04183,1.2307,0,0.000671588,0.000671588,0.000671588,0.000335794,0.00134318
5,2503.65,2.46717,2.1594,1.2528,1.99966,0.31662,0.11563,0.06328,0.0289,2.28671,1.92159,1.17414,0,0.000657451,0.000657451,0.000657451,0.000328726,0.0013149
6,2892.79,2.36538,2.06173,1.20306,1.9999,0.31624,0.12917,0.06825,0.03222,2.19997,1.87368,1.14149,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
7,3275.72,2.29713,1.99833,1.16834,2.00001,0.38248,0.13706,0.08327,0.04032,2.10397,1.76019,1.11615,0,0.000629177,0.000629177,0.000629177,0.000314588,0.00125835
8,3667.05,2.23988,1.92723,1.13695,1.99996,0.13018,0.15236,0.08295,0.03927,2.1091,1.7643,1.09249,0,0.00061504,0.00061504,0.00061504,0.00030752,0.00123008
9,4050.74,2.21692,1.89262,1.11568,2.00002,0.38216,0.14931,0.09012,0.04285,2.07202,1.72588,1.0684,0,0.000600902,0.000600902,0.000600902,0.000300451,0.0012018
10,4439.46,2.16664,1.84598,1.09716,1.99997,0.26905,0.16236,0.10266,0.05163,2.01033,1.65017,1.05186,0,0.000586765,0.000586765,0.000586765,0.000293383,0.00117353
11,4828.69,2.13905,1.82152,1.08619,2,0.28595,0.17468,0.11093,0.05506,1.98051,1.61137,1.04655,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
12,5213.13,2.10784,1.78212,1.07813,1.99998,0.22951,0.1785,0.1138,0.0569,1.96204,1.58273,1.04056,0,0.000558491,0.000558491,0.000558491,0.000279245,0.00111698
13,5603.6,2.07957,1.75201,1.07115,2.00001,0.30497,0.18558,0.12068,0.06033,1.92397,1.5404,1.0324,0,0.000544354,0.000544354,0.000544354,0.000272177,0.00108871
14,5987.51,2.0674,1.71972,1.05852,1.99998,0.32522,0.18243,0.12175,0.06202,1.90407,1.52701,1.025,0,0.000530216,0.000530216,0.000530216,0.000265108,0.00106043
15,6375.47,2.0424,1.70697,1.04993,2,0.29412,0.18771,0.12099,0.06077,1.93567,1.55854,1.02216,0,0.000516079,0.000516079,0.000516079,0.00025804,0.00103216
16,6764.74,2.02101,1.68167,1.04648,2,0.33782,0.18954,0.13105,0.06676,1.87005,1.485,1.01428,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
17,7148.17,2.00367,1.65588,1.04104,2.00002,0.32585,0.1913,0.13387,0.06858,1.85962,1.47793,1.0099,0,0.000487805,0.000487805,0.000487805,0.000243902,0.00097561
18,7538.4,1.98322,1.63704,1.03374,1.99996,0.2313,0.19097,0.13608,0.07092,1.85162,1.47254,1.0066,0,0.000473668,0.000473668,0.000473668,0.000236834,0.000947335
19,7923.59,1.98044,1.61957,1.03167,2,0.22832,0.2031,0.13998,0.07232,1.82407,1.44784,1.00195,0,0.00045953,0.00045953,0.00045953,0.000229765,0.000919061
20,8310.11,1.96953,1.6075,1.02634,2.00001,0.24655,0.20561,0.14551,0.0755,1.82142,1.43588,0.99796,0,0.000445393,0.000445393,0.000445393,0.000222697,0.000890786
21,8701.84,1.95644,1.59397,1.0225,2.00002,0.35054,0.20951,0.15013,0.07785,1.80469,1.42707,0.99649,0,0.000431256,0.000431256,0.000431256,0.000215628,0.000862512
22,9082.69,1.94062,1.57364,1.01964,2.00005,0.24396,0.21029,0.15056,0.07824,1.79498,1.41526,0.99231,0,0.000417119,0.000417119,0.000417119,0.000208559,0.000834238
23,9474.02,1.93101,1.56467,1.01661,1.99999,0.24501,0.20949,0.15235,0.0784,1.80268,1.40828,0.99096,0,0.000402982,0.000402982,0.000402982,0.000201491,0.000805963
24,9859.95,1.91732,1.54201,1.01431,1.99997,0.36127,0.20982,0.15745,0.08183,1.78984,1.39075,0.99138,0,0.000388844,0.000388844,0.000388844,0.000194422,0.000777689
25,10244.9,1.92244,1.54866,1.0133,2.00003,0.34598,0.21057,0.15677,0.08079,1.78568,1.39177,0.98427,0,0.000374707,0.000374707,0.000374707,0.000187354,0.000749414
26,10637,1.89177,1.52472,1.0088,1.99998,0.27322,0.21871,0.16351,0.08532,1.76645,1.37682,0.98335,0,0.00036057,0.00036057,0.00036057,0.000180285,0.00072114
27,11018,1.90381,1.51831,1.00447,2.00001,0.37111,0.21573,0.16448,0.0857,1.7656,1.37426,0.98186,0,0.000346433,0.000346433,0.000346433,0.000173216,0.000692866
28,11407.6,1.90273,1.5154,1.00213,1.99999,0.27183,0.22199,0.16688,0.0876,1.74911,1.35772,0.9793,0,0.000332296,0.000332296,0.000332296,0.000166148,0.000664591
29,11795,1.88629,1.49717,1.00092,2.00001,0.26632,0.22218,0.17145,0.08954,1.74616,1.34701,0.97386,0,0.000318158,0.000318158,0.000318158,0.000159079,0.000636317
30,12179.7,1.87498,1.4863,0.99741,2.00005,0.37393,0.22316,0.17104,0.08945,1.7443,1.34597,0.97723,0,0.000304021,0.000304021,0.000304021,0.000152011,0.000608042
31,12569.7,1.86135,1.4737,0.99363,1.99999,0.39082,0.21783,0.17704,0.09347,1.73438,1.33824,0.97551,0,0.000289884,0.000289884,0.000289884,0.000144942,0.000579768
32,12950.4,1.87157,1.47884,0.99375,2.00001,0.28067,0.22241,0.17569,0.09184,1.7256,1.32991,0.97295,0,0.000275747,0.000275747,0.000275747,0.000137873,0.000551494
33,13339.7,1.86176,1.46673,0.99333,1.99997,0.3869,0.22536,0.17837,0.09395,1.72375,1.32578,0.96879,0,0.00026161,0.00026161,0.00026161,0.000130805,0.000523219
34,13725.1,1.85409,1.46374,0.98904,2.00002,0.38862,0.22142,0.17977,0.09396,1.72004,1.32292,0.97074,0,0.000247472,0.000247472,0.000247472,0.000123736,0.000494945
35,14108.7,1.83978,1.45264,0.9916,1.99998,0.38943,0.2255,0.18201,0.09568,1.71735,1.31467,0.96933,0,0.000233335,0.000233335,0.000233335,0.000116668,0.00046667
36,14500.4,1.83253,1.44132,0.98967,2.00003,0.38943,0.23263,0.18239,0.09559,1.71489,1.31296,0.96693,0,0.000219198,0.000219198,0.000219198,0.000109599,0.000438396
37,14880.2,1.83117,1.43824,0.98554,2.00002,0.29402,0.2319,0.18641,0.09757,1.70586,1.30904,0.96519,0,0.000205061,0.000205061,0.000205061,0.00010253,0.000410122
38,15269.8,1.8349,1.43736,0.98615,1.99999,0.29623,0.23549,0.18608,0.09798,1.69701,1.29873,0.96391,0,0.000190924,0.000190924,0.000190924,9.54618e-05,0.000381847
39,15661.5,1.81646,1.42245,0.98571,1.99998,0.40463,0.23044,0.18922,0.09992,1.69787,1.29828,0.96395,0,0.000176786,0.000176786,0.000176786,8.83932e-05,0.000353573
40,16045.8,1.82774,1.42494,0.98306,1.99999,0.39738,0.23453,0.18836,0.09939,1.69206,1.29322,0.96228,0,0.000162649,0.000162649,0.000162649,8.13246e-05,0.000325298
41,16439.8,1.77454,1.39916,0.98111,2.00012,0.30092,0.23479,0.18723,0.09865,1.70432,1.3032,0.96141,0,0.000148512,0.000148512,0.000148512,7.4256e-05,0.000297024
42,16818.6,1.7618,1.38057,0.978,1.99999,0.29822,0.23508,0.18697,0.09862,1.70127,1.29943,0.96099,0,0.000134375,0.000134375,0.000134375,6.71874e-05,0.00026875
43,17203.5,1.75582,1.36783,0.9766,1.99998,0.30887,0.23873,0.18901,0.09928,1.70149,1.29573,0.96222,0,0.000120238,0.000120238,0.000120238,6.01188e-05,0.000240475
44,17588.3,1.74852,1.3576,0.97714,2.00001,0.29473,0.23776,0.18861,0.09884,1.70092,1.29394,0.96075,0,0.0001061,0.0001061,0.0001061,5.30502e-05,0.000212201
45,17968.8,1.74037,1.34986,0.97447,1.99999,0.29966,0.23847,0.19015,0.10022,1.69427,1.28833,0.96043,0,9.19632e-05,9.19632e-05,9.19632e-05,4.59816e-05,0.000183926
46,18355.9,1.73528,1.34518,0.9726,2,0.32422,0.23954,0.19077,0.10082,1.69353,1.2874,0.95918,0,7.7826e-05,7.7826e-05,7.7826e-05,3.8913e-05,0.000155652
47,18736.3,1.73795,1.34443,0.97314,2,0.3145,0.23853,0.19009,0.10047,1.68928,1.28297,0.95858,0,6.36888e-05,6.36888e-05,6.36888e-05,3.18444e-05,0.000127378
48,19120.1,1.73236,1.34076,0.97202,2.00001,0.32229,0.24043,0.19141,0.10103,1.6869,1.28116,0.95856,0,4.95516e-05,4.95516e-05,4.95516e-05,2.47758e-05,9.91032e-05
49,19506.7,1.72894,1.33249,0.9718,1.99999,0.31279,0.23895,0.191,0.1009,1.6889,1.28227,0.9586,0,3.54144e-05,3.54144e-05,3.54144e-05,1.77072e-05,7.08288e-05
50,19885.8,1.72674,1.3299,0.96947,1.99998,0.32142,0.23775,0.19232,0.10209,1.68517,1.27917,0.9577,0,2.12772e-05,2.12772e-05,2.12772e-05,1.06386e-05,4.25544e-05
