epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,612.378,5.63938,6.71549,4.40662,1.10957,1e-05,0.0004,0,0,5.79762,5.80497,4.33455,0,0.000237853,0.000237853,0.000237853,0.000118926,0.000475706
2,896.457,3.72654,3.54705,2.39249,0.9004,0.0306,0.09269,0.02066,0.00719,2.98427,2.58259,1.55255,0,0.000466431,0.000466431,0.000466431,0.000233216,0.000932862
3,1181.05,2.93256,2.57043,1.50279,0.99373,0.0481,0.13329,0.03973,0.01639,2.60272,2.19159,1.33196,0,0.000685584,0.000685584,0.000685584,0.000342792,0.00137117
4,1466.26,2.61138,2.29374,1.30376,0.99978,0.19799,0.12581,0.05806,0.0258,2.34748,1.97307,1.21371,0,0.000671588,0.000671588,0.000671588,0.000335794,0.00134318
5,1743.75,2.4348,2.13868,1.22433,0.9999,0.25833,0.11463,0.06525,0.03033,2.28264,1.90491,1.14358,0,0.000657451,0.000657451,0.000657451,0.000328726,0.0013149
6,2021.86,2.34356,2.04585,1.17219,0.99998,0.214,0.13251,0.0722,0.03388,2.18368,1.82758,1.1152,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
7,2305.21,2.26941,1.97687,1.1402,0.99998,0.35258,0.13562,0.08582,0.04165,2.08429,1.74819,1.0882,0,0.000629177,0.000629177,0.000629177,0.000314588,0.00125835
8,2589.27,2.21104,1.90319,1.11366,0.99993,0.2305,0.15127,0.08419,0.04032,2.12225,1.75484,1.07577,0,0.00061504,0.00061504,0.00061504,0.00030752,0.00123008
9,2865.91,2.1837,1.86291,1.09484,1.00006,0.37318,0.15174,0.09343,0.04466,2.04852,1.69868,1.05718,0,0.000600902,0.000600902,0.000600902,0.000300451,0.0012018
10,3147.33,2.13782,1.81747,1.07946,0.99993,0.17279,0.16557,0.10291,0.04999,1.97934,1.62152,1.04655,0,0.000586765,0.000586765,0.000586765,0.000293383,0.00117353
11,3433.85,2.11003,1.79325,1.06793,1.00003,0.19149,0.17034,0.11073,0.05404,1.96709,1.59843,1.03802,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
12,3712.92,2.0867,1.76259,1.0636,0.99996,0.19427,0.17339,0.11118,0.05495,1.93751,1.57049,1.03177,0,0.000558491,0.000558491,0.000558491,0.000279245,0.00111698
13,3990.1,2.05376,1.72971,1.05568,1.00003,0.20243,0.19022,0.12234,0.06125,1.90925,1.53101,1.02244,0,0.000544354,0.000544354,0.000544354,0.000272177,0.00108871
14,4274.92,2.04671,1.70189,1.04534,1.00005,0.20098,0.17521,0.11521,0.05725,1.93505,1.5398,1.02156,0,0.000530216,0.000530216,0.000530216,0.000265108,0.00106043
15,4559.59,2.02028,1.68672,1.03734,0.99993,0.20888,0.19036,0.12938,0.06556,1.88317,1.50824,1.00909,0,0.000516079,0.000516079,0.000516079,0.00025804,0.00103216
16,4836.95,2.00227,1.66495,1.03487,1.00006,0.21481,0.18618,0.12923,0.06547,1.865,1.4939,1.00484,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
17,5118.64,1.98245,1.64031,1.02892,0.99996,0.23341,0.19363,0.13829,0.07089,1.8399,1.4509,1.00576,0,0.000487805,0.000487805,0.000487805,0.000243902,0.00097561
18,5404.26,1.96521,1.62092,1.02361,0.99999,0.23439,0.19255,0.13385,0.06895,1.84277,1.45628,0.99538,0,0.000473668,0.000473668,0.000473668,0.000236834,0.000947335
19,5684.61,1.96091,1.60518,1.02075,1.00005,0.24568,0.19225,0.14144,0.0732,1.82261,1.44294,0.9958,0,0.00045953,0.00045953,0.00045953,0.000229765,0.000919061
20,5960.78,1.95537,1.5925,1.01664,0.99997,0.24386,0.20521,0.14483,0.07438,1.80852,1.42638,0.98837,0,0.000445393,0.000445393,0.000445393,0.000222697,0.000890786
21,6244.95,1.9398,1.5794,1.01307,0.99997,0.24736,0.20178,0.14933,0.07744,1.79983,1.41775,0.9894,0,0.000431256,0.000431256,0.000431256,0.000215628,0.000862512
22,6530.24,1.92777,1.5617,1.01062,1.00001,0.24974,0.20733,0.15096,0.07842,1.79072,1.41536,0.9862,0,0.000417119,0.000417119,0.000417119,0.000208559,0.000834238
23,6806.71,1.91852,1.55287,1.0073,1.00004,0.2577,0.2092,0.15283,0.07929,1.78682,1.39574,0.98859,0,0.000402982,0.000402982,0.000402982,0.000201491,0.000805963
24,7087.21,1.90317,1.53148,1.00565,0.99997,0.25332,0.2136,0.15962,0.08338,1.77337,1.38332,0.98052,0,0.000388844,0.000388844,0.000388844,0.000194422,0.000777689
25,7371.46,1.90536,1.53427,1.00419,1.00002,0.25042,0.21403,0.15642,0.08126,1.77858,1.38893,0.97991,0,0.000374707,0.000374707,0.000374707,0.000187354,0.000749414
26,7662.96,1.87824,1.51332,0.99981,1,0.26401,0.21788,0.1646,0.08609,1.74521,1.36198,0.97581,0,0.00036057,0.00036057,0.00036057,0.000180285,0.00072114
27,7941.42,1.88784,1.50414,0.99579,0.99997,0.26618,0.22021,0.1661,0.08764,1.74867,1.35954,0.97319,0,0.000346433,0.000346433,0.000346433,0.000173216,0.000692866
28,8223.99,1.88428,1.49875,0.99271,1.00003,0.26496,0.22041,0.16562,0.08758,1.74123,1.35346,0.97478,0,0.000332296,0.000332296,0.000332296,0.000166148,0.000664591
29,8518.17,1.87185,1.48454,0.99321,0.99998,0.28265,0.22319,0.17105,0.08972,1.73077,1.33826,0.96996,0,0.000318158,0.000318158,0.000318158,0.000159079,0.000636317
30,8796.32,1.86244,1.47466,0.98968,1,0.27938,0.23063,0.17553,0.09328,1.72415,1.33167,0.97045,0,0.000304021,0.000304021,0.000304021,0.000152011,0.000608042
31,9075.72,1.84963,1.46122,0.98594,1.00005,0.28758,0.22876,0.17936,0.09451,1.71991,1.32884,0.9711,0,0.000289884,0.000289884,0.000289884,0.000144942,0.000579768
32,9360.37,1.85749,1.46899,0.98639,1.00002,0.28298,0.23035,0.17819,0.09406,1.71543,1.31882,0.96694,0,0.000275747,0.000275747,0.000275747,0.000137873,0.000551494
33,9644.52,1.84995,1.45437,0.98577,0.99997,0.28488,0.24047,0.18151,0.09593,1.71464,1.31994,0.96524,0,0.00026161,0.00026161,0.00026161,0.000130805,0.000523219
34,9923.2,1.84322,1.45207,0.98267,1,0.28059,0.23537,0.18068,0.09589,1.70549,1.31157,0.96494,0,0.000247472,0.000247472,0.000247472,0.000123736,0.000494945
