id,dataset,seed,strategy,status,exit_code,elapsed_sec,best_epoch,mAP50_best,mAP50_95_best,peak_gpu_gb,planner_enabled,planner_backend,strict,adapter_budget,lora_r,freeze
neu_vpeft_s824b,neu,824,vpeft,done,0,2948.0,82,0.69092,0.332,4.17,True,vpeft,True,2100000,8,
neu_vpeft_s2024,neu,2024,vpeft,done,0,3256.6,51,0.36903,0.15606,4.17,True,vpeft,True,2100000,8,
neu_vpeft_s777,neu,777,vpeft,done,0,3195.5,87,0.74565,0.39651,4.15,True,vpeft,True,2100000,8,
neu_full_sft_s824,neu,824,full_sft,done,0,3370.9,83,0.75202,0.40741,5.31,False,legacy,False,,0,0
neu_full_sft_s2024,neu,2024,full_sft,done,0,3239.7,85,0.78004,0.41327,5.31,False,legacy,False,,0,0
neu_full_sft_s777,neu,777,full_sft,done,0,3294.8,85,0.76767,0.39941,5.31,False,legacy,False,,0,0
neu_frozen_backbone_s824,neu,824,frozen_backbone,done,0,2619.0,96,0.68493,0.34384,3.74,False,legacy,False,,0,11
neu_frozen_backbone_s2024,neu,2024,frozen_backbone,done,0,2800.1,46,0.20958,0.10844,3.74,False,legacy,False,,0,11
neu_frozen_backbone_s777,neu,777,frozen_backbone,done,0,2677.1,93,0.65881,0.33052,3.74,False,legacy,False,,0,11
pcb_vpeft_s824,pcb,824,vpeft,done,0,2640.4,95,0.8639,0.53062,4.11,True,vpeft,True,2100000,8,
pcb_vpeft_s2024,pcb,2024,vpeft,done,0,2432.8,74,0.8191,0.57685,4.11,True,vpeft,True,2100000,8,
pcb_vpeft_s777,pcb,777,vpeft,done,0,2968.7,99,0.96084,0.69274,4.11,True,vpeft,True,2100000,8,
pcb_full_sft_s824,pcb,824,full_sft,done,0,2493.4,75,0.98922,0.76651,5.28,False,legacy,False,,0,0
pcb_full_sft_s2024,pcb,2024,full_sft,done,0,2686.6,99,0.98882,0.71852,5.26,False,legacy,False,,0,0
pcb_full_sft_s777,pcb,777,full_sft,done,0,3118.1,100,0.98958,0.75384,5.26,False,legacy,False,,0,0
pcb_frozen_backbone_s824,pcb,824,frozen_backbone,done,0,3941.9,9,0.6386,0.34692,3.69,False,legacy,False,,0,11
pcb_frozen_backbone_s2024,pcb,2024,frozen_backbone,done,0,2547.7,87,0.89076,0.52982,3.69,False,legacy,False,,0,11
pcb_frozen_backbone_s777,pcb,777,frozen_backbone,done,0,3297.7,100,0.90735,0.57965,3.75,False,legacy,False,,0,11
