epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,216.224,6.41499,3.68616,4.19358,0.19036,3e-05,7e-05,2e-05,0,6.587,3.51454,3.99422,0,0.00332685,0.00332685,0.00332685,0.00166342
2,297.198,3.70972,1.8397,2.30314,0.08243,0.18588,0.36045,0.21129,0.07187,3.30314,1.89995,1.9814,0,0.00659425,0.00659425,0.00659425,0.00329712
3,377.649,2.09277,1.08862,1.36112,0.04948,0.17027,0.33018,0.20298,0.0823,3.15521,2.09143,1.87524,0,0.00979564,0.00979564,0.00979564,0.00489782
4,480.694,1.88223,0.97561,1.25673,0.03219,0.21917,0.42501,0.28489,0.12372,2.68748,2.15914,1.65282,0,0.009703,0.009703,0.009703,0.0048515
5,564.07,1.75945,0.89426,1.19762,0.02252,0.24788,0.48032,0.33412,0.15062,2.46744,1.92821,1.53378,0,0.009604,0.009604,0.009604,0.004802
6,668.785,1.69519,0.8537,1.16858,0.01689,0.28875,0.52664,0.39718,0.17727,2.28992,1.90158,1.44894,0,0.009505,0.009505,0.009505,0.0047525
7,753.784,1.64378,0.82168,1.14969,0.01351,0.24699,0.44454,0.30007,0.13134,2.6437,1.89023,1.62029,0,0.009406,0.009406,0.009406,0.004703
8,847.679,1.60664,0.79517,1.13273,0.01149,0.21751,0.42179,0.26524,0.11373,2.68058,2.07174,1.64121,0,0.009307,0.009307,0.009307,0.0046535
9,944.441,1.58206,0.7783,1.11973,0.01034,0.23351,0.45281,0.28473,0.12441,2.59458,2.00131,1.61278,0,0.009208,0.009208,0.009208,0.004604
10,1047.79,1.56584,0.7643,1.11242,0.00982,0.19762,0.38321,0.23546,0.09936,2.83931,1.96315,1.74649,0,0.009109,0.009109,0.009109,0.0045545
11,1150.57,1.54588,0.74919,1.10482,0.00982,0.1939,0.37581,0.22914,0.10086,2.78297,1.93554,1.72472,0,0.00901,0.00901,0.00901,0.004505
12,1251.56,1.53224,0.73754,1.09706,0.00982,0.19256,0.33728,0.21068,0.09468,2.81907,1.94761,1.74394,0,0.008911,0.008911,0.008911,0.0044555
13,1355.24,1.5123,0.72274,1.09045,0.00982,0.23311,0.41942,0.29171,0.12872,2.68478,1.83488,1.66615,0,0.008812,0.008812,0.008812,0.004406
14,1469.79,1.5115,0.71886,1.08949,0.00982,0.25765,0.36317,0.26312,0.11511,2.76751,1.75384,1.7278,0,0.008713,0.008713,0.008713,0.0043565
15,1552.03,1.49397,0.71024,1.08487,0.00982,0.21815,0.37663,0.24433,0.11059,2.70398,1.87475,1.69779,0,0.008614,0.008614,0.008614,0.004307
16,1642.99,1.48833,0.70411,1.0807,0.00982,0.21737,0.39777,0.25697,0.11486,2.70843,1.84457,1.69533,0,0.008515,0.008515,0.008515,0.0042575
17,1755.45,1.4842,0.69917,1.079,0.00982,0.35155,0.37073,0.32789,0.15072,2.52355,1.69647,1.6098,0,0.008416,0.008416,0.008416,0.004208
18,1862.74,1.47507,0.69447,1.07572,0.00982,0.25723,0.37182,0.27426,0.1203,2.72174,1.74653,1.70721,0,0.008317,0.008317,0.008317,0.0041585
19,1954.82,1.4715,0.68812,1.07319,0.00982,0.37344,0.40734,0.37016,0.1739,2.35405,1.69182,1.49095,0,0.008218,0.008218,0.008218,0.004109
20,2090.26,1.45709,0.68075,1.07008,0.00982,0.2597,0.37994,0.26334,0.11708,2.72585,1.66279,1.70599,0,0.008119,0.008119,0.008119,0.0040595
21,2199.27,1.45587,0.67586,1.06804,0.00982,0.38538,0.35304,0.32539,0.14658,2.59601,1.51305,1.64481,0,0.00802,0.00802,0.00802,0.00401
22,2276.14,1.44727,0.67057,1.06289,0.00982,0.28562,0.46187,0.33994,0.1557,2.53235,1.67786,1.56338,0,0.007921,0.007921,0.007921,0.0039605
23,2359.6,1.44661,0.6696,1.06477,0.00982,0.33717,0.42838,0.3592,0.1668,2.47879,1.61879,1.55235,0,0.007822,0.007822,0.007822,0.003911
24,2482.93,1.44361,0.66305,1.05685,0.00982,0.31874,0.34913,0.28704,0.12468,2.75834,1.57434,1.7313,0,0.007723,0.007723,0.007723,0.0038615
25,2586.92,1.43778,0.66275,1.05734,0.00982,0.29323,0.33548,0.26087,0.11522,2.72927,1.60296,1.73153,0,0.007624,0.007624,0.007624,0.003812
26,2692.53,1.43339,0.65816,1.05537,0.00982,0.31375,0.34673,0.27728,0.12317,2.72665,1.60653,1.71839,0,0.007525,0.007525,0.007525,0.0037625
27,2811.78,1.42629,0.65337,1.05512,0.00982,0.27686,0.33219,0.24868,0.11127,2.7611,1.65469,1.74881,0,0.007426,0.007426,0.007426,0.003713
28,2942.42,1.43049,0.65379,1.05423,0.00982,0.28665,0.29488,0.23451,0.10405,2.91596,1.61424,1.89543,0,0.007327,0.007327,0.007327,0.0036635
29,3026.75,1.41909,0.64842,1.05378,0.00982,0.29153,0.3044,0.24903,0.11285,2.78904,1.58536,1.77873,0,0.007228,0.007228,0.007228,0.003614
30,3149.42,1.41478,0.6454,1.05035,0.00982,0.34117,0.41917,0.35247,0.15769,2.57618,1.54014,1.61043,0,0.007129,0.007129,0.007129,0.0035645
31,3259.1,1.4167,0.64517,1.04968,0.00982,0.24455,0.4496,0.30016,0.13774,2.60403,1.71899,1.6164,0,0.00703,0.00703,0.00703,0.003515
32,3369.19,1.41279,0.64285,1.04991,0.00982,0.21557,0.37125,0.23363,0.1037,2.90141,1.68916,1.80526,0,0.006931,0.006931,0.006931,0.0034655
33,3512.55,1.40777,0.63863,1.04786,0.00982,0.2559,0.43087,0.29623,0.13017,2.73606,1.66853,1.68726,0,0.006832,0.006832,0.006832,0.003416
34,3615.53,1.40957,0.63855,1.04599,0.00982,0.30575,0.39157,0.30489,0.13881,2.62945,1.61778,1.65788,0,0.006733,0.006733,0.006733,0.0033665
35,3750.13,1.4038,0.63518,1.0439,0.00982,0.28573,0.34606,0.26665,0.12014,2.75201,1.63598,1.72774,0,0.006634,0.006634,0.006634,0.003317
36,3873.34,1.40043,0.63258,1.04334,0.00982,0.24438,0.41302,0.28263,0.12607,2.66668,1.79332,1.66187,0,0.006535,0.006535,0.006535,0.0032675
37,3961.68,1.39911,0.63166,1.04153,0.00982,0.2057,0.34984,0.21155,0.09065,2.97751,1.74271,1.85975,0,0.006436,0.006436,0.006436,0.003218
38,4056.6,1.39713,0.62986,1.04181,0.00982,0.2544,0.3759,0.26302,0.1187,2.73184,1.76342,1.7158,0,0.006337,0.006337,0.006337,0.0031685
39,4115.89,1.39557,0.62851,1.04031,0.00982,0.36085,0.38429,0.33353,0.15166,2.48635,1.60723,1.58204,0,0.006238,0.006238,0.006238,0.003119
40,4203.84,1.38925,0.62432,1.03995,0.00982,0.22509,0.3977,0.26186,0.1154,2.73863,1.82691,1.71476,0,0.006139,0.006139,0.006139,0.0030695
41,4302.39,1.38616,0.62161,1.03704,0.00982,0.26222,0.3083,0.22832,0.09888,2.88658,1.7599,1.83378,0,0.00604,0.00604,0.00604,0.00302
42,4407.42,1.39306,0.62552,1.04041,0.00982,0.23961,0.3415,0.23183,0.09767,2.92496,1.74814,1.85436,0,0.005941,0.005941,0.005941,0.0029705
43,4498.67,1.38874,0.62164,1.03763,0.00982,0.25736,0.38849,0.26664,0.11231,2.83524,1.69777,1.79901,0,0.005842,0.005842,0.005842,0.002921
44,4594.42,1.38324,0.61972,1.03807,0.00982,0.23845,0.31699,0.22279,0.09559,2.97468,1.73531,1.89661,0,0.005743,0.005743,0.005743,0.0028715
45,4682.71,1.38066,0.61645,1.03478,0.00982,0.22391,0.36083,0.23801,0.10043,2.94077,1.7817,1.86342,0,0.005644,0.005644,0.005644,0.002822
46,4835.21,1.37797,0.61615,1.03559,0.00982,0.27692,0.36765,0.27274,0.1202,2.76861,1.6689,1.75992,0,0.005545,0.005545,0.005545,0.0027725
47,4968.5,1.37693,0.61422,1.0343,0.00982,0.22828,0.43848,0.29343,0.12771,2.71261,1.78233,1.67618,0,0.005446,0.005446,0.005446,0.002723
48,5085.54,1.38036,0.61513,1.03471,0.00982,0.21398,0.38782,0.24715,0.10447,2.86939,1.79245,1.80051,0,0.005347,0.005347,0.005347,0.0026735
49,5210.91,1.37494,0.61336,1.03366,0.00982,0.19582,0.37938,0.23642,0.10097,2.92384,1.871,1.83606,0,0.005248,0.005248,0.005248,0.002624
50,5358.11,1.37524,0.61086,1.03346,0.00982,0.21231,0.32505,0.20652,0.08567,3.03817,1.77876,1.9394,0,0.005149,0.005149,0.005149,0.0025745
51,5497.94,1.37337,0.61103,1.02962,0.00982,0.18546,0.3592,0.21449,0.08683,3.07123,1.89732,1.92761,0,0.00505,0.00505,0.00505,0.002525
52,5648.01,1.37363,0.61048,1.03263,0.00982,0.17284,0.33516,0.19471,0.07986,3.09939,2.14978,1.95362,0,0.004951,0.004951,0.004951,0.0024755
53,5779.67,1.36632,0.60624,1.02877,0.00982,0.19323,0.37469,0.21954,0.0889,2.94305,1.95124,1.84307,0,0.004852,0.004852,0.004852,0.002426
54,5867.8,1.36661,0.60526,1.03141,0.00982,0.19231,0.37292,0.21871,0.08518,3.02849,2.00966,1.90944,0,0.004753,0.004753,0.004753,0.0023765
55,6006.36,1.36599,0.60665,1.0306,0.00982,0.18275,0.3479,0.21227,0.08383,3.09248,1.93991,1.95608,0,0.004654,0.004654,0.004654,0.002327
56,6129.36,1.36171,0.60302,1.02556,0.00982,0.18638,0.36129,0.22059,0.08829,3.04879,1.95803,1.92785,0,0.004555,0.004555,0.004555,0.0022775
57,6247.81,1.36736,0.60494,1.02901,0.00982,0.21395,0.41488,0.25413,0.10067,2.85847,1.96748,1.77028,0,0.004456,0.004456,0.004456,0.002228
58,6385.37,1.35636,0.59758,1.02559,0.00982,0.20202,0.39172,0.23982,0.09659,2.88444,1.98439,1.80655,0,0.004357,0.004357,0.004357,0.0021785
59,6517.67,1.3661,0.60272,1.02746,0.00982,0.19351,0.37525,0.2266,0.09105,2.97544,2.01024,1.88424,0,0.004258,0.004258,0.004258,0.002129
60,6630.98,1.36216,0.60034,1.02959,0.00982,0.20518,0.39788,0.2422,0.09803,2.88107,2.02644,1.79784,0,0.004159,0.004159,0.004159,0.0020795
61,6708.38,1.36125,0.59949,1.02646,0.00982,0.20359,0.39479,0.23716,0.09381,2.93053,1.95705,1.83657,0,0.00406,0.00406,0.00406,0.00203
62,6770.77,1.35634,0.59678,1.02439,0.00982,0.19711,0.38222,0.2262,0.08844,2.99663,1.97629,1.87544,0,0.003961,0.003961,0.003961,0.0019805
63,6847.87,1.35441,0.59631,1.02405,0.00982,0.19524,0.37837,0.22071,0.08487,2.99946,1.91414,1.88398,0,0.003862,0.003862,0.003862,0.001931
64,6913.4,1.35434,0.59619,1.02419,0.00982,0.18639,0.35959,0.2055,0.07784,3.08193,1.88789,1.94418,0,0.003763,0.003763,0.003763,0.0018815
65,6975.13,1.35589,0.5955,1.02408,0.00982,0.20031,0.38842,0.22833,0.08904,2.92743,1.96893,1.82415,0,0.003664,0.003664,0.003664,0.001832
66,7032.33,1.35244,0.59335,1.0228,0.00982,0.19911,0.38574,0.22367,0.08583,2.96134,1.91043,1.85738,0,0.003565,0.003565,0.003565,0.0017825
67,7133.44,1.34654,0.59195,1.0214,0.00982,0.20482,0.39718,0.22594,0.08603,2.95401,1.94346,1.84625,0,0.003466,0.003466,0.003466,0.001733
68,7195.89,1.35146,0.59182,1.02134,0.00982,0.19568,0.37903,0.21954,0.08593,2.99918,1.92387,1.90441,0,0.003367,0.003367,0.003367,0.0016835
69,7293.69,1.34948,0.59175,1.02187,0.00982,0.19438,0.37692,0.21046,0.08166,2.99749,2.06829,1.89297,0,0.003268,0.003268,0.003268,0.001634
70,7357.81,1.34715,0.59154,1.02186,0.00982,0.19651,0.38106,0.21175,0.0818,2.97962,2.21856,1.85899,0,0.003169,0.003169,0.003169,0.0015845
71,7446.54,1.34715,0.59008,1.02152,0.00982,0.20302,0.39369,0.2251,0.08799,2.89434,2.12164,1.79817,0,0.00307,0.00307,0.00307,0.001535
72,7509.54,1.3443,0.58793,1.01878,0.00959,0.20617,0.39979,0.23383,0.09228,2.85135,2.11857,1.76595,0,0.002971,0.002971,0.002971,0.0014855
73,7599.45,1.34477,0.58853,1.02097,0.00914,0.20503,0.39759,0.23047,0.09088,2.88335,2.056,1.79263,0,0.002872,0.002872,0.002872,0.001436
74,7703.24,1.3413,0.58554,1.01876,0.0085,0.20355,0.39471,0.22375,0.08769,2.91429,1.99661,1.8222,0,0.002773,0.002773,0.002773,0.0013865
75,7773.9,1.34516,0.58702,1.02035,0.00771,0.20604,0.39955,0.22732,0.09036,2.88021,1.99216,1.79505,0,0.002674,0.002674,0.002674,0.001337
76,7838.41,1.34574,0.58727,1.02021,0.00681,0.21247,0.412,0.23934,0.09578,2.83846,1.97838,1.76053,0,0.002575,0.002575,0.002575,0.0012875
77,7968.38,1.33989,0.58482,1.0192,0.00586,0.21327,0.41356,0.23609,0.09318,2.8526,2.01425,1.75928,0,0.002476,0.002476,0.002476,0.001238
78,8055.98,1.34198,0.58411,1.01902,0.0049,0.20665,0.40072,0.2247,0.08731,2.92144,2.02262,1.81508,0,0.002377,0.002377,0.002377,0.0011885
79,8142.25,1.33719,0.58368,1.01651,0.00399,0.20825,0.40382,0.22623,0.08664,2.93685,2.01506,1.82017,0,0.002278,0.002278,0.002278,0.001139
80,8232.9,1.33512,0.58143,1.01688,0.00315,0.21092,0.40901,0.23403,0.08978,2.90898,1.9613,1.80992,0,0.002179,0.002179,0.002179,0.0010895
81,8324.45,1.34204,0.5849,1.01636,0.00241,0.20889,0.40507,0.22706,0.08663,2.93324,1.92969,1.82767,0,0.00208,0.00208,0.00208,0.00104
82,8418.32,1.33812,0.58261,1.01819,0.00179,0.2135,0.414,0.23636,0.09123,2.89903,1.90991,1.80712,0,0.001981,0.001981,0.001981,0.0009905
83,8496.48,1.33365,0.58043,1.01716,0.00129,0.21156,0.41024,0.23167,0.08897,2.92283,1.87746,1.82998,0,0.001882,0.001882,0.001882,0.000941
84,8574.89,1.3366,0.5816,1.0169,0.0009,0.21108,0.40888,0.23209,0.08918,2.92643,1.84758,1.83661,0,0.001783,0.001783,0.001783,0.0008915
85,8672.3,1.33362,0.57993,1.01627,0.00061,0.20924,0.40523,0.23009,0.08843,2.9397,1.84515,1.8466,0,0.001684,0.001684,0.001684,0.000842
86,8732.91,1.33152,0.57833,1.01657,0.00039,0.21334,0.41316,0.23877,0.09243,2.90538,1.85591,1.82977,0,0.001585,0.001585,0.001585,0.0007925
87,8794.44,1.33066,0.5778,1.01225,0.00025,0.21462,0.41555,0.24272,0.09458,2.89071,1.84142,1.82086,0,0.001486,0.001486,0.001486,0.000743
88,8892.49,1.33319,0.57927,1.01451,0.00015,0.21495,0.41618,0.24206,0.09388,2.89232,1.83947,1.8235,0,0.001387,0.001387,0.001387,0.0006935
89,8968.86,1.3339,0.57852,1.01515,9e-05,0.21813,0.42235,0.24654,0.09531,2.88056,1.8326,1.8118,0,0.001288,0.001288,0.001288,0.000644
90,9033.02,1.33286,0.57827,1.01197,5e-05,0.22254,0.43112,0.25197,0.09786,2.84642,1.84331,1.77785,0,0.001189,0.001189,0.001189,0.0005945
91,9084.19,1.32594,0.57502,1.04066,3e-05,0.22417,0.43434,0.25811,0.1028,2.81066,1.83394,1.76162,0,0.00109,0.00109,0.00109,0.000545
92,9133.08,1.32049,0.57086,1.03526,1e-05,0.22586,0.43736,0.26343,0.10634,2.801,1.80607,1.75835,0,0.000991,0.000991,0.000991,0.0004955
93,9181.62,1.31927,0.57021,1.03676,1e-05,0.22596,0.4376,0.26766,0.10881,2.79854,1.7961,1.75538,0,0.000892,0.000892,0.000892,0.000446
94,9229.97,1.31635,0.56952,1.03447,0,0.22575,0.43736,0.26983,0.11034,2.79118,1.80221,1.75002,0,0.000793,0.000793,0.000793,0.0003965
95,9278.35,1.31552,0.56925,1.03248,0,0.22508,0.43593,0.26958,0.1108,2.78447,1.79632,1.75052,0,0.000694,0.000694,0.000694,0.000347
96,9326.89,1.31557,0.56919,1.03289,0,0.22582,0.43727,0.2717,0.11212,2.77573,1.79082,1.74706,0,0.000595,0.000595,0.000595,0.0002975
97,9375.34,1.31466,0.56903,1.03235,0,0.2266,0.43875,0.27441,0.1138,2.76466,1.78706,1.74126,0,0.000496,0.000496,0.000496,0.000248
98,9423.78,1.31364,0.56859,1.03005,0,0.22586,0.43733,0.274,0.11384,2.76176,1.78508,1.74046,0,0.000397,0.000397,0.000397,0.0001985
99,9472.07,1.31328,0.56771,1.02984,0,0.22569,0.437,0.27394,0.11388,2.76029,1.78722,1.73904,0,0.000298,0.000298,0.000298,0.000149
100,9520.86,1.31196,0.56701,1.03025,0,0.2257,0.43705,0.27438,0.114,2.76062,1.78932,1.73777,0,0.000199,0.000199,0.000199,9.95e-05
