epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,259.424,5.81083,3.25771,3.82012,0.19403,0.32597,0.27446,0.23613,0.07693,3.22616,2.10456,2.10227,0,0.00332685,0.00332685,0.00332685,0.00166342
2,473.756,2.37765,1.1763,1.55246,0.08239,0.66053,0.54065,0.60054,0.29542,1.98451,1.04802,1.36022,0,0.00659425,0.00659425,0.00659425,0.00329712
3,663.499,1.98375,1.02475,1.3129,0.04947,0.72492,0.61623,0.68339,0.35112,1.80494,0.94552,1.26003,0,0.00979564,0.00979564,0.00979564,0.00489782
4,874.718,1.83364,0.9512,1.23766,0.03217,0.79389,0.67791,0.75584,0.41684,1.64832,0.85525,1.18349,0,0.009703,0.009703,0.009703,0.0048515
5,1066.24,1.73938,0.88939,1.19149,0.02253,0.8002,0.69495,0.77313,0.43261,1.60738,0.82807,1.15989,0,0.009604,0.009604,0.009604,0.004802
6,1244.52,1.69124,0.85776,1.16921,0.0169,0.81742,0.71561,0.78987,0.45486,1.54667,0.78579,1.13473,0,0.009505,0.009505,0.009505,0.0047525
7,1410.2,1.64729,0.82851,1.15377,0.01352,0.81042,0.7154,0.78773,0.45194,1.55034,0.79122,1.13415,0,0.009406,0.009406,0.009406,0.004703
8,1598.35,1.61596,0.80522,1.13891,0.01149,0.83174,0.72477,0.80637,0.47001,1.50938,0.75831,1.1165,0,0.009307,0.009307,0.009307,0.0046535
9,1757.81,1.59448,0.7909,1.12689,0.01034,0.83739,0.74295,0.81879,0.48323,1.48912,0.73005,1.10485,0,0.009208,0.009208,0.009208,0.004604
10,1920.82,1.57951,0.77841,1.1204,0.00982,0.84347,0.7497,0.82461,0.48989,1.46673,0.71671,1.09591,0,0.009109,0.009109,0.009109,0.0045545
11,2092.8,1.56195,0.7629,1.11316,0.00982,0.8453,0.75108,0.829,0.49512,1.45965,0.70753,1.0901,0,0.00901,0.00901,0.00901,0.004505
12,2243.32,1.54672,0.75073,1.10485,0.00982,0.85034,0.76101,0.83805,0.50051,1.44579,0.69458,1.08217,0,0.008911,0.008911,0.008911,0.0044555
13,2405.79,1.52729,0.73711,1.09849,0.00982,0.85624,0.76554,0.84138,0.50837,1.42963,0.68278,1.07549,0,0.008812,0.008812,0.008812,0.004406
14,2556.63,1.52455,0.7329,1.09711,0.00982,0.85688,0.76805,0.84152,0.50886,1.42737,0.67226,1.07617,0,0.008713,0.008713,0.008713,0.0043565
15,2697.2,1.50874,0.72441,1.09271,0.00982,0.86077,0.76686,0.84248,0.50879,1.42242,0.67496,1.07336,0,0.008614,0.008614,0.008614,0.004307
16,2830.75,1.50223,0.71813,1.08771,0.00981,0.86069,0.7717,0.84461,0.51373,1.41639,0.66512,1.07024,0,0.008515,0.008515,0.008515,0.0042575
17,2972.58,1.49745,0.71267,1.08642,0.00982,0.86095,0.77003,0.84371,0.51286,1.41373,0.66457,1.06867,0,0.008416,0.008416,0.008416,0.004208
18,3146.65,1.48841,0.70763,1.08292,0.00982,0.86595,0.77588,0.85237,0.52111,1.39747,0.65485,1.05997,0,0.008317,0.008317,0.008317,0.0041585
19,3289.83,1.48405,0.70114,1.08009,0.00981,0.86325,0.77955,0.85287,0.52037,1.40053,0.65134,1.06118,0,0.008218,0.008218,0.008218,0.004109
20,3412.21,1.47019,0.69389,1.07672,0.00982,0.87049,0.78053,0.85535,0.5257,1.38963,0.64419,1.0565,0,0.008119,0.008119,0.008119,0.0040595
21,3534.06,1.46886,0.68941,1.07464,0.00981,0.87279,0.77834,0.85357,0.52484,1.38723,0.63995,1.05674,0,0.00802,0.00802,0.00802,0.00401
22,3686.35,1.46079,0.68379,1.06979,0.00982,0.87203,0.787,0.85763,0.52813,1.3869,0.63054,1.0551,0,0.007921,0.007921,0.007921,0.0039605
23,3818.37,1.46092,0.68313,1.07216,0.00982,0.87462,0.7845,0.86078,0.53058,1.38235,0.6292,1.05296,0,0.007822,0.007822,0.007822,0.003911
24,3997.32,1.45648,0.67695,1.06355,0.00982,0.87397,0.786,0.85954,0.5295,1.37899,0.62697,1.05215,0,0.007723,0.007723,0.007723,0.0038615
25,4160.94,1.45067,0.67644,1.0643,0.00982,0.87128,0.7913,0.8633,0.53378,1.37222,0.6233,1.04841,0,0.007624,0.007624,0.007624,0.003812
26,4337.31,1.44568,0.67093,1.06189,0.00982,0.87559,0.79112,0.8612,0.53248,1.37347,0.61949,1.04925,0,0.007525,0.007525,0.007525,0.0037625
27,4501.95,1.43952,0.6656,1.06175,0.00982,0.87635,0.79658,0.86731,0.5369,1.36843,0.61343,1.04591,0,0.007426,0.007426,0.007426,0.003713
28,4659.78,1.44243,0.66553,1.06074,0.00982,0.88244,0.79035,0.86601,0.53694,1.36532,0.61133,1.04488,0,0.007327,0.007327,0.007327,0.0036635
29,4827.66,1.43099,0.6606,1.06005,0.00982,0.87791,0.79609,0.86737,0.53771,1.36102,0.61085,1.04286,0,0.007228,0.007228,0.007228,0.003614
30,4973.92,1.42676,0.65725,1.05657,0.00982,0.8794,0.79404,0.86876,0.54079,1.35846,0.60773,1.04168,0,0.007129,0.007129,0.007129,0.0035645
31,5124.02,1.42805,0.65779,1.05597,0.00982,0.87904,0.79616,0.87023,0.5414,1.35596,0.60731,1.04085,0,0.00703,0.00703,0.00703,0.003515
32,5297.48,1.42524,0.65519,1.05642,0.00982,0.87954,0.79699,0.86998,0.54108,1.3547,0.60468,1.04006,0,0.006931,0.006931,0.006931,0.0034655
33,5459.37,1.41951,0.65049,1.05384,0.00982,0.88109,0.79742,0.87037,0.54251,1.35438,0.60175,1.04006,0,0.006832,0.006832,0.006832,0.003416
34,5606.25,1.42154,0.65044,1.05219,0.00982,0.88264,0.7978,0.87127,0.54243,1.35342,0.60158,1.03903,0,0.006733,0.006733,0.006733,0.0033665
35,5754.2,1.41483,0.64731,1.04961,0.00982,0.88267,0.80002,0.87194,0.54515,1.34711,0.59701,1.03694,0,0.006634,0.006634,0.006634,0.003317
36,5910.75,1.41194,0.64524,1.0496,0.00982,0.8852,0.80333,0.87493,0.54744,1.34421,0.5927,1.03534,0,0.006535,0.006535,0.006535,0.0032675
37,6087.4,1.40977,0.64271,1.04705,0.00982,0.88407,0.80278,0.87524,0.54801,1.34367,0.59233,1.03418,0,0.006436,0.006436,0.006436,0.003218
38,6242.97,1.40807,0.64122,1.04726,0.00982,0.88648,0.80289,0.87449,0.5474,1.3422,0.58948,1.03524,0,0.006337,0.006337,0.006337,0.0031685
39,6374.05,1.40654,0.63958,1.04613,0.00982,0.88633,0.80218,0.87683,0.54897,1.33854,0.58909,1.03346,0,0.006238,0.006238,0.006238,0.003119
40,6530.45,1.4007,0.63654,1.0461,0.00982,0.8836,0.80664,0.87653,0.54897,1.33906,0.58687,1.03256,0,0.006139,0.006139,0.006139,0.0030695
41,6671.34,1.39713,0.6333,1.0432,0.00982,0.88633,0.80645,0.87723,0.55017,1.33672,0.5844,1.03173,0,0.00604,0.00604,0.00604,0.00302
42,6813.03,1.40408,0.63687,1.0464,0.00982,0.88808,0.80645,0.87837,0.5505,1.33688,0.58397,1.03231,0,0.005941,0.005941,0.005941,0.0029705
43,6937.08,1.39868,0.63298,1.04318,0.00982,0.88736,0.8078,0.87804,0.55128,1.33455,0.58337,1.03106,0,0.005842,0.005842,0.005842,0.002921
44,7073.82,1.39401,0.6306,1.04384,0.00982,0.889,0.80722,0.87903,0.5532,1.33086,0.58073,1.02921,0,0.005743,0.005743,0.005743,0.0028715
45,7217.3,1.39115,0.62845,1.04067,0.00981,0.88919,0.80732,0.87988,0.55216,1.33061,0.57983,1.02929,0,0.005644,0.005644,0.005644,0.002822
46,7358.18,1.38839,0.62655,1.04135,0.00982,0.8892,0.80804,0.87887,0.55203,1.3316,0.57804,1.0298,0,0.005545,0.005545,0.005545,0.0027725
47,7480.06,1.38662,0.62478,1.03966,0.00981,0.88946,0.81089,0.88133,0.55446,1.32861,0.5758,1.02788,0,0.005446,0.005446,0.005446,0.002723
48,7600.51,1.39021,0.62559,1.03991,0.00982,0.8929,0.80809,0.88223,0.55525,1.32624,0.57538,1.02696,0,0.005347,0.005347,0.005347,0.0026735
49,7745.75,1.38446,0.62355,1.03875,0.00982,0.89072,0.8106,0.88263,0.55629,1.32517,0.57381,1.0262,0,0.005248,0.005248,0.005248,0.002624
50,7871.98,1.38485,0.62068,1.03872,0.00982,0.88812,0.81406,0.88216,0.55564,1.3259,0.57322,1.02668,0,0.005149,0.005149,0.005149,0.0025745
51,8029.62,1.38365,0.62138,1.03522,0.00982,0.89217,0.81112,0.8826,0.55688,1.32233,0.57221,1.02506,0,0.00505,0.00505,0.00505,0.002525
52,8160.64,1.38275,0.6204,1.03775,0.00982,0.89304,0.8133,0.88401,0.55793,1.32205,0.5708,1.02468,0,0.004951,0.004951,0.004951,0.0024755
53,8326.04,1.37627,0.61649,1.03405,0.00982,0.89115,0.81314,0.88324,0.55809,1.32148,0.56912,1.02475,0,0.004852,0.004852,0.004852,0.002426
54,8475.53,1.37548,0.61609,1.03594,0.00982,0.89377,0.81435,0.88516,0.55876,1.32234,0.56891,1.02422,0,0.004753,0.004753,0.004753,0.0023765
55,8635.35,1.37508,0.61618,1.03575,0.00982,0.89195,0.81614,0.88546,0.55991,1.31917,0.56793,1.02318,0,0.004654,0.004654,0.004654,0.002327
56,8797.15,1.37195,0.61303,1.031,0.00982,0.89123,0.81618,0.8848,0.55961,1.31966,0.56627,1.0239,0,0.004555,0.004555,0.004555,0.0022775
57,8960.24,1.37639,0.61523,1.03397,0.00981,0.89231,0.81614,0.88515,0.55997,1.31855,0.56563,1.02382,0,0.004456,0.004456,0.004456,0.002228
58,9100.74,1.36582,0.60831,1.03063,0.00982,0.89332,0.81447,0.88453,0.56,1.3173,0.56542,1.02275,0,0.004357,0.004357,0.004357,0.0021785
59,9251.5,1.37544,0.61277,1.03271,0.00982,0.89343,0.81564,0.88442,0.55963,1.31822,0.56445,1.02294,0,0.004258,0.004258,0.004258,0.002129
60,9409.43,1.37201,0.61024,1.03493,0.00982,0.89322,0.81597,0.88611,0.56076,1.31643,0.56358,1.02206,0,0.004159,0.004159,0.004159,0.0020795
61,9543.34,1.36935,0.60893,1.03103,0.00981,0.89347,0.81742,0.88518,0.55962,1.31558,0.56274,1.02163,0,0.00406,0.00406,0.00406,0.00203
62,9662.69,1.36501,0.60624,1.029,0.00982,0.8946,0.81703,0.88594,0.5614,1.31414,0.56152,1.0211,0,0.003961,0.003961,0.003961,0.0019805
