epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,40.5572,5.54961,5.90527,4.25022,0.20092,0,0,0,0,5.80204,4.71743,4.1409,0,0.0033251,0.0033251,0.0033251,0.00166255
2,76.5695,4.91446,4.93177,3.53551,0.08271,0.0068,0.04143,0.00668,0.00193,3.8047,3.23096,2.34972,0,0.00659252,0.00659252,0.00659252,0.00329626
3,113.218,2.89221,2.68326,1.59712,0.04942,0.02086,0.02319,0.01481,0.00486,3.393,3.90847,2.05921,0,0.00979393,0.00979393,0.00979393,0.00489697
4,151.332,2.3805,2.24314,1.35298,0.03229,0.03619,0.10377,0.03663,0.01591,2.62809,3.32282,1.50242,0,0.009703,0.009703,0.009703,0.0048515
5,190.506,2.1544,1.98547,1.25792,0.02255,0.04451,0.10695,0.04234,0.01965,2.56935,3.32463,1.43637,0,0.009604,0.009604,0.009604,0.004802
6,228.958,2.03295,1.8344,1.20591,0.01692,0.05529,0.12077,0.05146,0.0242,2.47785,3.37272,1.39383,0,0.009505,0.009505,0.009505,0.0047525
7,267.01,1.95538,1.72597,1.17712,0.01352,0.05904,0.13886,0.0608,0.02787,2.34808,3.33414,1.33833,0,0.009406,0.009406,0.009406,0.004703
8,303.877,1.88368,1.64257,1.14928,0.01149,0.06868,0.12758,0.05829,0.02636,2.39751,3.58514,1.35115,0,0.009307,0.009307,0.009307,0.0046535
9,340.639,1.84155,1.5842,1.13444,0.01034,0.08433,0.11592,0.06762,0.03393,2.26602,3.67825,1.31817,0,0.009208,0.009208,0.009208,0.004604
10,377.53,1.8089,1.53583,1.11782,0.00983,0.08156,0.10748,0.06259,0.02985,2.3342,3.80178,1.33823,0,0.009109,0.009109,0.009109,0.0045545
11,414.492,1.7678,1.48266,1.10993,0.00982,0.08946,0.10488,0.06777,0.03482,2.20757,3.88148,1.29364,0,0.00901,0.00901,0.00901,0.004505
12,451.295,1.74491,1.46335,1.1016,0.00982,0.08651,0.1234,0.07054,0.03561,2.13485,3.71387,1.2641,0,0.008911,0.008911,0.008911,0.0044555
13,488.007,1.72021,1.42281,1.09469,0.00982,0.09724,0.10558,0.07177,0.03672,2.20088,4.04579,1.29305,0,0.008812,0.008812,0.008812,0.004406
14,524.952,1.69478,1.4063,1.0827,0.00982,0.12194,0.07532,0.07963,0.04133,2.27232,4.29671,1.32741,0,0.008713,0.008713,0.008713,0.0043565
15,561.791,1.69766,1.3802,1.07942,0.00982,0.10996,0.1048,0.08009,0.04063,2.16744,4.08657,1.2748,0,0.008614,0.008614,0.008614,0.004307
16,598.66,1.67373,1.36468,1.07815,0.00982,0.09662,0.11098,0.07426,0.03594,2.21533,3.97497,1.28169,0,0.008515,0.008515,0.008515,0.0042575
17,635.61,1.65274,1.34075,1.06907,0.00982,0.1356,0.0532,0.08081,0.04187,2.25332,4.55986,1.31086,0,0.008416,0.008416,0.008416,0.004208
18,672.427,1.64337,1.32467,1.06544,0.00982,0.1477,0.04043,0.08368,0.04425,2.32735,4.66111,1.34756,0,0.008317,0.008317,0.008317,0.0041585
19,710.999,1.6238,1.31217,1.06361,0.00982,0.14406,0.05285,0.08632,0.04579,2.26507,4.63259,1.32933,0,0.008218,0.008218,0.008218,0.004109
