epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,48.8477,5.50257,5.88217,4.28649,0.20575,0.0001,0.0003,0.00031,5e-05,5.76202,4.62023,4.2495,0,0.0033251,0.0033251,0.0033251,0.00166255
2,93.3146,3.65632,3.51467,2.36491,0.08251,0.05543,0.06465,0.03929,0.01443,2.7701,2.29875,1.51048,0,0.00659252,0.00659252,0.00659252,0.00329626
3,136.634,2.56985,2.34556,1.4459,0.04946,0.2015,0.10726,0.07024,0.03027,2.27516,1.98646,1.30186,0,0.00979393,0.00979393,0.00979393,0.00489697
4,181.111,2.25868,2.06933,1.30349,0.03215,0.20833,0.12067,0.08235,0.03944,2.07285,1.76538,1.20032,0,0.009703,0.009703,0.009703,0.0048515
5,225.449,2.09452,1.88883,1.23467,0.02252,0.24683,0.14659,0.1036,0.05259,1.92161,1.62905,1.14463,0,0.009604,0.009604,0.009604,0.004802
6,270.006,2.00675,1.7781,1.19663,0.01688,0.18207,0.16538,0.12129,0.06148,1.84327,1.56192,1.12628,0,0.009505,0.009505,0.009505,0.0047525
7,311.646,1.94151,1.69849,1.17431,0.01353,0.19407,0.1709,0.13398,0.06853,1.79452,1.49445,1.10443,0,0.009406,0.009406,0.009406,0.004703
8,352.971,1.8794,1.63541,1.1504,0.01149,0.2201,0.18473,0.14379,0.07277,1.78615,1.4813,1.09778,0,0.009307,0.009307,0.009307,0.0046535
9,393.9,1.84582,1.58908,1.13908,0.01034,0.21233,0.18768,0.15229,0.08096,1.71288,1.42073,1.08545,0,0.009208,0.009208,0.009208,0.004604
10,435.024,1.81351,1.54586,1.12331,0.00982,0.22932,0.1971,0.15713,0.08297,1.70496,1.37939,1.0716,0,0.009109,0.009109,0.009109,0.0045545
11,475.485,1.77377,1.49498,1.11487,0.00983,0.2457,0.20337,0.16626,0.08925,1.67038,1.35504,1.06088,0,0.00901,0.00901,0.00901,0.004505
12,515.705,1.75718,1.48419,1.10868,0.00983,0.23433,0.19993,0.16616,0.08826,1.68021,1.34133,1.06297,0,0.008911,0.008911,0.008911,0.0044555
13,555.404,1.73518,1.44539,1.10286,0.00982,0.26622,0.21481,0.17964,0.09637,1.62087,1.30548,1.05272,0,0.008812,0.008812,0.008812,0.004406
14,595.326,1.71119,1.43475,1.09121,0.00982,0.26645,0.21435,0.18531,0.10004,1.60865,1.28354,1.04222,0,0.008713,0.008713,0.008713,0.0043565
15,636.286,1.71226,1.41053,1.08682,0.00982,0.27651,0.22318,0.19336,0.10472,1.60106,1.28168,1.04748,0,0.008614,0.008614,0.008614,0.004307
16,677.234,1.69028,1.3951,1.08592,0.00982,0.28118,0.22479,0.19636,0.10721,1.59266,1.25824,1.04239,0,0.008515,0.008515,0.008515,0.0042575
17,717.308,1.6737,1.37506,1.07832,0.00982,0.29697,0.22758,0.20077,0.10783,1.5814,1.24494,1.03902,0,0.008416,0.008416,0.008416,0.004208
18,757.09,1.66665,1.36087,1.07591,0.00982,0.28863,0.23002,0.20176,0.10948,1.57356,1.23686,1.03368,0,0.008317,0.008317,0.008317,0.0041585
19,797.033,1.64607,1.34726,1.07256,0.00982,0.28929,0.23691,0.21026,0.11483,1.54025,1.20696,1.02432,0,0.008218,0.008218,0.008218,0.004109
20,837.229,1.6337,1.33058,1.06727,0.00982,0.30163,0.23544,0.20709,0.11421,1.53921,1.21329,1.02144,0,0.008119,0.008119,0.008119,0.0040595
21,876.902,1.62739,1.32264,1.06151,0.00982,0.30744,0.24246,0.21653,0.11774,1.5314,1.19571,1.02358,0,0.00802,0.00802,0.00802,0.00401
22,916.807,1.61109,1.30483,1.06014,0.00982,0.42107,0.23783,0.21988,0.11987,1.52799,1.18591,1.02169,0,0.007921,0.007921,0.007921,0.0039605
23,956.76,1.606,1.29364,1.05911,0.00983,0.3243,0.2443,0.22483,0.12382,1.51257,1.1817,1.01682,0,0.007822,0.007822,0.007822,0.003911
24,996.909,1.59306,1.28349,1.05471,0.00982,0.32234,0.24633,0.22698,0.12496,1.51526,1.18866,1.01678,0,0.007723,0.007723,0.007723,0.0038615
25,1036.71,1.58322,1.26732,1.05054,0.00982,0.30508,0.2481,0.22748,0.12515,1.50421,1.18245,1.01399,0,0.007624,0.007624,0.007624,0.003812
26,1076.55,1.59334,1.27705,1.05381,0.00983,0.33425,0.25033,0.23324,0.127,1.50517,1.16865,1.00933,0,0.007525,0.007525,0.007525,0.0037625
27,1117.46,1.57698,1.26306,1.04336,0.00981,0.32489,0.25448,0.23504,0.12951,1.49626,1.15723,1.01323,0,0.007426,0.007426,0.007426,0.003713
28,1156.82,1.57092,1.24871,1.04051,0.00982,0.33318,0.25427,0.23154,0.12867,1.4992,1.15633,1.01301,0,0.007327,0.007327,0.007327,0.0036635
29,1196.79,1.56549,1.24897,1.04148,0.00982,0.32582,0.25657,0.23623,0.13139,1.4824,1.14305,1.00378,0,0.007228,0.007228,0.007228,0.003614
30,1236.7,1.55957,1.23441,1.04007,0.00982,0.3634,0.25785,0.24757,0.13678,1.47117,1.13535,1.00595,0,0.007129,0.007129,0.007129,0.0035645
31,1276.42,1.54894,1.22562,1.03889,0.00983,0.34642,0.26094,0.24278,0.13451,1.46735,1.12867,1.00241,0,0.00703,0.00703,0.00703,0.003515
32,1316.05,1.55092,1.2198,1.03624,0.00981,0.33867,0.26812,0.25125,0.13978,1.45898,1.12503,0.99865,0,0.006931,0.006931,0.006931,0.0034655
33,1355.06,1.54692,1.21795,1.03659,0.00982,0.34955,0.26759,0.24999,0.13813,1.46076,1.11703,0.99974,0,0.006832,0.006832,0.006832,0.003416
34,1394.36,1.54101,1.21269,1.03155,0.00982,0.34817,0.26568,0.25159,0.14,1.45974,1.11408,0.99836,0,0.006733,0.006733,0.006733,0.0033665
35,1433.46,1.53363,1.20034,1.0298,0.00983,0.34898,0.27426,0.26055,0.14512,1.45205,1.10985,0.99759,0,0.006634,0.006634,0.006634,0.003317
36,1472.47,1.52556,1.19396,1.03048,0.00982,0.36117,0.27775,0.26006,0.14509,1.4476,1.09889,0.99733,0,0.006535,0.006535,0.006535,0.0032675
37,1511.74,1.51876,1.18869,1.02759,0.00982,0.34532,0.27217,0.25425,0.14249,1.44783,1.10492,0.9949,0,0.006436,0.006436,0.006436,0.003218
38,1550.91,1.52291,1.18788,1.02579,0.00983,0.36819,0.27618,0.26257,0.14679,1.44325,1.10272,0.99217,0,0.006337,0.006337,0.006337,0.0031685
39,1589.91,1.51076,1.17097,1.02151,0.00982,0.35376,0.2788,0.26261,0.14704,1.42845,1.09215,0.99107,0,0.006238,0.006238,0.006238,0.003119
40,1630.1,1.50886,1.17574,1.02462,0.00982,0.36619,0.27834,0.26337,0.1471,1.43407,1.0877,0.98945,0,0.006139,0.006139,0.006139,0.0030695
41,1668.95,1.49911,1.16025,1.02015,0.00983,0.35271,0.27927,0.2635,0.14691,1.43014,1.08719,0.99042,0,0.00604,0.00604,0.00604,0.00302
42,1708.03,1.49746,1.16413,1.02312,0.00982,0.36469,0.2787,0.26491,0.14945,1.42673,1.07756,0.98783,0,0.005941,0.005941,0.005941,0.0029705
43,1747.75,1.50113,1.16029,1.01786,0.00983,0.34654,0.28405,0.26221,0.1476,1.42507,1.08262,0.98766,0,0.005842,0.005842,0.005842,0.002921
44,1787.27,1.49579,1.15303,1.01774,0.00982,0.36195,0.2817,0.26756,0.15125,1.42,1.08211,0.98566,0,0.005743,0.005743,0.005743,0.0028715
45,1826.28,1.48398,1.14525,1.01548,0.00983,0.3742,0.2816,0.26882,0.15157,1.41422,1.07046,0.98397,0,0.005644,0.005644,0.005644,0.002822
46,1865.74,1.49339,1.14667,1.01846,0.00982,0.36311,0.28497,0.2702,0.15297,1.41335,1.07209,0.98428,0,0.005545,0.005545,0.005545,0.0027725
47,1904.85,1.48112,1.14025,1.01485,0.00982,0.36279,0.28958,0.27197,0.15236,1.41453,1.06945,0.98222,0,0.005446,0.005446,0.005446,0.002723
48,1944.97,1.48239,1.13941,1.01485,0.00981,0.37223,0.28755,0.27398,0.15463,1.40573,1.06333,0.9825,0,0.005347,0.005347,0.005347,0.0026735
49,1984.9,1.47388,1.13072,1.0119,0.00983,0.37889,0.28243,0.27733,0.15678,1.40722,1.06017,0.98344,0,0.005248,0.005248,0.005248,0.002624
50,2024.18,1.47106,1.1307,1.01459,0.00982,0.37414,0.29142,0.27794,0.15748,1.40436,1.05487,0.98066,0,0.005149,0.005149,0.005149,0.0025745
